group_name,group_value,num_images,mean_delta_psnr,median_delta_psnr,better_030db_count,worse_030db_count,mean_lf_residual_cosine,median_lf_residual_cosine,mean_lf_luma_residual_cosine,mean_lf_residual_norm_ratio,median_lf_residual_norm_ratio,p90_lf_residual_norm_ratio,mean_lf_luma_norm_ratio,mean_lf_residual_error_ratio,mean_lf_mse_delta,mean_lf_luma_mse_delta,lf_mse_improved_count,lf_mse_regressed_count,lf_luma_mse_improved_count,lf_luma_mse_regressed_count,wrong_direction_count,possible_overshoot_count,possible_under_correction_count
all,all,2,0.8339701867492568,0.8339701867492568,1,1,0.33239659876562655,0.33239659876562655,0.32351792696863413,0.49673955203731146,0.49673955203731146,0.5922599822313919,0.4937436752454562,0.9076959369817483,-8.457631338387728e-05,-7.952145824674517e-05,1,1,1,1,1,0,0
baseline_strength_bin,baseline_strongest_25,1,2.241462771400471,2.241462771400471,1,0,0.6691181063652039,0.6691181063652039,0.6667004227638245,0.616140089779912,0.616140089779912,0.616140089779912,0.6062806953900499,0.7450421133617792,-0.0003307759761810303,-0.00033174865529872477,1,0,1,0,0,0,0
baseline_strength_bin,baseline_weakest_25,1,-0.5735223979019572,-0.5735223979019572,0,1,-0.004324908833950758,-0.004324908833950758,-0.019664568826556206,0.377339014294711,0.377339014294711,0.377339014294711,0.3812066551008625,1.0703497606017174,0.00016162334941327572,0.00017270573880523443,0,1,0,1,1,0,0
airlight_bin,0.65<=A<0.75,1,-0.5735223979019572,-0.5735223979019572,0,1,-0.004324908833950758,-0.004324908833950758,-0.019664568826556206,0.377339014294711,0.377339014294711,0.377339014294711,0.3812066551008625,1.0703497606017174,0.00016162334941327572,0.00017270573880523443,0,1,0,1,1,0,0
airlight_bin,A<0.65,1,2.241462771400471,2.241462771400471,1,0,0.6691181063652039,0.6691181063652039,0.6667004227638245,0.616140089779912,0.616140089779912,0.616140089779912,0.6062806953900499,0.7450421133617792,-0.0003307759761810303,-0.00033174865529872477,1,0,1,0,0,0,0
beta_bin,beta>=1.7,2,0.8339701867492568,0.8339701867492568,1,1,0.33239659876562655,0.33239659876562655,0.32351792696863413,0.49673955203731146,0.49673955203731146,0.5922599822313919,0.4937436752454562,0.9076959369817483,-8.457631338387728e-05,-7.952145824674517e-05,1,1,1,1,1,0,0
