target_margin,feature_set,head,split_family,split_group,splits,eligible_for_pass,intervention_precision_mean,intervention_precision_std,nochange_false_intervention_rate_mean,nochange_false_intervention_rate_std,strong_nochange_false_intervention_rate_mean,strong_nochange_false_intervention_rate_std,residual_low_false_intervention_rate_mean,residual_low_false_intervention_rate_std,mean_oracle_gated_gain_mean,mean_oracle_gated_gain_std,bootstrap_gain_p05_mean,bootstrap_gain_p05_std,oracle_recovery_mean,oracle_recovery_std,confidence_corr_mean,confidence_corr_std,intervention_rate_mean,intervention_rate_std,labeled_n_mean,labeled_n_std,ignored_n_mean,ignored_n_std,sim_delta_vs_official_mean,sim_delta_vs_official_std,precision_gap_vs_shuffled,passes_line
0.15,A_official_output,hgb,content_cluster,content_cluster=content_k5_c2,1,1,0.42105263157894735,0.0,0.8120805369127517,0.0,0.8275862068965517,0.0,0.9166666666666666,0.0,0.07813174060874124,0.0,0.026639516260756464,0.0,0.35524647320685243,0.0,0.2767269435189343,0.0,0.8850574712643678,0.0,239.0,0.0,22.0,0.0,0.07813174060874124,0.0,0.022822543083372115,False
0.15,A_official_output,hgb,content_cluster,content_cluster=content_k5_c3,1,1,0.6772486772486772,0.0,0.9838709677419355,0.0,0.0,0.0,1.0,0.0,0.7456665256270661,0.0,0.6036036700968238,0.0,0.909116707304817,0.0,0.2013656911155074,0.0,0.9949238578680203,0.0,190.0,0.0,7.0,0.0,0.7456665256270661,0.0,0.003564466722361437,False
0.15,A_official_output,hgb,content_cluster,content_cluster=content_k5_c4,1,1,0.47802197802197804,0.0,0.8636363636363636,0.0,0.8571428571428571,0.0,0.9591836734693877,0.0,0.16071285751039074,0.0,0.11657329366009993,0.0,0.7054597574951191,0.0,0.3527866657898909,0.0,0.9247787610619469,0.0,198.0,0.0,28.0,0.0,0.16071285751039074,0.0,0.0023463023463023425,False
0.15,A_official_output,hgb,cr_strength_bin,cr_strength_bin=midhigh_cr_q3,1,1,0.6514285714285715,0.0,0.5350877192982456,0.0,0.4782608695652174,0.0,0.8611111111111112,0.0,0.6353355034574858,0.0,0.4898397183139399,0.0,0.8866004224966461,0.0,0.48642207421611616,0.0,0.724,0.0,239.0,0.0,11.0,0.0,0.6353355034574858,0.0,0.08067385444743935,False
0.15,A_official_output,hgb,cr_strength_bin,cr_strength_bin=midlow_cr_q2,1,1,0.6517857142857143,0.0,0.8210526315789474,0.0,1.0,0.0,1.0,0.0,0.7158895909718721,0.0,0.5837608660484745,0.0,0.9137232828955467,0.0,0.3897545232458447,0.0,0.932,0.0,241.0,0.0,9.0,0.0,0.7158895909718721,0.0,0.014617572692793956,False
0.15,A_official_output,hgb,cr_strength_bin,cr_strength_bin=strong_cr_q4,1,1,0.5568181818181818,0.0,0.6842105263157895,0.0,0.6732673267326733,0.0,0.8148148148148148,0.0,0.2377734566166335,0.0,0.173454172931894,0.0,0.7562321928656958,0.0,0.4766833515269803,0.0,0.816,0.0,219.0,0.0,31.0,0.0,0.2377734566166335,0.0,0.02420948616600782,False
0.15,A_official_output,hgb,cr_strength_bin,cr_strength_bin=weak_cr_q1,1,1,0.6391304347826087,0.0,0.9431818181818182,0.0,0.0,0.0,1.0,0.0,0.7069987600030395,0.0,0.5716290547350088,0.0,0.919113474691144,0.0,0.20747930877145307,0.0,0.976,0.0,235.0,0.0,15.0,0.0,0.7069987600030395,0.0,0.013598519888991634,False
0.15,A_official_output,hgb,official_strength_bin,official_strength_bin=midhigh_official_q3,1,1,0.44041450777202074,0.0,0.7605633802816901,0.0,0.0,0.0,0.8333333333333334,0.0,0.1627743099715886,0.0,0.10265356517432213,0.0,0.5868967680987143,0.0,0.3990406734104346,0.0,0.816,0.0,236.0,0.0,14.0,0.0,0.1627743099715886,0.0,0.011121578479091454,False
0.15,A_official_output,hgb,official_strength_bin,official_strength_bin=midlow_official_q2,1,1,0.62882096069869,0.0,0.9659090909090909,0.0,0.0,0.0,0.9767441860465116,0.0,0.6949036019982857,0.0,0.5714702825186351,0.0,0.8968176235327205,0.0,0.2393860397036643,0.0,0.972,0.0,233.0,0.0,17.0,0.0,0.6949036019982857,0.0,-0.0016138219100056972,False
0.15,A_official_output,hgb,official_strength_bin,official_strength_bin=strong_official_q4,1,1,0.48947368421052634,0.0,0.776,0.0,0.776,0.0,0.8947368421052632,0.0,0.1074978355874729,0.0,0.06472345298615294,0.0,0.5278706551878656,0.0,0.26925576595968304,0.0,0.856,0.0,222.0,0.0,28.0,0.0,0.1074978355874729,0.0,0.014983888292158964,False
0.15,A_official_output,hgb,official_strength_bin,official_strength_bin=weak_official_q1,1,1,0.7727272727272727,0.0,0.9821428571428571,0.0,0.0,0.0,1.0,0.0,1.2904365761080658,0.0,1.1281009021261028,0.0,0.9718067907497594,0.0,0.22598873288137905,0.0,0.992,0.0,243.0,0.0,7.0,0.0,1.2904365761080658,0.0,0.0009430403621274452,False
