eval_n,labeled_n,ignored_n,intervention_rate,intervention_precision,nochange_count,nochange_false_intervention_rate,strong_official_count,strong_official_intervention_rate,strong_nochange_count,strong_nochange_false_intervention_rate,residual_low_count,residual_low_false_intervention_rate,mean_oracle_gated_gain,bootstrap_gain_p05,official_psnr,sim_psnr,sim_delta_vs_official,oracle_recovery,confidence_corr,feature_set,head,target_margin,threshold,feature_count,active_feature_count,train_labeled_n,eligible_for_pass,split_family,split,train_n,valid_n
204,197,7,0.9852941176470589,0.7061855670103093,60,0.95,0,0.0,0,0.0,64,0.984375,1.0395207205597339,0.9072565828265907,30.46849267385541,31.50801339441514,1.0395207205597339,0.947051261457882,0.1560624195974563,A_official_output,hgb,0.15,0.05,2388,2374,737,1,content_cluster,content_cluster=content_k5_c0,796,204
112,110,2,0.9910714285714286,0.7339449541284404,30,0.9666666666666667,5,1.0,3,1.0,12,1.0,1.2995312669192518,1.0071280056659582,29.89198004352979,31.19151131044904,1.2995312669192518,0.9604490976396045,0.39620667412001875,A_official_output,hgb,0.15,0.05,2388,2374,824,1,content_cluster,content_cluster=content_k5_c1,888,112
261,239,22,0.8850574712643678,0.42105263157894735,149,0.8120805369127517,159,0.8930817610062893,87,0.8275862068965517,120,0.9166666666666666,0.07813174060874124,0.026639516260756464,39.837928112677155,39.916059853285894,0.07813174060874124,0.35524647320685243,0.2767269435189343,A_official_output,hgb,0.15,0.05,2388,2374,695,1,content_cluster,content_cluster=content_k5_c2,739,261
197,190,7,0.9949238578680203,0.6772486772486772,62,0.9838709677419355,0,0.0,0,0.0,5,1.0,0.7456665256270661,0.6036036700968238,29.13097007984319,29.876636605470257,0.7456665256270661,0.909116707304817,0.2013656911155074,A_official_output,hgb,0.15,0.05,2388,2374,744,1,content_cluster,content_cluster=content_k5_c3,803,197
226,198,28,0.9247787610619469,0.47802197802197804,110,0.8636363636363636,86,0.9418604651162791,35,0.8571428571428571,49,0.9591836734693877,0.16071285751039074,0.11657329366009993,37.85682939712761,38.017542254638,0.16071285751039074,0.7054597574951191,0.3527866657898909,A_official_output,hgb,0.15,0.05,2388,2374,736,1,content_cluster,content_cluster=content_k5_c4,774,226
250,232,18,0.944,0.5342465753424658,115,0.8869565217391304,14,1.0,11,1.0,0,0.0,0.7653416533132904,0.5901442092044641,30.908283717754124,31.673625371067416,0.7653416533132904,0.8881432777800184,0.3546943303763605,A_official_output,hgb,0.15,0.05,2388,2374,702,1,residual_energy_bin,residual_energy_bin=residual_high_q4,750,250
250,225,25,0.844,0.6649214659685864,94,0.6808510638297872,152,0.7894736842105263,68,0.6617647058823529,250,0.844,0.38058953930190365,0.3086862708648387,38.83344644305326,39.21403598235517,0.38058953930190365,0.8859517550867289,0.436002678125749,A_official_output,hgb,0.15,0.05,2388,2374,709,1,residual_energy_bin,residual_energy_bin=residual_low_q1,750,250
250,242,8,0.824,0.6683417085427136,103,0.6407766990291263,14,0.5714285714285714,8,0.5,0,0.0,0.70611526557127,0.5907080262565275,32.28502827506557,32.99114354063684,0.70611526557127,0.9137388660273281,0.4116908442848245,A_official_output,hgb,0.15,0.05,2388,2374,692,1,residual_energy_bin,residual_energy_bin=residual_midhigh_q3,750,250
250,235,15,0.836,0.6515151515151515,99,0.696969696969697,70,0.6714285714285714,38,0.5263157894736842,0,0.0,0.43371886861054093,0.35732518074564235,34.99571379304915,35.429432661659696,0.43371886861054093,0.8346692681758884,0.4732617244682269,A_official_output,hgb,0.15,0.05,2388,2374,699,1,residual_energy_bin,residual_energy_bin=residual_midlow_q2,750,250
250,237,13,0.856,0.6732673267326733,99,0.6666666666666666,61,0.7868852459016393,33,0.6666666666666666,59,0.864406779661017,0.7112310897892641,0.578192903597938,33.84071671144422,34.55194780123349,0.7112310897892641,0.9260052396667586,0.5092833297701208,A_output_plus_meta,hgb,0.15,0.05,2390,2376,697,1,random,random_1,750,250
250,230,20,0.86,0.6130653266331658,102,0.7549019607843137,52,0.7115384615384616,19,0.5263157894736842,66,0.803030303030303,0.5229658553303592,0.39499866129621175,34.29031846921945,34.813284324549805,0.5229658553303592,0.8709972448364633,0.4229767348355348,A_output_plus_meta,hgb,0.15,0.05,2390,2376,704,1,random,random_2,750,250
250,234,16,0.828,0.654639175257732,105,0.638095238095238,65,0.676923076923077,34,0.5,60,0.7833333333333333,0.6957014798794049,0.5694134475466455,34.13535826605321,34.831059745932606,0.6957014798794049,0.9377968159171072,0.4927537030552383,A_output_plus_meta,hgb,0.15,0.05,2390,2376,700,1,random,random_3,750,250
250,236,14,0.816,0.44041450777202074,142,0.7605633802816901,0,0.0,0,0.0,36,0.8333333333333334,0.1627743099715886,0.10265356517432213,36.55675585116884,36.71953016114043,0.1627743099715886,0.5868967680987143,0.3990406734104346,A_output_plus_meta,hgb,0.15,0.05,2390,2376,698,1,official_strength_bin,official_strength_bin=midhigh_official_q3,750,250
250,233,17,0.96,0.6299559471365639,88,0.9545454545454546,0,0.0,0,0.0,43,0.9767441860465116,0.6934403136639776,0.5708614764729835,32.06365707295534,32.757097386619314,0.6934403136639776,0.8949291561787687,0.2238507165227947,A_output_plus_meta,hgb,0.15,0.05,2390,2376,701,1,official_strength_bin,official_strength_bin=midlow_official_q2,750,250
250,222,28,0.856,0.48947368421052634,125,0.776,250,0.856,125,0.776,152,0.8947368421052632,0.1074978355874729,0.06472345298615294,41.996655378489706,42.10415321407717,0.1074978355874729,0.5278706551878656,0.26925576595968304,A_output_plus_meta,hgb,0.15,0.05,2390,2376,712,1,official_strength_bin,official_strength_bin=strong_official_q4,750,250
250,243,7,0.996,0.7695473251028807,56,1.0,0,0.0,0,0.0,19,1.0,1.2896185478643238,1.1280600007139157,26.405403926308217,27.69502247417254,1.2896185478643238,0.971190746988282,0.22773869710633396,A_output_plus_meta,hgb,0.15,0.05,2390,2376,691,1,official_strength_bin,official_strength_bin=weak_official_q1,750,250
250,239,11,0.764,0.6338797814207651,114,0.5877192982456141,38,0.6578947368421053,23,0.5217391304347826,36,0.9444444444444444,0.6343652160912214,0.49455431417446905,36.034125584802794,36.66849080089401,0.6343652160912214,0.8852464021653539,0.494222264627979,A_output_plus_meta,hgb,0.15,0.05,2390,2376,695,1,cr_strength_bin,cr_strength_bin=midhigh_cr_q3,750,250
250,241,9,0.924,0.6531531531531531,95,0.8105263157894737,1,1.0,1,1.0,35,1.0,0.7160046599981651,0.5839632234189827,32.400164474925866,33.116169134924036,0.7160046599981651,0.9138701508620459,0.3772264674848059,A_output_plus_meta,hgb,0.15,0.05,2390,2376,693,1,cr_strength_bin,cr_strength_bin=midlow_cr_q2,750,250
250,219,31,0.812,0.5511363636363636,114,0.6929824561403509,210,0.7952380952380952,101,0.6831683168316832,162,0.8148148148148148,0.23666088550247358,0.17268886278614606,41.507470099469764,41.74413098497224,0.23666088550247358,0.7526936898496223,0.4718040447373053,A_output_plus_meta,hgb,0.15,0.05,2390,2376,715,1,cr_strength_bin,cr_strength_bin=strong_cr_q4,750,250
