name,feature_set,model_type,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,residual_selection_count,lfv1_selection_count,residual_precision,residual_recall,two_way_accuracy,lost_lfv1_gain_selected_count,residual_worst_selected_count,split_family,split,oracle_recovery,prob_threshold
always_lfv1,strict_output_proxy,baseline,210,32.55321279027625,0.9846461673577627,0.0,0.07687369739468619,0,210,,0.0,0.5380952380952381,0,0,airlight_leave_one,0.75<=A<0.85,0.0,
always_residual,strict_output_proxy,baseline,210,32.506851874944864,0.9844869468893324,-0.04636091533138486,0.03051278206330134,210,0,0.46190476190476193,1.0,0.46190476190476193,49,35,airlight_leave_one,0.75<=A<0.85,-0.09333475029682921,
two_way_oracle,strict_output_proxy,oracle,210,33.04992934208514,0.9853752757821764,0.4967165518088909,0.573590249203577,97,113,1.0,1.0,1.0,0,0,airlight_leave_one,0.75<=A<0.85,1.0,
decision_stump,strict_output_proxy,stump,210,32.521205800259146,0.9844435197966439,-0.03200699001710969,0.04486670737757651,106,104,0.4528301886792453,0.4948453608247423,0.49047619047619045,25,15,airlight_leave_one,0.75<=A<0.85,-0.06443713200325205,
ridge_logistic,strict_output_proxy,logistic,210,32.602305459049994,0.9845303038756053,0.04909266877374492,0.12596636616843113,141,69,0.48936170212765956,0.711340206185567,0.5238095238095238,34,16,airlight_leave_one,0.75<=A<0.85,0.09883437263156286,0.5023922698946068
always_lfv1,strict_output_proxy,baseline,175,31.48941879868601,0.9829617415155684,0.0,0.13356019155896867,0,175,,0.0,0.4857142857142857,0,0,airlight_leave_one,0.85<=A<0.95,0.0,
always_residual,strict_output_proxy,baseline,175,31.520560080719005,0.9829386118480138,0.031141282032992733,0.16470147359196138,175,0,0.5142857142857142,1.0,0.5142857142857142,37,30,airlight_leave_one,0.85<=A<0.95,0.05633019354111248,
two_way_oracle,strict_output_proxy,oracle,175,32.04225343452415,0.983566220828465,0.5528346358381376,0.6863948273971061,90,85,1.0,1.0,1.0,0,0,airlight_leave_one,0.85<=A<0.95,1.0,
decision_stump,strict_output_proxy,stump,175,31.515751165394967,0.9826958625657218,0.02633236670895481,0.15989255826792348,114,61,0.5350877192982456,0.6777777777777778,0.5314285714285715,26,16,airlight_leave_one,0.85<=A<0.95,0.04763154296407826,
ridge_logistic,strict_output_proxy,logistic,175,31.4766540414242,0.9828710086005075,-0.01276475726180889,0.12079543429715976,128,47,0.5078125,0.7222222222222222,0.49714285714285716,29,22,airlight_leave_one,0.85<=A<0.95,-0.023089648213622846,0.4881290011363613
always_lfv1,strict_output_proxy,baseline,295,33.595404552131086,0.9868459776296454,0.0,0.3517347290424155,0,295,,0.0,0.5084745762711864,0,0,airlight_leave_one,A<0.65,0.0,
always_residual,strict_output_proxy,baseline,295,33.36853644612589,0.9868452734866384,-0.2268681060051953,0.12486662303722025,295,0,0.4915254237288136,1.0,0.4915254237288136,65,59,airlight_leave_one,A<0.65,-0.41487962950884033,
two_way_oracle,strict_output_proxy,oracle,295,34.14223329441901,0.9875332793946994,0.546828742287915,0.8985634713303305,145,150,1.0,1.0,1.0,0,0,airlight_leave_one,A<0.65,1.0,
decision_stump,strict_output_proxy,stump,295,33.51077085367608,0.9870079291068902,-0.08463369845500111,0.26710103058741436,260,35,0.49615384615384617,0.8896551724137931,0.5016949152542373,54,52,airlight_leave_one,A<0.65,-0.1547718543485777,
ridge_logistic,strict_output_proxy,logistic,295,33.52278071261911,0.9869704480898582,-0.07262383951197832,0.2791108895304372,160,135,0.50625,0.5586206896551724,0.5152542372881356,34,28,airlight_leave_one,A<0.65,-0.13280911169395077,0.5375804574423829
always_lfv1,strict_output_proxy,baseline,126,30.336149654124622,0.9791977471775479,0.0,0.13511515608511754,0,126,,0.0,0.4365079365079365,0,0,airlight_leave_one,A>=0.95,0.0,
