feature,weight,abs_weight,split_family,split,feature_set,bias,prob_threshold
lfv1_baseline_saturation_mean_delta,-0.08327060067486217,0.08327060067486217,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
residual_lfv1_luma_mean_delta,0.07956479293752404,0.07956479293752404,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
lfv1_baseline_luma_mean_delta,-0.07871146448756415,0.07871146448756415,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
residual_lfv1_lap_var_delta,0.070843993117488,0.070843993117488,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
lfv1_baseline_dark_channel_mean_delta_abs,-0.06944118937743654,0.06944118937743654,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
lfv1_baseline_dark_channel_mean_delta,-0.06728795528699949,0.06728795528699949,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
residual_lfv1_saturation_mean_delta_abs,0.06319829237079383,0.06319829237079383,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
residual_lfv1_saturation_mean_delta,0.05877419139063931,0.05877419139063931,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
lfv1_baseline_lap_var_delta_abs,-0.05261397865706371,0.05261397865706371,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
residual_lfv1_luma_mean_delta_abs,-0.04703650038415513,0.04703650038415513,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
residual_lfv1_luma_std_delta_abs,-0.04490984382341784,0.04490984382341784,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
baseline_saturation_mean,0.04301004770609991,0.04301004770609991,random_stratified,0,strict_output_proxy,0.0320480655350215,0.5162385056907307
residual_lfv1_lap_var_delta,0.08417444253737408,0.08417444253737408,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
residual_lfv1_saturation_mean_delta_abs,0.08318017657943488,0.08318017657943488,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
residual_lfv1_luma_mean_delta,0.07018630416683747,0.07018630416683747,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
lfv1_baseline_dark_channel_mean_delta_abs,-0.05981324179741425,0.05981324179741425,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
lfv1_baseline_saturation_mean_delta,-0.05687956272151919,0.05687956272151919,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
residual_baseline_lap_var_delta_abs,-0.05636670033554005,0.05636670033554005,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
lfv1_baseline_lap_var_delta_abs,-0.05392292818273878,0.05392292818273878,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
residual_baseline_edge_mean_delta,0.04525064463726521,0.04525064463726521,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
residual_lfv1_highfreq_abs_mean_delta,0.044900338684021664,0.044900338684021664,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
residual_lfv1_dark_channel_mean_delta_abs,0.04410399414187801,0.04410399414187801,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
lfv1_baseline_luma_mean_delta,-0.04391871261472917,0.04391871261472917,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
baseline_saturation_mean,0.04262337910653896,0.04262337910653896,random_stratified,1,strict_output_proxy,0.02994897249543919,0.4714053211784954
residual_lfv1_lap_var_delta,0.09513913979074719,0.09513913979074719,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
residual_lfv1_luma_mean_delta_abs,-0.07683280699613876,0.07683280699613876,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
residual_lfv1_luma_mean_delta,0.06854432287243079,0.06854432287243079,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
lfv1_baseline_lap_var_delta,-0.05613955779945147,0.05613955779945147,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
lfv1_baseline_saturation_mean_delta_abs,-0.05371164162232658,0.05371164162232658,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
residual_baseline_edge_mean_delta,0.04930376544073883,0.04930376544073883,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
lfv1_baseline_saturation_mean_delta,-0.047366875963335366,0.047366875963335366,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
residual_luma_std,0.03832918177990169,0.03832918177990169,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
residual_lfv1_saturation_mean_delta,0.038176297857546414,0.038176297857546414,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
lfv1_baseline_edge_mean_delta,0.03815763941652819,0.03815763941652819,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
residual_baseline_luma_mean_delta,0.03774519773507121,0.03774519773507121,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
baseline_saturation_mean,0.036024528967714485,0.036024528967714485,random_stratified,2,strict_output_proxy,0.03229376880172052,0.47826354829456913
residual_lfv1_lap_var_delta,0.08667292302388407,0.08667292302388407,random_stratified,3,strict_output_proxy,0.030710179457768008,0.5166805022496895
residual_lfv1_luma_std_delta_abs,-0.08317052525925991,0.08317052525925991,random_stratified,3,strict_output_proxy,0.030710179457768008,0.5166805022496895
lfv1_baseline_dark_channel_mean_delta_abs,-0.07541107100987826,0.07541107100987826,random_stratified,3,strict_output_proxy,0.030710179457768008,0.5166805022496895
residual_lfv1_luma_mean_delta,0.0712861368873778,0.0712861368873778,random_stratified,3,strict_output_proxy,0.030710179457768008,0.5166805022496895
residual_baseline_saturation_mean_delta_abs,0.06512957711086256,0.06512957711086256,random_stratified,3,strict_output_proxy,0.030710179457768008,0.5166805022496895
