split_family,feature_set,model_type,name,splits,mean_psnr_mean,mean_psnr_std,mean_ssim_mean,mean_ssim_std,gain_vs_lfv1_psnr_mean,gain_vs_lfv1_psnr_std,gain_vs_baseline_psnr_mean,gain_vs_baseline_psnr_std,residual_precision_mean,residual_precision_std,residual_recall_mean,residual_recall_std,two_way_accuracy_mean,two_way_accuracy_std,residual_selection_count_mean,residual_selection_count_std,lost_lfv1_gain_selected_count_mean,lost_lfv1_gain_selected_count_std,residual_worst_selected_count_mean,residual_worst_selected_count_std,oracle_recovery_mean,oracle_recovery_std
random_stratified,strict_output_proxy,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,agreement_proxy,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,rich_output_proxy,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,metadata_diagnostic,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,gt_diagnostic_leakage_check,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,gt_diagnostic_leakage_check,stump,decision_stump,5,32.9729065783889,0.15269670509674416,0.9849843946297963,0.0004759221194717205,0.5796457382423639,0.04043912700327729,0.7985217655356195,0.0313239993005452,0.9959910514541388,0.005337835734477353,0.9712418300653594,0.005228758169934622,0.9833333333333332,0.004714045207910316,149.2,0.7483314773547882,0.0,0.0,0.0,0.0,0.9986225540209585,0.0005566386927894103
random_stratified,gt_diagnostic_leakage_check,logistic,ridge_logistic,5,32.970293564484486,0.1531773563923019,0.9849821961720785,0.00047375836045706075,0.5770327243379457,0.04069403001219702,0.7959087516312012,0.03199324055147445,0.9697023282874676,0.01678437491274038,0.9529411764705882,0.01912253442918664,0.9606666666666668,0.012892719737209159,150.4,3.9293765408777004,0.2,0.4000000000000001,0.0,0.0,0.9940779648176925,0.002442356637515572
random_stratified,rich_output_proxy,logistic,ridge_logistic,5,32.4888492820847,0.12606872486925838,0.9842777285178503,0.0005545298027773991,0.09558844193815663,0.033509767109050466,0.31446446923141214,0.049454024913202214,0.6046118050482729,0.025895823788820608,0.5699346405228758,0.11643529904127241,0.5873333333333333,0.02069889959501339,145.2,33.659471178258286,27.6,8.01498596380555,18.4,7.059745037889116,0.16432769478584835,0.05681281087182695
random_stratified,agreement_proxy,logistic,ridge_logistic,5,32.47118136415467,0.15011746251819302,0.9841868009169896,0.0004574867856330445,0.0779205240081242,0.045620470238392906,0.2967965513013797,0.027992155609089985,0.5823974473896232,0.02332824575030978,0.603921568627451,0.08085577565590647,0.5746666666666667,0.01995550606279437,159.4,25.215868019959178,30.2,5.635601121442148,23.6,5.043808085167397,0.1306559936193948,0.07236165755877735
random_stratified,metadata_diagnostic,logistic,ridge_logistic,5,32.43854659528821,0.15101035539537042,0.9841644286712011,0.0005675586406108306,0.045285755141669874,0.04279965070403173,0.26416178243492544,0.0684635118053327,0.5172426813191924,0.03807578906623421,0.5032679738562091,0.17018583746786323,0.5146666666666666,0.04328715488199445,146.6,40.58374058659453,28.4,4.923413450036469,22.6,7.3375745311376575,0.07902753226873832,0.07923585349782807
