feature,op,threshold,train_mean_psnr,train_gain_vs_lfv1_psnr,train_residual_precision,train_residual_recall,split_family,split,feature_set,valid_mean_psnr,valid_gain_vs_lfv1_psnr,valid_oracle_recovery,valid_residual_precision,valid_residual_recall
residual_baseline_luma_std_delta,>=,0.0004793033003807068,32.50704975408212,0.07669227696182312,0.5485714285714286,0.5393258426966292,random_stratified,0,strict_output_proxy,32.49562539965103,0.07221124646739395,0.11871414277433971,0.5785714285714286,0.5294117647058824
residual_lfv1_luma_std_delta,>=,0.00011880695819854736,32.46731304473146,0.09021415009089127,0.5537757437070938,0.6797752808988764,random_stratified,1,strict_output_proxy,32.61340809187902,0.06572391290934267,0.10319472297405552,0.5161290322580645,0.6274509803921569
residual_baseline_edge_mean_delta,>=,0.00014560669660568237,32.55007563224497,0.11340979723033558,0.5560640732265446,0.6825842696629213,random_stratified,2,strict_output_proxy,32.40854109588261,-0.00015355554757430075,-0.00029204991403378985,0.5409836065573771,0.6470588235294118
residual_baseline_edge_mean_delta,>=,0.0001515224575996399,32.53762974917652,0.122288670449518,0.5652173913043478,0.6938202247191011,random_stratified,3,strict_output_proxy,32.43672356923122,-0.021728846870110594,-0.039926504642629465,0.5164835164835165,0.6143790849673203
residual_lfv1_luma_std_delta,>=,2.1152198314666748e-05,32.65556494860337,0.09862660628202984,0.5537757437070938,0.6797752808988764,random_stratified,4,strict_output_proxy,32.18823006382776,0.06017126277988684,0.10248193920678215,0.5198019801980198,0.6862745098039216
residual_baseline_saturation_mean_delta_abs,<=,0.002161867916584015,32.41087199668992,0.053772523952401084,0.5544554455445545,0.27791563275434245,airlight_leave_one,0.65<=A<0.75,strict_output_proxy,32.768406845645856,0.04442589248678294,0.06460538143605156,0.5510204081632653,0.25471698113207547
residual_lfv1_luma_std_delta,>=,0.0006662681698799133,32.502317022434966,0.10725399207890361,0.579746835443038,0.5558252427184466,airlight_leave_one,0.75<=A<0.85,strict_output_proxy,32.521205800259146,-0.03200699001710969,-0.06443713200325205,0.4528301886792453,0.4948453608247423
residual_lfv1_luma_std_delta,>=,8.875131607055664e-05,32.73000202704273,0.10257634198910003,0.5484496124031008,0.6754176610978521,airlight_leave_one,0.85<=A<0.95,strict_output_proxy,31.515751165394967,0.02633236670895481,0.04763154296407826,0.5350877192982456,0.6777777777777778
residual_lfv1_luma_std_delta_abs,<=,0.006188839673995972,32.06219184386291,0.12229094023081616,0.5332252836304701,0.9038461538461539,airlight_leave_one,A<0.65,strict_output_proxy,33.51077085367608,-0.08463369845500111,-0.1547718543485777,0.49615384615384617,0.8896551724137931
residual_lfv1_luma_std_delta,>=,3.0368566513061523e-05,32.834658803997876,0.10477365122945807,0.5421245421245421,0.6757990867579908,airlight_leave_one,A>=0.95,strict_output_proxy,30.30342252599939,-0.032727128125230084,-0.051970731542814744,0.5543478260869565,0.7183098591549296
residual_lfv1_luma_std_delta,>=,8.8471919298172e-05,32.43250696060462,0.08836745428237637,0.5463510848126233,0.6707021791767555,beta_leave_one,0.8<=beta<1.1,strict_output_proxy,32.88464082044373,0.09297485871162245,0.15546603506557072,0.5447154471544715,0.6979166666666666
residual_lfv1_luma_std_delta,>=,3.376603126525879e-05,32.54467123735947,0.07657445509247097,0.5429141716566867,0.6699507389162561,beta_leave_one,1.1<=beta<1.4,strict_output_proxy,32.41148870929511,0.14350399902661162,0.23828388420307028,0.5514705882352942,0.7281553398058253
residual_baseline_edge_mean_delta,>=,0.0008237063884735107,32.75919521374883,0.06763843026267043,0.5536159600997507,0.5495049504950495,beta_leave_one,1.4<=beta<1.7,strict_output_proxy,31.465015416517353,0.09648528402045158,0.1656372259182729,0.5578947368421052,0.5047619047619047
residual_lfv1_luma_std_delta,>=,0.00014230608940124512,31.81857193934384,0.11178485171401299,0.5597609561752988,0.6754807692307693,beta_leave_one,beta<0.8,strict_output_proxy,35.3457396494405,-0.04210556221726118,-0.07337902485045732,0.46551724137931033,0.5806451612903226
