
step :10000 | epoch: 2 | ssim:0.9631| psnr:26.2651

step :20000 | epoch: 4 | ssim:0.9751| psnr:28.8563

step :30000 | epoch: 6 | ssim:0.9783| psnr:30.6253

step :40000 | epoch: 8 | ssim:0.9776| psnr:29.7611

step :50000 | epoch: 10 | ssim:0.9817| psnr:31.3419

step :60000 | epoch: 12 | ssim:0.9828| psnr:31.6173

step :70000 | epoch: 14 | ssim:0.9836| psnr:31.9069

step :80000 | epoch: 16 | ssim:0.9841| psnr:32.1721

step :90000 | epoch: 18 | ssim:0.9845| psnr:32.4281

step :100000 | epoch: 20 | ssim:0.9845| psnr:32.3857
