filename,diagnosis_groups,baseline_psnr,current_psnr,delta_psnr,baseline_ssim,current_ssim,delta_ssim,input_psnr,input_ssim,airlight,beta,airlight_bin,beta_bin
102_0.67_1.36.png,neutral,25.43641408109729,25.386512653192476,-0.049901427904814,0.9698611497879028,0.9676603674888611,-0.002200782299041748,11.457589744981323,0.7599693536758423,0.67,1.36,0.65<=A<0.75,1.1<=beta<1.4
112_0.54_0.98.png,neutral,26.023734152150286,26.071701501743338,0.04796734959305127,0.989223301410675,0.9917392134666443,0.0025159120559692383,24.955849219672803,0.9711683988571167,0.54,0.98,A<0.65,0.8<=beta<1.1
176_0.77_0.84.png,neutral,21.542172596018474,21.517602189542163,-0.024570406476311035,0.9820160269737244,0.983081042766571,0.0010650157928466797,23.042713457659477,0.9717004299163818,0.77,0.84,0.75<=A<0.85,0.8<=beta<1.1
235_0.9_0.72.png,neutral,24.976481838193813,24.96644232592748,-0.010039512266331485,0.9675696492195129,0.964683473110199,-0.002886176109313965,18.454864360197494,0.9491826891899109,0.9,0.72,0.85<=A<0.95,beta<0.8
274_0.71_1.95.png,neutral,29.129181227923844,29.16495533264817,0.035774104724325184,0.9824828505516052,0.9847378730773926,0.0022550225257873535,10.892575127631531,0.7097625136375427,0.71,1.95,0.65<=A<0.75,beta>=1.7
336_0.94_1.46.png,neutral,25.024634397188766,25.04349733005856,0.018862932869794236,0.972851574420929,0.9752268195152283,0.0023752450942993164,13.686080784747281,0.8548880815505981,0.94,1.46,0.85<=A<0.95,1.4<=beta<1.7
380_0.53_1.36.png,neutral,23.469432531291133,23.426930646360972,-0.04250188493016083,0.9632329940795898,0.9630725383758545,-0.00016045570373535156,18.306467459585157,0.9615881443023682,0.53,1.36,A<0.65,1.1<=beta<1.4
395_0.95_1.58.png,neutral,30.039937033076704,30.057989088726224,0.018052055649519616,0.9695462584495544,0.9655964970588684,-0.003949761390686035,12.231045596442113,0.6859041452407837,0.95,1.58,A>=0.95,1.4<=beta<1.7
442_0.69_0.5.png,neutral,20.7221111512691,20.722563494559154,0.0004523432900533919,0.9403567314147949,0.9447020292282104,0.004345297813415527,25.46004423398491,0.9893390536308289,0.69,0.5,0.65<=A<0.75,beta<0.8
453_0.95_0.6.png,neutral,31.12127330070365,31.092971407273062,-0.0283018934305872,0.9889408946037292,0.9890535473823547,0.00011265277862548828,14.667473576933201,0.8325104713439941,0.95,0.6,A>=0.95,beta<0.8
46_0.57_1.55.png,neutral,30.299027082655037,30.33491858719713,0.03589150454209289,0.9749182462692261,0.9760273694992065,0.0011091232299804688,11.799133400219599,0.7513036727905273,0.57,1.55,A<0.65,1.4<=beta<1.7
554_0.96_1.87.png,neutral,35.19015339687761,35.208430870114725,0.01827747323711293,0.9920729994773865,0.9929072260856628,0.0008342266082763672,18.499143463897273,0.8799609541893005,0.96,1.87,A>=0.95,beta>=1.7
589_0.81_1.82.png,neutral,36.4985152422556,36.47671933257265,-0.02179590968295031,0.9751866459846497,0.9741135835647583,-0.0010730624198913574,8.770056755999919,0.4353843927383423,0.81,1.82,0.75<=A<0.85,beta>=1.7
603_0.9_0.85.png,neutral,32.51716497519213,32.48152136403921,-0.035643611152920585,0.9878118634223938,0.9877817630767822,-3.0100345611572266e-05,17.641243988047194,0.8965344429016113,0.9,0.85,0.85<=A<0.95,0.8<=beta<1.1
609_0.88_1.91.png,neutral,26.877188233022334,26.871279404035278,-0.00590882898705658,0.9636166095733643,0.9621157646179199,-0.001500844955444336,12.770754502050941,0.784955620765686,0.88,1.91,0.85<=A<0.95,beta>=1.7
629_0.58_1.06.png,neutral,37.49853286450417,37.521698415107736,0.023165550603565066,0.9941161274909973,0.9940372705459595,-7.88569450378418e-05,21.306166583415312,0.9105690121650696,0.58,1.06,A<0.65,0.8<=beta<1.1
660_0.62_1.91.png,neutral,36.00238128813746,35.96627249377191,-0.03610879436554626,0.9844546318054199,0.9846675992012024,0.0002129673957824707,15.697974910760792,0.729274332523346,0.62,1.91,A<0.65,beta>=1.7
668_0.69_1.25.png,neutral,37.52725023247378,37.53123601827329,0.003985785799507369,0.9932368397712708,0.9931482076644897,-8.863210678100586e-05,18.80151133867027,0.8847453594207764,0.69,1.25,0.65<=A<0.75,1.1<=beta<1.4
696_0.96_1.81.png,neutral,31.599223082141474,31.56343296511703,-0.0357901170244439,0.981024980545044,0.9805363416671753,-0.0004886388778686523,8.743694233329887,0.6232584714889526,0.96,1.81,A>=0.95,beta>=1.7
