group_name,group_value,num_images,better_psnr_count,worse_psnr_count,better_030db_count,worse_030db_count,mean_baseline_psnr,mean_current_psnr,mean_delta_psnr,median_delta_psnr,p10_delta_psnr,p90_delta_psnr,min_delta_psnr,max_delta_psnr,mean_delta_ssim
all,all,1000,431,569,345,476,32.39355313308116,32.15181876377115,-0.24173436931001327,-0.21744972705489118,-2.0560090221539693,1.46763429929855,-6.754822112441886,10.61428882187576,-0.0001327439546585083
baseline_strength_bin,baseline_middle_50,500,215,285,170,248,32.49594740712466,32.150092729935416,-0.34585467718924623,-0.28743473509501527,-2.244010347838985,1.3920935147780142,-6.154149361989457,6.535647506949296,-0.0004291476011276245
baseline_strength_bin,baseline_strongest_25,250,91,159,66,136,38.866539827956586,38.41768070658542,-0.4488591213711605,-0.4056705487689811,-2.000602703030091,1.1207847446004124,-4.893621831423836,2.721635855714972,-3.8645267486572266e-05
baseline_strength_bin,baseline_weakest_25,250,125,125,109,92,25.71577789011877,25.889408888628374,0.17363099850959987,-0.000972254926148608,-1.6769394995014075,2.021934312369878,-6.754822112441886,10.61428882187576,0.0003659646511077881
airlight_bin,0.65<=A<0.75,194,80,114,63,99,32.85884173501074,32.56382043413111,-0.2950213008796372,-0.3329852856201079,-2.0080380560008426,1.3683258137796162,-5.63371412218812,10.61428882187576,2.4729782773047376e-06
airlight_bin,0.75<=A<0.85,210,85,125,64,102,32.506851874944864,32.23640347008208,-0.270448404862786,-0.2859006169745051,-2.095387454223593,1.4996641005512852,-6.154149361989457,3.1725983335224726,9.09654867081415e-05
airlight_bin,0.85<=A<0.95,175,79,96,59,76,31.520560080719005,31.33478204522497,-0.18577803549403102,-0.10607919607192429,-1.731401075239998,1.2973993074801058,-3.8138272983404313,2.930475399533332,-9.365592684064592e-05
airlight_bin,A<0.65,295,141,154,122,134,33.36853644612589,33.21711070790356,-0.15142573822233835,-0.08669269411202762,-2.3638992267836927,1.7163016143695748,-6.754822112441886,9.992078714125121,-0.0002051614098629709
airlight_bin,A>=0.95,126,46,80,37,65,30.418116484267454,30.017129794337823,-0.4009866899296298,-0.3948036288390995,-2.0254771752836653,1.2214837435830965,-4.06866932575587,6.737899768201409,-0.0005985242979867118
beta_bin,0.8<=beta<1.1,188,75,113,58,91,32.78604082977242,32.53810233917409,-0.24793849059832718,-0.23505521771005533,-1.936019952935881,1.5313891154140322,-4.373297334686214,9.462902987540673,0.00018030214816965956
