group_name,group_value,num_images,better_psnr_count,worse_psnr_count,better_030db_count,worse_030db_count,mean_baseline_psnr,mean_current_psnr,mean_delta_psnr,median_delta_psnr,p10_delta_psnr,p90_delta_psnr,min_delta_psnr,max_delta_psnr,mean_delta_ssim
all,all,1000,456,544,384,430,32.2105193952809,32.15181876377115,-0.05870063150974247,-0.10518859770723665,-1.8812922400461074,1.8235958194886113,-6.901056585898484,6.020603909009136,-6.528860330581666e-05
baseline_strength_bin,baseline_middle_50,500,226,274,192,228,32.31543831826775,32.175173001959095,-0.14026531630865638,-0.14413841691968088,-2.0753587908882225,1.8236791562967012,-6.901056585898484,5.390161635531772,-0.00032064950466156004
baseline_strength_bin,baseline_strongest_25,250,96,154,75,121,38.71565609157672,38.379608103146886,-0.33604798842983036,-0.2630515087890224,-1.8499171016347098,1.2324443348131604,-4.5516986095090886,2.793278891267896,-0.00013518571853637695
baseline_strength_bin,baseline_weakest_25,250,134,116,117,81,25.495544853011378,25.877320948019552,0.3817760950081732,0.10760260962468848,-1.5362106488952763,2.2846436768182468,-4.718555358382151,6.020603909009136,0.0005153303146362305
airlight_bin,0.65<=A<0.75,194,90,104,77,85,32.507726963368064,32.56382043413111,0.056093470763040124,-0.10693357186941199,-1.5657004632690728,1.8529109965731023,-3.64286112309523,4.794892556207515,8.304186703003558e-05
airlight_bin,0.75<=A<0.85,210,95,115,77,94,32.35585146199712,32.23640347008208,-0.1194479919150391,-0.13343071878270862,-1.743515267865682,1.7783036396972252,-6.901056585898484,3.341750585297987,0.0003891658215295701
airlight_bin,0.85<=A<0.95,175,81,94,67,72,31.41511695989448,31.33478204522497,-0.08033491466951435,-0.08664984119619135,-1.9964727227516865,1.5709922425609004,-4.191378873645995,5.266924074326081,-0.00019822869982038225
airlight_bin,A<0.65,295,144,151,129,125,33.17084910336194,33.21711070790356,0.046261604541622287,-0.02135745816629253,-2.1624128975426515,2.0737783201794957,-5.511630701067016,6.020603909009136,-0.0001627400770025738
airlight_bin,A>=0.95,126,46,80,34,54,30.36702860233963,30.017129794337823,-0.3498988080018064,-0.23338281949262019,-1.7649853378750109,1.0916927392497406,-5.706894804836292,3.2793238034041323,-0.0006382952606867231
beta_bin,0.8<=beta<1.1,188,91,97,77,74,32.70377885692983,32.53810233917409,-0.16567651775574002,-0.05017870398271285,-2.1012739141426984,1.6087485546403313,-6.901056585898484,5.60535377218617,-7.260321302616849e-05
