feature,op,threshold,train_mean_psnr,train_gain_vs_lfv1_psnr,train_residual_precision,train_residual_recall,split,feature_set,valid_mean_psnr,valid_gain_vs_lfv1_psnr,valid_oracle_recovery,valid_residual_precision,valid_residual_recall
lfv1_dark_channel_mean,<=,0.30438295006752014,32.50835108199211,0.07799360487180769,0.5408163265306123,0.7443820224719101,0,output_proxy,32.490735916098494,0.06732176291485531,0.11067590943888617,0.5323383084577115,0.6993464052287581
residual_lfv1_luma_std_delta,>=,-0.00030800104141235355,32.473210990998204,0.09611209635763766,0.5510204081632653,0.7584269662921348,1,output_proxy,32.5992928117567,0.051608632787016606,0.08103197645691121,0.504950495049505,0.6666666666666666
residual_baseline_highfreq_abs_mean_delta,>=,4.8176571726799015e-05,32.54795304545045,0.11128721043581737,0.5595238095238095,0.6601123595505618,2,output_proxy,32.403133265112935,-0.005561386317255259,-0.010577295457705247,0.5433526011560693,0.6143790849673203
residual_luma_std_delta,>=,-0.0027706369757652285,32.53894377933233,0.12360270060533043,0.5448979591836735,0.75,3,output_proxy,32.46362806544538,0.005175649344048014,0.009510195768741382,0.5318181818181819,0.7647058823529411
residual_baseline_edge_mean_delta,>=,0.00022486448287963872,32.65702739915711,0.10008905683576759,0.569047619047619,0.6713483146067416,4,output_proxy,32.14251412176684,0.014455320718965936,0.024619880499346762,0.5053191489361702,0.6209150326797386
height,>=,480.0,32.49427038195006,0.0639129048297654,0.5482954545454546,0.5421348314606742,0,metadata_proxy,32.47273840266805,0.04932424948440962,0.08108828308583932,0.5135135135135135,0.49673202614379086
height,>=,480.0,32.42269583941377,0.045596944773207415,0.5272206303724928,0.5168539325842697,1,metadata_proxy,32.63974566858606,0.09206148961637826,0.14454799626195994,0.5629139072847682,0.5555555555555556
height,>=,440.0,32.4914597979462,0.054793962931566055,0.5314285714285715,0.5224719101123596,2,metadata_proxy,32.4792964320104,0.07060178058020809,0.13427873023672593,0.5533333333333333,0.5424836601307189
height,>=,480.0,32.5054598290528,0.09011875032580437,0.5605633802816902,0.5589887640449438,3,metadata_proxy,32.44662969276165,-0.011822723339681313,-0.02172411730507571,0.4827586206896552,0.45751633986928103
height,>=,480.0,32.62280753338851,0.0658691910671646,0.5449275362318841,0.5280898876404494,4,metadata_proxy,32.17281838264502,0.04475958159714484,0.0762332134683551,0.5225806451612903,0.5294117647058824
lfv1_dark_channel_mean,<=,0.30438295006752014,32.50835108199211,0.07799360487180769,0.5408163265306123,0.7443820224719101,0,output_plus_metadata_proxy,32.490735916098494,0.06732176291485531,0.11067590943888617,0.5323383084577115,0.6993464052287581
residual_lfv1_luma_std_delta,>=,-0.00030800104141235355,32.473210990998204,0.09611209635763766,0.5510204081632653,0.7584269662921348,1,output_plus_metadata_proxy,32.5992928117567,0.051608632787016606,0.08103197645691121,0.504950495049505,0.6666666666666666
residual_baseline_highfreq_abs_mean_delta,>=,4.8176571726799015e-05,32.54795304545045,0.11128721043581737,0.5595238095238095,0.6601123595505618,2,output_plus_metadata_proxy,32.403133265112935,-0.005561386317255259,-0.010577295457705247,0.5433526011560693,0.6143790849673203
residual_luma_std_delta,>=,-0.0027706369757652285,32.53894377933233,0.12360270060533043,0.5448979591836735,0.75,3,output_plus_metadata_proxy,32.46362806544538,0.005175649344048014,0.009510195768741382,0.5318181818181819,0.7647058823529411
residual_baseline_edge_mean_delta,>=,0.00022486448287963872,32.65702739915711,0.10008905683576759,0.569047619047619,0.6713483146067416,4,output_plus_metadata_proxy,32.14251412176684,0.014455320718965936,0.024619880499346762,0.5053191489361702,0.6209150326797386
rescalib_from_lfv1_residual_error_ratio,<=,0.9954224745729039,32.99067451855306,0.560317041432763,0.9942857142857143,0.9775280898876404,0,gt_diagnostic_leakage_check,33.030459834111525,0.6070456809278831,0.9979734620528806,0.9866666666666667,0.9673202614379085
rescalib_from_lfv1_residual_error_ratio,<=,0.9950880744154456,32.92496924161703,0.5478703469764593,0.9914285714285714,0.9747191011235955,1,gt_diagnostic_leakage_check,33.18325856701535,0.6355743880456756,0.9979308899981063,0.9932885906040269,0.9673202614379085
rescalib_from_lfv1_residual_error_ratio,<=,0.9954224745729039,33.03200508563941,0.595339250624781,0.9885714285714285,0.9719101123595506,2,gt_diagnostic_leakage_check,32.93402184424336,0.5253271928131744,0.9991287447720748,1.0,0.9803921568627451
rescalib_from_lfv1_residual_error_ratio,<=,0.9943499430408775,33.00237634242961,0.5870352637026178,0.9885714285714285,0.9719101123595506,3,gt_diagnostic_leakage_check,33.00206932488648,0.543616908785146,0.998889778282631,1.0,0.9673202614379085
rescalib_from_lfv1_residual_error_ratio,<=,0.9948065264993264,33.12577006104312,0.5688317187217745,0.9885714285714285,0.9719101123595506,4,gt_diagnostic_leakage_check,32.714723321687806,0.5866645206399403,0.9991898949990996,1.0,0.9738562091503268
