feature_set,model_type,name,splits,mean_psnr_mean,mean_psnr_std,mean_ssim_mean,mean_ssim_std,gain_vs_lfv1_psnr_mean,gain_vs_lfv1_psnr_std,gain_vs_baseline_psnr_mean,gain_vs_baseline_psnr_std,residual_precision_mean,residual_precision_std,residual_recall_mean,residual_recall_std,two_way_accuracy_mean,two_way_accuracy_std,residual_selection_count_mean,residual_selection_count_std,lost_lfv1_gain_selected_count_mean,lost_lfv1_gain_selected_count_std,residual_worst_selected_count_mean,residual_worst_selected_count_std,oracle_recovery_mean,oracle_recovery_std
output_proxy,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
metadata_proxy,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
output_plus_metadata_proxy,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gt_diagnostic_leakage_check,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gt_diagnostic_leakage_check,stump,decision_stump,5,32.9729065783889,0.15269670509674416,0.9849843946297963,0.0004759221194717205,0.5796457382423639,0.04043912700327729,0.7985217655356195,0.0313239993005452,0.9959910514541388,0.005337835734477353,0.9712418300653594,0.005228758169934622,0.9833333333333332,0.004714045207910316,149.2,0.7483314773547882,0.0,0.0,0.0,0.0,0.9986225540209585,0.0005566386927894103
gt_diagnostic_leakage_check,logistic,ridge_logistic,5,32.97095182317812,0.15323306130580605,0.9849794532855352,0.00047074964398178995,0.5776909830315808,0.04019119839542977,0.7965670103248365,0.03160957459362465,0.9724644095894585,0.01493914408122072,0.9594771241830067,0.019996154955265816,0.9653333333333333,0.011661903789690611,151.0,4.147288270665544,0.2,0.4000000000000001,0.0,0.0,0.9952784682942208,0.002292301032286229
metadata_proxy,logistic,ridge_logistic,5,32.444059220980236,0.1502368508509675,0.9841670096317927,0.000567200225842956,0.050798380833693826,0.0315136287912932,0.26967440812694937,0.05229637795790981,0.5240522199434515,0.02833860581922166,0.5372549019607843,0.13517882113249688,0.5186666666666666,0.034163007934183885,155.8,33.138497250177174,30.4,4.758150901348127,23.8,6.523802572120037,0.08764690587665971,0.057744572473433786
metadata_proxy,stump,decision_stump,5,32.44224571573424,0.15094310052442766,0.9841698110103607,0.0005523897321003793,0.0489848755876919,0.03475174133447847,0.26786090288094744,0.04831734013246488,0.527020003996512,0.028781823563931472,0.5163398692810458,0.035318316564983784,0.5173333333333333,0.028705400188814657,149.8,3.3105890714493698,28.4,3.3823069050575527,22.6,2.576819745345025,0.0828848211495609,0.059049441139721555
output_plus_metadata_proxy,logistic,ridge_logistic,5,32.42553080223441,0.14250537460897106,0.9841777061621348,0.0004954637408293053,0.032269962087866116,0.0490616183759188,0.25114598938112165,0.06862559102007351,0.5306106925869826,0.02825284399185284,0.734640522875817,0.09699663508020469,0.528,0.028409701003550027,213.4,35.290792000180446,46.0,10.807404868885037,32.8,7.547184905645283,0.05511030871185554,0.08964622454875486
output_proxy,logistic,ridge_logistic,5,32.423294475367705,0.14571269110842033,0.9841470377047857,0.0005682567323246267,0.030033635221161852,0.06039470533730457,0.24890966251441737,0.08046994183598975,0.5227266873468785,0.02269348557906185,0.7189542483660131,0.04195243538792475,0.5213333333333333,0.02955973236986047,210.6,12.043255373859678,45.2,6.11228271597445,33.2,4.261455150532504,0.05286103049738158,0.11319895623248151
output_proxy,stump,decision_stump,5,32.41986083603607,0.1525356960189699,0.9841701039870581,0.0005563433683047517,0.026599995889526117,0.028016225636175708,0.24547602318278167,0.01913135409443252,0.5235557470835276,0.015595163086309424,0.673202614379085,0.05530508706223835,0.5206666666666666,0.019708993998792654,196.8,15.663971399361019,40.8,2.227105745132009,32.0,3.7416573867739413,0.04305213334123605,0.04551124856789054
output_plus_metadata_proxy,stump,decision_stump,5,32.41986083603607,0.1525356960189699,0.9841701039870581,0.0005563433683047517,0.026599995889526117,0.028016225636175708,0.24547602318278167,0.01913135409443252,0.5235557470835276,0.015595163086309424,0.673202614379085,0.05530508706223835,0.5206666666666666,0.019708993998792654,196.8,15.663971399361019,40.8,2.227105745132009,32.0,3.7416573867739413,0.04305213334123605,0.04551124856789054
output_proxy,baseline,always_lfv1,5,32.39326084014654,0.1411212638185337,0.9841151738166809,0.0005594931454535717,0.0,0.0,0.21887602729325556,0.04459121228236322,,,0.0,0.0,0.49000000000000005,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metadata_proxy,baseline,always_lfv1,5,32.39326084014654,0.1411212638185337,0.9841151738166809,0.0005594931454535717,0.0,0.0,0.21887602729325556,0.04459121228236322,,,0.0,0.0,0.49000000000000005,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
output_plus_metadata_proxy,baseline,always_lfv1,5,32.39326084014654,0.1411212638185337,0.9841151738166809,0.0005594931454535717,0.0,0.0,0.21887602729325556,0.04459121228236322,,,0.0,0.0,0.49000000000000005,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt_diagnostic_leakage_check,baseline,always_lfv1,5,32.39326084014654,0.1411212638185337,0.9841151738166809,0.0005594931454535717,0.0,0.0,0.21887602729325556,0.04459121228236322,,,0.0,0.0,0.49000000000000005,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
