loss,l1,res_lf,dir,preserve,bound,color,residual_cosine,pred_lf_norm,target_lf_norm,residual_norm_ratio,gate_lf_mean,gate_hf_mean,c_lf_norm,step
0.02683132141828537,0.011125762015581131,0.009746951051056385,0.7310185432434082,0.0,3.290387030574493e-05,0.005508230533450842,0.2689814567565918,0.015221087262034416,5.659955024719238,0.002689259359613061,0.04742587357759476,0.006692850962281227,0.010141666978597641,1
0.027972111478447914,0.010954774916172028,0.009510154835879803,0.7978314161300659,0.0,0.000997699797153473,0.00498582050204277,0.2021685689687729,0.5528132915496826,5.659955024719238,0.09767097234725952,0.08214013278484344,0.011521568521857262,0.45877182483673096,200
0.028150329366326332,0.010955795645713806,0.009515119716525078,0.8066097497940063,0.0,0.0011430641170591116,0.004969788249582052,0.19339028000831604,0.6228092312812805,5.659955024719238,0.11003784090280533,0.0804990828037262,0.009755708277225494,0.5042886734008789,400
0.028080208227038383,0.010972360149025917,0.009556104429066181,0.8020776510238647,0.0,0.0009131855331361294,0.005077527370303869,0.19792231917381287,0.5184652805328369,5.659955024719238,0.0916023701429367,0.0862414687871933,0.009554155170917511,0.4312378168106079,600
0.027403268963098526,0.011021463200449944,0.009630917571485043,0.7654260396957397,0.0,0.0003992376150563359,0.005310164298862219,0.23457393050193787,0.26077359914779663,5.659955024719238,0.046073440462350845,0.02357073500752449,0.0028557837940752506,0.22168344259262085,800
0.026626726612448692,0.010977199301123619,0.00957518257200718,0.7219398021697998,0.02870270237326622,0.0004670327762141824,0.005251556634902954,0.2780601680278778,0.3327258229255676,5.659955024719238,0.058785948902368546,0.03031780943274498,0.004168086219578981,0.2794061601161957,1000
0.02556176483631134,0.011015882715582848,0.009628748521208763,0.6718994975090027,0.0069702668115496635,0.00029873603489249945,0.005358956754207611,0.3281005024909973,0.21246759593486786,5.659955024719238,0.03753874450922012,0.007290503475815058,0.014563025906682014,0.04339271038770676,1200
0.025580070912837982,0.01100231520831585,0.009607216343283653,0.6744806170463562,0.00343570439144969,0.00034921951009891927,0.005337504204362631,0.3255193829536438,0.2453392893075943,5.659955024719238,0.04334650933742523,0.003567937994375825,0.05180317163467407,0.02699861116707325,1400
0.02556137554347515,0.011026392690837383,0.009635353460907936,0.6724694967269897,0.002360244281589985,0.00024574651615694165,0.0053899651393294334,0.32753050327301025,0.19210629165172577,5.659955024719238,0.03394130989909172,0.0024445364251732826,0.04424961656332016,0.018682563677430153,1600
0.02450038678944111,0.011010654270648956,0.00961461290717125,0.6204255819320679,0.0019486112287268043,0.00028110743733122945,0.005360249429941177,0.3795744478702545,0.20997020602226257,5.659955024719238,0.0370975024998188,0.002017620950937271,0.05548059940338135,0.017187373712658882,1800
0.024716490879654884,0.011000556871294975,0.009604986757040024,0.6318780183792114,0.0015096089337021112,0.00034456554567441344,0.0053440420888364315,0.36812201142311096,0.24190562963485718,5.659955024719238,0.04273984953761101,0.0015540323220193386,0.05350516363978386,0.015232435427606106,2000
