group_name,group_value,num_images,mean_delta_psnr,median_delta_psnr,better_030db_count,worse_030db_count,mean_lf_residual_cosine,median_lf_residual_cosine,mean_lf_luma_residual_cosine,mean_lf_residual_norm_ratio,median_lf_residual_norm_ratio,p90_lf_residual_norm_ratio,mean_lf_luma_norm_ratio,mean_lf_residual_error_ratio,mean_lf_mse_delta,mean_lf_luma_mse_delta,lf_mse_improved_count,lf_mse_regressed_count,lf_luma_mse_improved_count,lf_luma_mse_regressed_count,wrong_direction_count,possible_overshoot_count,possible_under_correction_count
all,all,1000,0.16823768901794572,0.20097797019212038,469,379,0.31504421123262727,0.34282444417476654,0.31597838625358415,0.6122024990702494,0.5882920181651516,0.9244930563373528,0.6174179417344763,1.0046339130567612,-5.3431146984621594e-05,-4.948745812907873e-05,554,446,557,443,163,0,124
baseline_strength_bin,baseline_middle_50,500,0.07729988369865214,0.18671236881398556,236,205,0.2997245873834472,0.33495132625102997,0.3033459978522733,0.6430062771087831,0.6094690459075355,0.9052248065203773,0.6480567879013664,1.0179398121475354,4.864729134715162e-05,4.646475859044585e-05,267,233,270,230,90,0,42
baseline_strength_bin,baseline_strongest_25,250,-0.11705884251204406,-0.0796692148078364,97,110,0.34884526759199797,0.3579310327768326,0.3468225100412965,0.7834134032351128,0.7432231906157324,1.0517898165541923,0.792831414942654,1.0342849252785844,1.4131222316791537e-05,1.4773340946703684e-05,118,132,119,131,18,0,3
baseline_strength_bin,baseline_weakest_25,250,0.6354098311865225,0.39410058364418,136,64,0.3118824025716167,0.3382204473018646,0.31039903926849366,0.37938403882831834,0.34174204700479294,0.5669555056089013,0.38072677619251794,0.948371102653389,-0.00032515039294958115,-0.00030565269064391034,169,81,168,82,55,0,79
airlight_bin,0.65<=A<0.75,194,0.35473846827504013,0.3221145579684528,101,71,0.3591282971628783,0.37625008821487427,0.35938605692083997,0.6233495146730931,0.6091240595929462,0.9209142650720258,0.6287680355227869,0.980632025568503,-7.994960752821686e-05,-7.391566987749196e-05,115,79,114,80,26,0,24
airlight_bin,0.75<=A<0.85,210,0.03051278206330134,0.15800502808576944,87,81,0.30552443512937144,0.3324456214904785,0.3089156697548571,0.6234244414282639,0.6084842969235676,0.940037035178847,0.6290431824740327,1.0183671081738301,-4.903300075619925e-06,-7.461700988642406e-06,116,94,117,93,32,0,25
airlight_bin,0.85<=A<0.95,175,0.16470147359196138,0.18525945839668623,79,62,0.3011700369018529,0.2976330518722534,0.3043836885797126,0.5910390908310116,0.5730133132727111,0.9028618408305871,0.5957506201870327,1.0022023454823323,-3.154443616430009e-05,-3.535428789161545e-05,95,80,95,80,28,0,17
airlight_bin,A<0.65,295,0.12486662303722025,0.13160816623959803,138,120,0.30557315824711223,0.33864158391952515,0.3031825651477833,0.6366752844266674,0.5995199280907211,0.9864130720188183,0.6440053327821172,1.0199661118680876,-7.401152149321792e-05,-5.63434581358629e-05,155,140,157,138,57,0,40
airlight_bin,A>=0.95,126,0.2170819862279477,0.30564775184680215,64,45,0.3044789846439565,0.3597681075334549,0.3069777646220274,0.5484326247812694,0.519997010064696,0.8112812817005115,0.5484122446035979,0.9861809041228031,-7.569488046837727e-05,-8.549635265173116e-05,73,53,74,52,20,0,18
beta_bin,0.8<=beta<1.1,188,0.12628942101057694,0.2443295206072431,91,66,0.3010149414417646,0.35495492815971375,0.29771129737182106,0.582629902025318,0.5323770876574638,0.8648987929452185,0.590433496465229,1.01257570507878,3.629031376244421e-05,4.1400820619139966e-05,109,79,111,77,34,0,33
beta_bin,1.1<=beta<1.4,199,0.06732457220195431,0.06255133952846492,89,78,0.3088758589990025,0.33296531438827515,0.3112065266939488,0.6140970017877562,0.5962194921235793,0.9055703767077554,0.6173853959537496,1.0186033257145886,-9.044552547008912e-06,6.890557817506356e-07,106,93,107,92,31,0,24
beta_bin,1.4<=beta<1.7,199,0.2510137947685325,0.2719073994422061,98,67,0.33223360581744704,0.3414589464664459,0.33414162232086586,0.5847285184315164,0.5779093222589116,0.8937269505690646,0.5902850347775139,0.9862785567367373,-0.0001363734010929925,-0.00012598579144938943,119,80,116,83,24,0,26
beta_bin,beta<0.8,196,0.19567916472488933,0.11622823167186169,87,81,0.32249435079426564,0.33745862543582916,0.32408722551843644,0.6636465731725933,0.643281376913468,0.9964833280345935,0.6683068462168297,1.0030827122726376,-1.5957214424017775e-06,3.55005108665827e-06,100,96,104,92,30,0,18
beta_bin,beta>=1.7,218,0.19629736951721113,0.22863108448956737,104,87,0.31038406416250464,0.34553079307079315,0.3122169013400007,0.6148030762569999,0.5778424317887938,0.9315809185621328,0.6197334258027205,1.0031833682967872,-0.00014221464126096365,-0.00015152555972753186,120,98,119,99,44,0,23
