feature,op,threshold,train_mean_psnr,train_gain_vs_lfv1_psnr,train_residual_precision,train_residual_recall,split_family,split,feature_set,valid_mean_psnr,valid_gain_vs_lfv1_psnr,valid_oracle_recovery,valid_residual_precision,valid_residual_recall
residual_lfv1_luma_std_delta_x_baseline_highfreq_abs_mean,>=,4.620566309744556e-05,32.50910015657282,0.07874267945252109,0.5627376425855514,0.4157303370786517,random_stratified,0,rich_output_reference,32.54494970457213,0.1215355513884882,0.19980251699720847,0.625,0.45751633986928103
residual_lfv1_luma_std_delta_x_baseline_lap_var,>=,1.51105384556538e-05,32.47893136615749,0.10183247151692366,0.5560640732265446,0.6825842696629213,random_stratified,1,rich_output_reference,32.61387942236231,0.06619524339263066,0.10393477049251694,0.518918918918919,0.6274509803921569
residual_baseline_edge_mean_delta,>=,0.00014560669660568237,32.55007563224497,0.11340979723033558,0.5560640732265446,0.6825842696629213,random_stratified,2,rich_output_reference,32.40854109588261,-0.00015355554757430075,-0.00029204991403378985,0.5409836065573771,0.6470588235294118
residual_baseline_edge_mean_delta,>=,0.0001515224575996399,32.53762974917652,0.122288670449518,0.5652173913043478,0.6938202247191011,random_stratified,3,rich_output_reference,32.43672356923122,-0.021728846870110594,-0.039926504642629465,0.5164835164835165,0.6143790849673203
residual_lfv1_luma_std_delta_x_baseline_dark_channel_mean,>=,2.460811020704723e-06,32.65959936893024,0.10266102660889641,0.5560640732265446,0.6825842696629213,random_stratified,4,rich_output_reference,32.18761482517892,0.059556024131051696,0.10143408269032125,0.5198019801980198,0.6862745098039216
models_luma_std_max_minus_mean,<=,0.0029521745940049374,32.41791808305519,0.0608186103176728,0.5298013245033113,0.794044665012407,airlight_leave_one,0.65<=A<0.75,rich_output_reference,32.893415256996704,0.1694343038376268,0.24639612656151738,0.5912408759124088,0.7641509433962265
residual_lfv1_luma_std_delta_x_baseline_highfreq_abs_mean,>=,4.490156852106353e-05,32.509340581475065,0.11427755111900305,0.6047297297297297,0.4344660194174757,airlight_leave_one,0.75<=A<0.85,rich_output_reference,32.539869099452744,-0.013343690823510524,-0.02686379339467721,0.4939759036144578,0.422680412371134
residual_lfv1_luma_std_delta_x_baseline_highfreq_abs_mean,>=,4.48862354013313e-05,32.74331955340697,0.11589386835333292,0.603225806451613,0.44630071599045346,airlight_leave_one,0.85<=A<0.95,rich_output_reference,31.46040588592889,-0.02901291275711401,-0.05248027326133124,0.49295774647887325,0.3888888888888889
residual_lfv1_luma_std_abs_delta_x_baseline_luma_std,<=,0.001734148312185546,32.070182755564424,0.13028185193233416,0.5364667747163695,0.9093406593406593,airlight_leave_one,A<0.65,rich_output_reference,33.487833061914664,-0.10757149021642107,-0.19671879310210577,0.4925373134328358,0.9103448275862069
residual_lfv1_luma_std_delta_x_baseline_highfreq_abs_mean,>=,4.438450907946756e-05,32.843606307078076,0.11372115430966337,0.5823170731707317,0.4360730593607306,airlight_leave_one,A>=0.95,rich_output_reference,30.25408146589306,-0.08206818823156563,-0.13032441351001983,0.543859649122807,0.43661971830985913
