group_name,group_value,num_images,mean_delta_psnr,median_delta_psnr,better_030db_count,worse_030db_count,mean_lf_residual_cosine,median_lf_residual_cosine,mean_lf_luma_residual_cosine,mean_lf_residual_norm_ratio,median_lf_residual_norm_ratio,p90_lf_residual_norm_ratio,mean_lf_luma_norm_ratio,mean_lf_residual_error_ratio,mean_lf_mse_delta,mean_lf_luma_mse_delta,lf_mse_improved_count,lf_mse_regressed_count,lf_luma_mse_improved_count,lf_luma_mse_regressed_count,wrong_direction_count,possible_overshoot_count,possible_under_correction_count
all,all,1000,-0.27645571616814324,-0.28006099674059115,332,493,0.1960187103245844,0.23324721306562424,0.1972341949160036,0.5779998686435246,0.5579431305136948,0.8541777073115419,0.5811332273088301,1.0565199131192675,8.573139934560458e-05,8.111285318773298e-05,413,587,417,583,264,2,102
baseline_strength_bin,baseline_middle_50,500,-0.39184167169148315,-0.3904941550040224,152,265,0.18353948133639642,0.19563793390989304,0.18212173115182667,0.604326899046431,0.5682133960454215,0.8378808548845229,0.6079334439618782,1.074705153918987,0.00011096291038847995,0.00011257540181395598,194,306,193,307,144,0,32
baseline_strength_bin,baseline_strongest_25,250,-0.4077685046855128,-0.33215245551528483,70,129,0.26945604782179,0.2858443558216095,0.2709593186826678,0.7412319070650845,0.7038497055315303,0.9744329081763601,0.7439853856457984,1.070576023822531,2.2855171198898462e-05,2.181010941421846e-05,89,161,93,157,30,2,2
baseline_strength_bin,baseline_weakest_25,250,0.08562898339590612,0.07107187100965362,110,99,0.14753983080375474,0.2287842184305191,0.1537339986776933,0.362113769416152,0.34545032316223645,0.5193063343561914,0.3646806356657656,1.0060933208165663,9.814460540656001e-05,7.749049970880151e-05,130,120,131,119,90,0,68
airlight_bin,0.65<=A<0.75,194,-0.16016051902797157,-0.19355519639758967,67,92,0.21966692076554312,0.24249044060707092,0.2239069220557156,0.5864226405468872,0.5801856556095761,0.9076963368564225,0.5881648934822201,1.0426679691459662,6.43015341712768e-05,6.029285962249935e-05,86,108,87,107,49,0,17
airlight_bin,0.75<=A<0.85,210,-0.3168093201941708,-0.35959221638378835,66,110,0.18899720357827998,0.21039295196533203,0.18912170553438565,0.5772470158383801,0.5594539678954314,0.828696862011035,0.5795950988550572,1.0617647538707098,6.752094781231357e-05,6.942353143780825e-05,82,128,84,126,57,0,27
airlight_bin,0.85<=A<0.95,175,-0.1546367534610383,-0.19585068528007454,60,81,0.21954978552488943,0.22528520226478577,0.2157578171896083,0.5562855748477822,0.5348527806756643,0.8325273643410185,0.5588362028469588,1.0341588453858022,1.8562310059288783e-05,2.1658440694279437e-05,75,100,76,99,36,0,19
airlight_bin,A<0.65,295,-0.3782938442275336,-0.3417858101251916,100,150,0.1748631331939408,0.24807503819465637,0.17947911854154605,0.5989235260525221,0.581991222391639,0.9242091570872338,0.6060130114562294,1.0746613002800347,0.00013134030031308657,0.00011432081379190726,119,176,119,176,92,2,27
airlight_bin,A>=0.95,126,-0.3190198597867997,-0.17989322806690744,39,60,0.18815935067906384,0.2326996624469757,0.18552964997647833,0.5474570418056569,0.5293565909857616,0.7715608371062149,0.5455880423485067,1.0576892640236162,0.00013558499859567429,0.00013747801292791136,51,75,51,75,30,0,12
beta_bin,0.8<=beta<1.1,188,-0.25356362255801346,-0.2541487226576731,64,90,0.19000480078156737,0.21301525831222534,0.1887939656227629,0.5546774643256328,0.5128384243096166,0.8436533076757569,0.5585591404691294,1.056217876985633,1.99692589608566e-05,2.5189672824319827e-05,76,112,77,111,53,0,23
beta_bin,1.1<=beta<1.4,199,-0.16465137115319345,-0.23287835412158842,63,94,0.19923593819459628,0.23564554750919342,0.20260932510859103,0.5350526782632853,0.5469485531971667,0.7632058907916157,0.5342085195115146,1.0370222861938918,2.1302970297018595e-05,8.279855169508554e-06,84,115,85,114,48,0,21
beta_bin,1.4<=beta<1.7,199,-0.27478683346013144,-0.3014571493840137,68,101,0.1947460134060885,0.22594133019447327,0.19580307496412092,0.5647549163762569,0.533585392036441,0.8351665430255765,0.5724269920484509,1.054496566759409,0.00014465988971466717,0.00013847359819627302,81,118,81,118,53,0,30
beta_bin,beta<0.8,196,-0.1923557717466805,-0.24437660851102905,71,93,0.24319718503488266,0.27223241329193115,0.24950538068901087,0.6362311739196153,0.6087140657875094,0.9490166021360606,0.6389442874381013,1.046381421728801,4.317498687854897e-05,3.7525502639069524e-05,88,108,89,107,41,2,12
beta_bin,beta>=1.7,218,-0.47539367498548474,-0.43485317717116523,66,115,0.1570126199186993,0.20750930160284042,0.1539165465569192,0.597052678572441,0.5784679628396582,0.8666471459821251,0.5994062466162055,1.0855410176578761,0.0001857260187634976,0.00018265256403537933,84,134,85,133,69,0,16
