group_name,group_value,num_images,better_psnr_count,worse_psnr_count,better_030db_count,worse_030db_count,mean_baseline_psnr,mean_current_psnr,mean_delta_psnr,median_delta_psnr,p10_delta_psnr,p90_delta_psnr,min_delta_psnr,max_delta_psnr,mean_delta_ssim
all,all,1000,484,516,193,172,34.25477958766327,34.26614580356278,0.011366215899505153,-0.010628567842386971,-0.42396038528393304,0.4835198581499284,-1.8677455542244559,1.866752950365104,4.383307695388794e-05
baseline_strength_bin,baseline_middle_50,500,233,267,106,95,34.30925683652786,34.31620537876325,0.006948542235387457,-0.03181492410463349,-0.4384424957429036,0.4795535482607293,-1.1082868259097722,1.866752950365104,5.386018753051758e-05
baseline_strength_bin,baseline_strongest_25,250,137,113,65,44,41.99580785798996,42.04132073786619,0.04551287987624113,0.035178124065545546,-0.4598329818072379,0.6082724119974834,-1.8677455542244559,1.4485878635424427,9.31565761566162e-05
baseline_strength_bin,baseline_weakest_25,250,114,136,22,33,26.404796819607416,26.390851718858418,-0.01394510074899543,-0.025603023184448404,-0.32854454105243247,0.2772588671336844,-1.100084425109511,1.0856429898610855,-2.554464340209961e-05
airlight_bin,0.65<=A<0.75,194,89,105,38,33,34.716663693528425,34.73893721472637,0.022273521197939686,-0.023157903115494705,-0.42559807013461076,0.4838010256571539,-0.7858664472067574,1.866752950365104,4.390004983882314e-05
airlight_bin,0.75<=A<0.85,210,106,104,49,33,34.299109926057845,34.337230899912,0.03812097385415632,0.00799453410316886,-0.35996110439168094,0.5531830529247656,-1.397437780837116,1.2666048983372136,6.317922047206333e-05
airlight_bin,0.85<=A<0.95,175,86,89,24,30,33.36307705603064,33.36431992756972,0.0012428715390770963,-0.004919172990597076,-0.3479343563111101,0.3562581025122782,-0.7645701332903911,1.1296926838355894,2.9501233782087053e-05
airlight_bin,A<0.65,295,144,151,67,60,35.329481758266624,35.337206563193796,0.007724804927176548,-0.020901516801007602,-0.5091241087871836,0.5676746751331696,-1.8677455542244559,1.4485878635424427,6.005279088424424e-05
airlight_bin,A>=0.95,126,59,67,15,16,32.19204875517934,32.16461564648788,-0.02743310869145672,-0.042938021083241296,-0.3632146556179663,0.36126894620293726,-0.6508611017055941,0.6756812157193863,-6.583001878526476e-06
beta_bin,0.8<=beta<1.1,188,78,110,27,36,34.816602081113665,34.75635782762463,-0.060244253489029016,-0.07744787508501716,-0.4626177161640811,0.3938646812576016,-1.8677455542244559,1.1140650832436592,-2.1267444529431933e-05
beta_bin,1.1<=beta<1.4,199,97,102,30,26,33.93575128163382,33.94266916549686,0.006917883863030945,-0.006583380147212381,-0.34178414252506856,0.42707151331769516,-1.1082868259097722,0.9836142167001007,-4.187301175678196e-06
beta_bin,1.4<=beta<1.7,199,94,105,37,33,33.17675811338463,33.2020925959498,0.025334482565175384,-0.011501767383229833,-0.37087618643000725,0.43846685092084264,-0.787220763067797,1.345506665268509,3.170817341636773e-05
beta_bin,beta<0.8,196,112,84,54,41,37.251660532610074,37.32459062962584,0.07293009701576547,0.0581828112216769,-0.4607060681826418,0.6201191673107775,-1.6228725568961124,1.866752950365104,0.0001984989764739056
beta_bin,beta>=1.7,218,103,115,45,36,32.35111725877825,32.36019806437981,0.009080805601557412,-0.028461920568531696,-0.41543454664107454,0.4615630506610377,-0.997392101010746,1.0856429898610855,1.582065853503866e-05
airlight_beta_bin,0.65<=A<0.75 | 0.8<=beta<1.1,31,16,15,6,5,36.1401119790521,36.14763202175555,0.007520042703442259,0.022564293679387504,-0.4558163681740268,0.448825675930955,-0.7684328782716605,0.8165269651413709,4.312492186023343e-05
airlight_beta_bin,0.65<=A<0.75 | 1.1<=beta<1.4,39,19,20,3,4,33.71040317950643,33.71595330810438,0.0055501285979552145,-0.006583380147212381,-0.28533785722870064,0.22699928917219772,-0.49439580381349657,0.9836142167001007,-1.245889908228165e-05
airlight_beta_bin,0.65<=A<0.75 | 1.4<=beta<1.7,40,15,25,6,8,34.2589356783349,34.203071189130384,-0.05586448920451019,-0.08004875220231966,-0.4246534713382076,0.33836388856251287,-0.7858664472067574,0.4587535653038799,-4.8758089542388915e-05
airlight_beta_bin,0.65<=A<0.75 | beta<0.8,42,24,18,14,5,37.469068400677315,37.665033671658215,0.19596527098090372,0.08700924902826301,-0.3631666062557442,0.8098867526166472,-0.7387179086462012,1.866752950365104,0.00012248186838059198
airlight_beta_bin,0.65<=A<0.75 | beta>=1.7,42,15,27,9,11,32.28393479122158,32.23335205218006,-0.05058273904152885,-0.0909691943509312,-0.5149102501674406,0.3857418677118474,-0.7336360747868014,0.9404957414571271,0.00010646950630914598
airlight_beta_bin,0.75<=A<0.85 | 0.8<=beta<1.1,44,17,27,6,8,35.04493289771141,35.00752188601303,-0.03741101169838017,-0.13791817375851245,-0.3369642036168969,0.30316121355647496,-0.7609141871223457,0.7564494896756955,-5.8888034387068316e-05
airlight_beta_bin,0.75<=A<0.85 | 1.1<=beta<1.4,36,18,18,7,6,33.68203194696919,33.68670726072554,0.004675313756350836,0.006292052932764136,-0.4059507578385002,0.4540552803756608,-0.6715704740707977,0.7506140814892035,4.8013197051154246e-05
airlight_beta_bin,0.75<=A<0.85 | 1.4<=beta<1.7,37,24,13,13,0,31.850446073187584,32.04682259989595,0.19637652670835584,0.15985767162180764,-0.176557991862866,0.6122205973059394,-0.29574579387575284,1.2666048983372136,0.0002940442111041095
airlight_beta_bin,0.75<=A<0.85 | beta<0.8,44,24,20,13,11,37.60831114289396,37.64900132981747,0.0406901869235278,0.07012044263326978,-0.4640668659695201,0.6925971454477688,-1.397437780837116,0.8160292925947488,0.00014582140879197553
airlight_beta_bin,0.75<=A<0.85 | beta>=1.7,49,23,26,10,8,32.960218201768996,32.968929998014474,0.00871179624548031,-0.03748074174364291,-0.3693281150797958,0.408852533140339,-0.5851319008854432,0.6488953907314539,-6.460291998726981e-05
airlight_beta_bin,0.85<=A<0.95 | 0.8<=beta<1.1,27,14,13,6,4,33.68915298182307,33.705420218470195,0.016267236647121125,0.01219133873457423,-0.3777079421828077,0.43839271873572316,-0.4631877757342977,0.5152254602912905,5.251610720599139e-05
