group,num_images,mean_delta_brf_vs_cr,mean_delta_brf_vs_lfv1,wrong_direction_count,lf_mse_improved_count,lf_mse_regressed_count,mean_residual_cosine,mean_gate_lf
all,1000,-0.000743117728058829,-0.2034803572852519,557,443,557,-0.05057970153356905,0.032675178619101644
weak_cr,250,-0.0009109768935533466,-0.49470937472674875,150,100,150,-0.1010698707960546,0.03255925598740578
strong_cr,250,-0.0009188220260992637,0.05117890245556876,146,104,146,-0.0389489589069226,0.03273489820957184
lfv1_gain,453,6.034406219228101e-05,-1.4599099643206883,232,221,232,-0.00027662702656211085,0.0326699408811515
lfv1_regression,352,-0.0022365664737684946,1.3012834124773531,227,125,227,-0.13294468295696954,0.032649391346653414
