feature_set,model_type,name,splits,mean_psnr_mean,mean_psnr_std,mean_ssim_mean,mean_ssim_std,gain_vs_lfv1_psnr_mean,gain_vs_lfv1_psnr_std,gain_vs_baseline_psnr_mean,gain_vs_baseline_psnr_std,residual_precision_mean,residual_precision_std,residual_recall_mean,residual_recall_std,two_way_accuracy_mean,two_way_accuracy_std,residual_selection_count_mean,residual_selection_count_std,lost_lfv1_gain_selected_count_mean,lost_lfv1_gain_selected_count_std,residual_worst_selected_count_mean,residual_worst_selected_count_std,oracle_recovery_mean,oracle_recovery_std
output_proxy,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
metadata_proxy,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
output_plus_metadata_proxy,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gt_diagnostic_leakage_check,oracle,two_way_oracle,5,32.97372426712505,0.15299178806477837,0.9849842311541239,0.0004773416038616685,0.5804634269785109,0.04075698669947439,0.7993394542717666,0.031227432111389935,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gt_diagnostic_leakage_check,stump,decision_stump,5,32.9729065783889,0.15269670509674416,0.9849843946297963,0.0004759221194717205,0.5796457382423639,0.04043912700327729,0.7985217655356195,0.0313239993005452,0.9959910514541388,0.005337835734477353,0.9712418300653594,0.005228758169934622,0.9833333333333332,0.004714045207910316,149.2,0.7483314773547882,0.0,0.0,0.0,0.0,0.9986225540209585,0.0005566386927894103
gt_diagnostic_leakage_check,logistic,ridge_logistic,5,32.97095182317812,0.15323306130580605,0.9849794532855352,0.00047074964398178995,0.5776909830315808,0.04019119839542977,0.7965670103248365,0.03160957459362465,0.9724644095894585,0.01493914408122072,0.9594771241830067,0.019996154955265816,0.9653333333333333,0.011661903789690611,151.0,4.147288270665544,0.2,0.4000000000000001,0.0,0.0,0.9952784682942208,0.002292301032286229
metadata_proxy,logistic,ridge_logistic,5,32.444059220980236,0.1502368508509675,0.9841670096317927,0.000567200225842956,0.050798380833693826,0.0315136287912932,0.26967440812694937,0.05229637795790981,0.5240522199434515,0.02833860581922166,0.5372549019607843,0.13517882113249688,0.5186666666666666,0.034163007934183885,155.8,33.138497250177174,30.4,4.758150901348127,23.8,6.523802572120037,0.08764690587665971,0.057744572473433786
metadata_proxy,stump,decision_stump,5,32.44224571573424,0.15094310052442766,0.9841698110103607,0.0005523897321003793,0.0489848755876919,0.03475174133447847,0.26786090288094744,0.04831734013246488,0.527020003996512,0.028781823563931472,0.5163398692810458,0.035318316564983784,0.5173333333333333,0.028705400188814657,149.8,3.3105890714493698,28.4,3.3823069050575527,22.6,2.576819745345025,0.0828848211495609,0.059049441139721555
output_plus_metadata_proxy,logistic,ridge_logistic,5,32.42618578269279,0.1434298037605556,0.9841819081306458,0.0005055540599619569,0.03292494254624968,0.051902221205428825,0.25180096983950523,0.06655473428296454,0.5235505391008348,0.01837652406040607,0.7503267973856209,0.07479591895905868,0.5226666666666666,0.023981474331473258,219.8,25.293477420078087,47.2,8.565045242145542,34.0,6.54217089351845,0.0556449362297625,0.09449429518868144
output_proxy,logistic,ridge_logistic,5,32.420031087180426,0.13764773982066528,0.9841447358926138,0.0005627264485598685,0.02677024703387921,0.04955505314403543,0.24564627432713473,0.06967510035391618,0.5230909686242508,0.02026051245801828,0.7071895424836601,0.05284021681413786,0.5206666666666666,0.024349309823666225,207.2,17.747112441183216,44.4,7.605261336732617,32.6,4.454211490264018,0.045864140627046454,0.09130109726672128
output_proxy,stump,decision_stump,5,32.41384195980866,0.15127850796095443,0.9841712029774984,0.0005559421126861015,0.020581119662116586,0.03446327557388205,0.23945714695537212,0.02221547411187473,0.5194143329421135,0.015600577808087466,0.6405228758169935,0.03674109626811814,0.514,0.01878533707147385,188.8,11.408768557561329,41.0,2.280350850198276,30.8,2.3151673805580453,0.031992517933496945,0.05746699902762533
output_plus_metadata_proxy,stump,decision_stump,5,32.41384195980866,0.15127850796095443,0.9841712029774984,0.0005559421126861015,0.020581119662116586,0.03446327557388205,0.23945714695537212,0.02221547411187473,0.5194143329421135,0.015600577808087466,0.6405228758169935,0.03674109626811814,0.514,0.01878533707147385,188.8,11.408768557561329,41.0,2.280350850198276,30.8,2.3151673805580453,0.031992517933496945,0.05746699902762533
output_proxy,baseline,always_lfv1,5,32.39326084014654,0.1411212638185337,0.9841151738166809,0.0005594931454535717,0.0,0.0,0.21887602729325556,0.04459121228236322,,,0.0,0.0,0.49000000000000005,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metadata_proxy,baseline,always_lfv1,5,32.39326084014654,0.1411212638185337,0.9841151738166809,0.0005594931454535717,0.0,0.0,0.21887602729325556,0.04459121228236322,,,0.0,0.0,0.49000000000000005,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
output_plus_metadata_proxy,baseline,always_lfv1,5,32.39326084014654,0.1411212638185337,0.9841151738166809,0.0005594931454535717,0.0,0.0,0.21887602729325556,0.04459121228236322,,,0.0,0.0,0.49000000000000005,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gt_diagnostic_leakage_check,baseline,always_lfv1,5,32.39326084014654,0.1411212638185337,0.9841151738166809,0.0005594931454535717,0.0,0.0,0.21887602729325556,0.04459121228236322,,,0.0,0.0,0.49000000000000005,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
