name,feature_set,model_type,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,residual_selection_count,lfv1_selection_count,residual_precision,residual_recall,two_way_accuracy,lost_lfv1_gain_selected_count,residual_worst_selected_count,split,oracle_recovery,prob_threshold
always_lfv1,output_proxy,baseline,300,32.42341415318364,0.9850379580259323,0.0,0.14849304493636575,0,300,,0.0,0.49,0,0,0,0.0,
always_residual,output_proxy,baseline,300,32.38798337562583,0.984958867430687,-0.035430777557812765,0.11306226737855297,300,0,0.51,1.0,0.51,64,53,0,-0.05824763580979427,
two_way_oracle,output_proxy,oracle,300,33.0316925333313,0.9858817841609319,0.6082783801476647,0.7567714250840303,153,147,1.0,1.0,1.0,0,0,0,1.0,
decision_stump,output_proxy,stump,300,32.490735916098494,0.9852026307582855,0.06732176291485531,0.21581480785122106,201,99,0.5323383084577115,0.6993464052287581,0.5333333333333333,43,30,0,0.11067590943888617,
ridge_logistic,output_proxy,logistic,300,32.44513514294703,0.9851702859004339,0.021720989763389428,0.17021403469975518,221,79,0.5203619909502263,0.7516339869281046,0.52,50,33,0,0.03570896233089277,0.48242785286910866
always_lfv1,output_proxy,baseline,300,32.54768417896968,0.9839076377948125,0.0,0.1849676030290456,0,300,,0.0,0.49,0,0,1,0.0,
always_residual,output_proxy,baseline,300,32.54663334236749,0.9840051833788553,-0.0010508366021808632,0.18391676642686475,300,0,0.51,1.0,0.51,65,48,1,-0.0016499442478817644,
two_way_oracle,output_proxy,oracle,300,33.18457636701175,0.9848209047317504,0.6368921880420814,0.821859791071127,153,147,1.0,1.0,1.0,0,0,1,1.0,
decision_stump,output_proxy,stump,300,32.5992928117567,0.9838708647092184,0.051608632787016606,0.23657623581606227,202,98,0.504950495049505,0.6666666666666666,0.49666666666666665,43,31,1,0.08103197645691121,
ridge_logistic,output_proxy,logistic,300,32.590087173985836,0.9838741747538249,0.04240299501615181,0.22737059804519746,228,72,0.5131578947368421,0.7647058823529411,0.51,51,32,1,0.06657797946384941,0.46168713837794684
always_lfv1,output_proxy,baseline,300,32.40869465143019,0.9844014889001846,0.0,0.2601049467771159,0,300,,0.0,0.49,0,0,2,0.0,
always_residual,output_proxy,baseline,300,32.372741106397314,0.9841548754771551,-0.03595354503287437,0.22415140174424153,300,0,0.51,1.0,0.51,63,51,2,-0.06838066030131681,
two_way_oracle,output_proxy,oracle,300,32.93447993742255,0.9849240066607793,0.5257852859923614,0.7858902327694774,153,147,1.0,1.0,1.0,0,0,2,1.0,
decision_stump,output_proxy,stump,300,32.403133265112935,0.9842304283380509,-0.005561386317255259,0.25454356045986065,173,127,0.5433526011560693,0.6143790849673203,0.54,37,27,2,-0.010577295457705247,
ridge_logistic,output_proxy,logistic,300,32.49335364527965,0.98429478764534,0.0846589938494538,0.3447639406265697,178,122,0.5561797752808989,0.6470588235294118,0.5566666666666666,30,26,2,0.16101438382717262,0.49619209805881004
always_lfv1,output_proxy,baseline,300,32.45845241610133,0.9838229829072952,0.0,0.24174490459312087,0,300,,0.0,0.49,0,0,3,0.0,
always_residual,output_proxy,baseline,300,32.370664318805574,0.9839528248707453,-0.087788097295755,0.15395680729736588,300,0,0.51,1.0,0.51,62,55,3,-0.16130961275575179,
two_way_oracle,output_proxy,oracle,300,33.002673530987266,0.9848424629370371,0.5442211148859432,0.7859660194790641,153,147,1.0,1.0,1.0,0,0,3,1.0,
decision_stump,output_proxy,stump,300,32.43353368430833,0.9839703460534414,-0.024918731792999662,0.2168261728001212,180,120,0.5111111111111111,0.6013071895424836,0.5033333333333333,42,32,3,-0.045787881269954187,
ridge_logistic,output_proxy,logistic,300,32.394802436350666,0.9838068548838298,-0.06364997975066654,0.17809492484245434,198,102,0.494949494949495,0.6405228758169934,0.48333333333333334,44,40,3,-0.1169561011318096,0.5031364664654994
always_lfv1,output_proxy,baseline,300,32.12805880104787,0.9834058014551799,0.0,0.2590696371306295,0,300,,0.0,0.49,0,0,4,0.0,
always_residual,output_proxy,baseline,300,32.090713697414664,0.9837073910236359,-0.03734510363320063,0.2217245334974289,300,0,0.51,1.0,0.51,69,48,4,-0.06360509092536355,
two_way_oracle,output_proxy,oracle,300,32.71519896687237,0.9844519972801209,0.5871401658245042,0.8462098029551339,153,147,1.0,1.0,1.0,0,0,4,1.0,
