balanced_accuracy_mean,balanced_accuracy_std,feature_set,gain_vs_lfv1_mean,gain_vs_lfv1_std,intervene_precision_mean,intervene_precision_std,intervene_recall_mean,intervene_recall_std,lfv1_gain_preserve_recall_mean,lfv1_gain_preserve_recall_std,lfv1_regression_intervene_recall_mean,lfv1_regression_intervene_recall_std,oracle_recovery_mean,oracle_recovery_std,passes_preflight_line,preserve_precision_mean,preserve_precision_std,preserve_recall_mean,preserve_recall_std,split_family,splits,task
0.6011904761903586,0.18452380952376135,hazy_basic,0.7139133734694809,0.05314044600182655,0.7777777777776219,0.22222222222212806,0.7023809523808422,0.13095238095235234,0.5,0.5,0.7023809523809523,0.130952380952381,0.5275939347630589,0.04113531628283629,False,0.2857142857142449,0.2857142857142449,0.499999999999875,0.499999999999875,airlight_bin,2,extreme_preserve_vs_intervene
0.7952380952379394,0.0619047619047417,hazy_basic,0.7867240479625082,0.5156252003328596,0.8333333333331777,0.16666666666662222,0.7571428571427261,0.04285714285711384,0.8333333333333333,0.16666666666666669,0.7571428571428571,0.04285714285714287,0.44422420675597496,0.21110136924660208,False,0.7333333333331977,0.06666666666664223,0.8333333333331527,0.16666666666659724,random,2,extreme_preserve_vs_intervene
0.7886904761903117,0.002976190476191798,hazy_wavelet,0.8127978191043503,0.045743999633042876,0.9166666666664722,0.08333333333327775,0.7023809523808422,0.13095238095235234,0.875,0.125,0.7023809523809523,0.130952380952381,0.600392302875796,0.03166305182990087,False,0.6607142857141511,0.08928571428566134,0.8749999999997813,0.12499999999996875,airlight_bin,2,extreme_preserve_vs_intervene
0.8285714285712689,0.02857142857141226,hazy_wavelet,0.80377279929378,0.34697712296675753,0.9999999999997333,6.666891573912433e-14,0.6571428571427461,0.057142857142866155,1.0,0.0,0.6571428571428571,0.05714285714285716,0.5122620356208798,0.13272109260109682,True,0.7083333333332309,0.0416666666666754,0.9999999999997917,4.168891153281486e-14,random,2,extreme_preserve_vs_intervene
0.7886904761903117,0.002976190476191798,hazy_wavelet_plus_metadata,0.8127978191043503,0.045743999633042876,0.9166666666664722,0.08333333333327775,0.7023809523808422,0.13095238095235234,0.875,0.125,0.7023809523809523,0.130952380952381,0.600392302875796,0.03166305182990087,False,0.6607142857141511,0.08928571428566134,0.8749999999997813,0.12499999999996875,airlight_bin,2,extreme_preserve_vs_intervene
0.5833333333332278,0.21666666666662887,hazy_wavelet_plus_metadata,0.7239433312084191,0.2917776479107328,0.5749999999999131,0.17499999999999316,0.6666666666665555,0.3333333333332778,0.5,0.09999999999999998,0.6666666666666666,0.33333333333333337,0.47590692863208484,0.17847237141182604,False,0.6666666666664722,0.3333333333331944,0.49999999999989997,0.09999999999998,random,2,extreme_preserve_vs_intervene
0.562499999999907,0.06249999999999031,metadata_diagnostic,1.0510683344443645,0.07947720108828626,0.6499999999999351,0.04999999999999499,0.9999999999998452,1.1879386363489175e-14,0.125,0.125,1.0,0.0,0.7767603515645314,0.06147850387840953,False,0.49999999999949996,0.49999999999949996,0.12499999999996875,0.12499999999996875,airlight_bin,2,extreme_preserve_vs_intervene
0.5446428571427593,0.062499999999984374,metadata_diagnostic,0.6986194663863774,0.08294143612898885,0.6696428571427671,0.044642857142845216,0.7142857142856123,0.0,0.375,0.125,0.7142857142857143,0.0,0.5035401168510434,0.04553173229015925,False,0.4166666666665486,0.08333333333332638,0.37499999999990624,0.12499999999996875,random,2,extreme_preserve_vs_intervene
0.7053571428568151,0.04464285714266398,hazy_basic,0.7070516267524134,0.06595916510018185,0.8999999999998367,0.0999999999999967,0.5357142857142241,0.03571428571426574,0.75,0.0,0.5357142857142857,0.0357142857142857,0.5573433119909036,0.07068541132666228,False,0.32142857142851955,0.17857142857139713,0.8749999999994063,0.12499999999959371,airlight_bin,2,oracle_lfv1_vs_best_alt
0.636363636363299,0.13636363636344895,hazy_basic,0.6267620039898425,0.18624044646594484,0.916666666666514,0.08333333333331944,0.522727272727223,0.022727272727272957,0.45,0.04999999999999999,0.5,0.0,0.5151050179485498,0.15089462977578494,False,0.16666666666663887,0.0,0.7499999999993749,0.24999999999962497,random,2,oracle_lfv1_vs_best_alt
0.6636904761901623,0.12797619047597997,hazy_wavelet,0.6967915234794937,0.2594684046818472,0.8333333333332062,0.1666666666666508,0.5773809523808873,0.0059523809523974736,0.625,0.125,0.6071428571428572,0.10714285714285715,0.5544418435736436,0.22246671730636308,False,0.2833333333332794,0.11666666666664055,0.7499999999994374,0.24999999999956246,airlight_bin,2,oracle_lfv1_vs_best_alt
0.6861111111109015,0.03611111111116644,hazy_wavelet,0.5731423222996419,0.20431735239501947,0.9374999999997786,0.06249999999988798,0.5388888888888307,0.23888888888886065,0.6666666666666666,0.33333333333333337,0.5,0.09999999999999998,0.5697315878143091,0.11324789168477908,False,0.3611111111110363,0.1388888888888387,0.8333333333329722,0.16666666666652774,random,2,oracle_lfv1_vs_best_alt
0.6845238095234939,0.14880952380931156,hazy_wavelet_plus_metadata,0.761264598363276,0.32394147956562946,0.8333333333332152,0.16666666666665975,0.6190476190475505,0.04761904761906066,0.625,0.125,0.6785714285714286,0.17857142857142855,0.6068226684397223,0.2748475421724418,False,0.29999999999994,0.09999999999998,0.7499999999994374,0.24999999999956246,airlight_bin,2,oracle_lfv1_vs_best_alt
0.7222222222220308,0.0,hazy_wavelet_plus_metadata,0.3549332863233019,0.0,0.99999999999975,0.0,0.44444444444439507,0.0,0.5,0.0,0.0,0.0,0.37344653764469016,0.0,False,0.37499999999995315,0.0,0.9999999999996666,0.0,random,1,oracle_lfv1_vs_best_alt
0.5386904761901727,0.0029761904759904034,metadata_diagnostic,0.34554190147794017,0.24983518147517003,0.8333333333327777,0.1666666666662222,0.3273809523809081,0.2440476190475817,0.625,0.125,0.25,0.25,0.26485573511485916,0.18709929263078945,False,0.24166666666662318,0.1583333333332968,0.7499999999994374,0.24999999999956246,airlight_bin,2,oracle_lfv1_vs_best_alt
0.22727272727270662,0.0,metadata_diagnostic,0.7402966617894933,0.0,0.8333333333331945,0.0,0.45454545454541323,0.0,0.4,0.0,0.3333333333333333,0.0,0.47128841738266397,0.0,False,0.0,0.0,0.0,0.0,random,1,oracle_lfv1_vs_best_alt
