group_name,group_value,num_images,mean_delta_psnr,median_delta_psnr,better_030db_count,worse_030db_count,mean_lf_residual_cosine,median_lf_residual_cosine,mean_lf_luma_residual_cosine,mean_lf_residual_norm_ratio,median_lf_residual_norm_ratio,p90_lf_residual_norm_ratio,mean_lf_luma_norm_ratio,mean_lf_residual_error_ratio,mean_lf_mse_delta,mean_lf_luma_mse_delta,lf_mse_improved_count,lf_mse_regressed_count,lf_luma_mse_improved_count,lf_luma_mse_regressed_count,wrong_direction_count,possible_overshoot_count,possible_under_correction_count
all,all,1000,-0.03472134685812996,0.027147258142282027,414,386,0.25924594600166895,0.31968431174755096,0.2612528693858476,0.580383493812284,0.5445602487485324,0.8790181658619503,0.5846442734824799,1.025883503211961,2.9752463543445628e-05,2.649415250016318e-05,512,488,509,491,211,0,121
baseline_strength_bin,baseline_middle_50,500,-0.14924539494580025,-0.009783295854045804,207,208,0.2416463889115257,0.29908487200737,0.2421404720127466,0.606319479875986,0.552521366534191,0.8730632020529205,0.6097129235214991,1.0440020505053353,8.106392949412111e-05,8.236221704282797e-05,250,250,248,252,115,0,42
baseline_strength_bin,baseline_strongest_25,250,-0.23738388554001813,-0.13344902120438817,80,103,0.30957238077931104,0.3435791879892349,0.30920350055024026,0.7529682574431482,0.7305795273413338,0.9673212074254124,0.7623579095604136,1.0476091234872562,1.8910957489424617e-05,1.9088369990640787e-05,112,138,112,138,26,0,0
baseline_strength_bin,baseline_weakest_25,250,0.3969892879990988,0.36467110258374547,127,75,0.2441186254043132,0.3441542387008667,0.2515270329676568,0.35592675805401625,0.3434771123902798,0.5396280797976118,0.35679333732650786,0.9679207883499175,-6.202896230388433e-05,-7.783619407564402e-05,150,100,149,101,70,0,79
airlight_bin,0.65<=A<0.75,194,0.13486078185166564,0.20478164563737522,92,63,0.2977018185396746,0.3802531063556671,0.3050262785262246,0.5887090074683871,0.5471939167897891,0.8861918173977724,0.5918332719920263,1.0046491275537603,-2.8916607784454174e-06,-5.602726381879358e-06,107,87,109,85,42,0,30
airlight_bin,0.75<=A<0.85,210,-0.04636091533138486,-0.09752544698228505,74,84,0.2625939952475684,0.29614049196243286,0.266246186130281,0.5752455935491967,0.5467262405733624,0.8712420221356497,0.5783595378576765,1.024548782551701,4.394857824081555e-05,4.181184982111777e-05,100,110,99,111,37,0,26
airlight_bin,0.85<=A<0.95,175,0.031141282032992733,0.08313343747158086,75,68,0.2692496598172667,0.31982743740081787,0.271892829244025,0.5602121624795616,0.5447166887783736,0.8312924325343223,0.5625269214889576,1.0116951443013829,-1.0646341480813654e-05,-2.110615522334618e-05,89,86,90,85,29,0,16
airlight_bin,A<0.65,295,-0.2268681060051953,-0.059302003421272786,113,126,0.22084919553628918,0.279020220041275,0.21832508072878581,0.6073056323042311,0.5567509952592127,0.961148083598749,0.6168676626474809,1.0574447172022412,0.00010433936759154213,0.00010750081184935772,144,151,140,155,76,0,29
airlight_bin,A>=0.95,126,0.08196683014283014,0.22434380471801063,60,45,0.27045913533139454,0.36147168278694153,0.2712613359659112,0.5411117599556685,0.5083913432722194,0.8167409939627694,0.539324952574129,1.0066149706608822,-6.216475695610925e-05,-7.316324901318968e-05,72,54,71,55,27,0,20
beta_bin,0.8<=beta<1.1,188,-0.0056251319596862664,0.06910015741704889,80,77,0.24093000273755255,0.2894052565097809,0.24101696338843892,0.5371999456812111,0.509997342266967,0.8203938441753607,0.5421582583819137,1.0216379773349626,7.198982973235654e-05,7.342740774858728e-05,97,91,98,90,44,0,29
beta_bin,1.1<=beta<1.4,199,-0.023328498039636297,0.14798758629592967,92,79,0.2749335757906001,0.32417115569114685,0.2783337451222741,0.5696314510700035,0.5313765086652664,0.8641141668025493,0.571315995874945,1.02602302526525,-3.2708030402085315e-05,-3.540264528119543e-05,102,97,104,95,40,0,31
beta_bin,1.4<=beta<1.7,199,0.11779046117004316,0.08313343747158086,89,62,0.2759247445828988,0.3479246497154236,0.276749218100373,0.5632143821062039,0.5099841130688929,0.8409219572611963,0.5712531016923122,1.0010506375268933,1.108842924115571e-06,1.0565456442286883e-07,107,92,104,95,35,0,22
beta_bin,beta<0.8,196,-0.07962455747307993,-0.06683416171698653,68,81,0.2640460658095639,0.3188462555408478,0.26686247683600023,0.634644265346209,0.6229619681042338,0.9389923780532468,0.6393608327958192,1.0328756513873036,4.3464305119822694e-05,4.510814887351221e-05,93,103,93,103,42,0,16
beta_bin,beta>=1.7,218,-0.16906119012814788,0.027147258142282027,85,87,0.24118014144040473,0.29702983796596527,0.24392259232870755,0.594327097313276,0.5787972544423938,0.90633135841281,0.5964795746000704,1.0457994353460551,6.416334889171252e-05,4.9874788150725325e-05,113,105,110,108,50,0,23
