active_feature_count,confidence_corr,feature_count,feature_set,head,intervention_count,intervention_precision,lf_mse_gain_mean,lf_mse_improved_count,lf_mse_improved_rate,lf_mse_regressed_count,lfv1_gain_case_count,lfv1_gain_preservation_recall,mean_residual_cosine,median_residual_cosine,n,residual_error_ratio_mean,residual_norm_ratio_mean,split,split_family,strong_cr_case_count,strong_cr_preservation_recall,train_lf_mse_improved_rate,train_mean_residual_cosine,train_n,valid_n,wrong_direction_count,wrong_direction_rate
240,0.4766234891549622,254,A_output,ridge,586,0.6399317406143344,3.139771069982089e-05,441,0.588,309,281,0.6725978647686833,0.33236172795295715,0.36237630248069763,750,1.0070887804031372,0.5806688070297241,random_1,random,178,0.2752808988764045,0.6515555555555556,0.4003489017486572,2250,750,117,0.156
240,0.44221235216033244,254,A_output,ridge,587,0.6286201022146508,3.5506589483702555e-05,437,0.5826666666666667,313,292,0.678082191780822,0.33487051725387573,0.3572198152542114,750,1.0104342699050903,0.5821262001991272,random_2,random,195,0.2512820512820513,0.6635555555555556,0.40368524193763733,2250,750,113,0.15066666666666667
240,0.44025685549987115,254,A_output,ridge,569,0.616871704745167,2.7401531042414717e-05,413,0.5506666666666666,337,301,0.5946843853820598,0.31395941972732544,0.33080723881721497,750,1.0120481252670288,0.5882157683372498,random_3,random,189,0.2857142857142857,0.6604444444444444,0.40708622336387634,2250,750,116,0.15466666666666667
240,0.4675957647957888,254,A_output,ridge,411,0.656934306569343,3.129820106551051e-05,322,0.5951940850277264,219,224,0.6696428571428571,0.3540729880332947,0.37522009015083313,541,1.010938286781311,0.6007237434387207,airlight_bin=0.65<=A<0.75,airlight_bin,177,0.3163841807909605,0.6612444082960554,0.3950902223587036,2459,541,67,0.12384473197781885
240,0.4436438275341953,254,A_output,ridge,527,0.5958254269449715,3.2978779927361757e-05,368,0.5687789799072643,279,208,0.6442307692307693,0.3349459767341614,0.3620850741863251,647,0.996320366859436,0.5696590542793274,airlight_bin=0.75<=A<0.85,airlight_bin,157,0.27388535031847133,0.6587335316617084,0.3978368937969208,2353,647,100,0.1545595054095827
240,0.4288097430585704,254,A_output,ridge,543,0.6187845303867403,3.820089477812871e-05,368,0.5741029641185648,273,240,0.6416666666666667,0.33477646112442017,0.3523293435573578,641,1.00938081741333,0.5832095742225647,airlight_bin=0.85<=A<0.95,airlight_bin,98,0.1836734693877551,0.6638406104281476,0.3999135196208954,2359,641,99,0.1544461778471139
240,0.05419765630556635,254,A_output,ridge,534,0.42696629213483145,-1.98881662072381e-06,319,0.37662337662337664,528,338,0.46153846153846156,0.2102280706167221,0.23126721382141113,847,1.1358847618103027,0.7162679433822632,airlight_bin=A<0.65,airlight_bin,293,0.14675767918088736,0.6781235485369252,0.42838719487190247,2153,847,225,0.26564344746162927
240,0.4606753053905373,254,A_output,ridge,287,0.6132404181184669,4.1384584619663656e-05,191,0.5895061728395061,133,134,0.7014925373134329,0.3190048933029175,0.35709768533706665,324,0.998049259185791,0.5679733157157898,airlight_bin=A>=0.95,airlight_bin,25,0.08,0.6569506726457399,0.3996082544326782,2676,324,53,0.16358024691358025
240,0.5522896596692627,254,A_output,ridge,443,0.5981941309255079,3.087651202804409e-05,328,0.543046357615894,276,213,0.6713615023474179,0.32922863960266113,0.3375355005264282,604,1.0145130157470703,0.607937216758728,beta_bin=0.8<=beta<1.1,beta_bin,205,0.23414634146341465,0.6606844741235393,0.4014047086238861,2396,604,92,0.152317880794702
240,0.4670835409127512,254,A_output,ridge,455,0.6527472527472528,3.130719414912164e-05,351,0.5909090909090909,243,230,0.6391304347826087,0.3373315930366516,0.3722621500492096,594,0.9991198182106018,0.5767196416854858,beta_bin=1.1<=beta<1.4,beta_bin,146,0.2808219178082192,0.6487946799667498,0.3944425582885742,2406,594,89,0.14983164983164984
240,0.3483712556231142,254,A_output,ridge,510,0.6098039215686275,3.5356482840143144e-05,339,0.5736040609137056,252,220,0.6636363636363637,0.32089513540267944,0.3335784673690796,591,1.0007175207138062,0.5468654036521912,beta_bin=1.4<=beta<1.7,beta_bin,67,0.208955223880597,0.6575342465753424,0.4010965824127197,2409,591,103,0.17428087986463622
240,0.42792109630294156,254,A_output,ridge,401,0.5635910224438903,1.3760512047156226e-05,275,0.459866220735786,323,247,0.5344129554655871,0.3096712827682495,0.33888930082321167,598,1.109709620475769,0.7759348154067993,beta_bin=beta<0.8,beta_bin,298,0.2516778523489933,0.6740216486261449,0.4073631465435028,2402,598,104,0.17391304347826086
