blend_mean_psnr,cr_mean_psnr,feature_count,feature_set,gain_vs_cr,gain_vs_lfv1,head,intervention_precision,intervention_rate,lfv1_mean_psnr,mean_oracle_c,mean_pred_c,n,oracle_gain_vs_lfv1,oracle_mean_psnr,oracle_recovery,pred_lfv1_delta_corr,pred_oracle_c_corr,preserve_recall,regression_improve_recall,split,split_family,std_pred_c,strong_cr_regression_improve_recall
38.93497075398962,38.16439987705028,306,hazy_wavelet,0.7705708769393382,0.7977016157621648,sklearn_hgb,0.48933419521654814,1.0,38.13726913822745,0.49525365907861957,0.4964144177312652,3000,1.1376574832873771,39.27492662151483,0.7011790696936512,0.23926755785942078,0.27095717191696167,0.6272285251215559,1.0,random_image_1,random_image,0.08443578493654723,1.0
38.891184715373505,38.10497455704387,306,hazy_wavelet,0.7862101583296379,0.7814974717344754,sklearn_hgb,0.4918546365914787,1.0,38.10968724363903,0.5080831012800612,0.4930735068271557,3000,1.1586721791674677,39.2683594228065,0.6744767724511385,0.22704936563968658,0.24121598899364471,0.5735524256651017,1.0,random_image_2,random_image,0.08052950816720703,1.0
38.98991786703896,38.186811590469766,306,hazy_wavelet,0.8031062765691956,0.756424191495114,sklearn_hgb,0.4869960988296489,1.0,38.23349367554385,0.5061545798492184,0.4977624690433343,3000,1.1046566836078924,39.33815035915174,0.6847595300142397,0.2296757698059082,0.22580161690711975,0.5637530072173216,1.0,random_image_3,random_image,0.07897497728897593,1.0
39.464966906395134,38.63839310400732,306,hazy_wavelet,0.8265738023878129,0.8059679778228883,sklearn_hgb,0.46509671993271656,1.0,38.658998928572245,0.5112501454363895,0.4912013376128211,2164,1.147693115515473,39.80669204408772,0.7022504247228101,0.2695004940032959,0.25822699069976807,0.5993555316863588,1.0,airlight_bin=0.65<=A<0.75,airlight_bin,0.07794736334096601,1.0
38.95396155643914,38.226301407272786,306,hazy_wavelet,0.7276601491663541,0.8382279804531763,sklearn_hgb,0.5263157894736842,1.0,38.11573357598596,0.48104868762504055,0.4975224878736865,2588,1.196520142721404,39.31225371870737,0.7005548427676135,0.2602965533733368,0.2812903821468353,0.6292682926829268,1.0,airlight_bin=0.75<=A<0.85,airlight_bin,0.0798275735927581,1.0
38.16721706595756,37.45802076160389,306,hazy_wavelet,0.709196304353668,0.7881157841710476,sklearn_hgb,0.5173581710414903,1.0,37.37910128178651,0.4920932319523749,0.5029904302979664,2564,1.0888258972310751,38.467927179017586,0.7238216744977608,0.18522006273269653,0.19503077864646912,0.6122047244094488,1.0,airlight_bin=0.85<=A<0.95,airlight_bin,0.08278758291183097,1.0
39.442885669199505,38.62561647485154,306,hazy_wavelet,0.8172691943479649,0.7407157939495761,sklearn_hgb,0.47494172494172493,1.0,38.70216987524993,0.505550731960906,0.4947801486950768,3388,1.1790983779287387,39.88126825317867,0.6282052522624321,0.1906428337097168,0.1662895381450653,0.5333787465940054,1.0,airlight_bin=A<0.65,airlight_bin,0.07768072095594983,1.0
37.43130672928396,36.65483276831489,306,hazy_wavelet,0.7764739609690707,0.7683110496693146,sklearn_hgb,0.47454545454545455,1.0,36.662995679614646,0.49827109702404093,0.5103163830131109,1296,1.0822831283985153,37.74527880801316,0.7098983893479852,0.20678400993347168,0.20744073390960693,0.6272189349112426,1.0,airlight_bin=A>=0.95,airlight_bin,0.07811033150105556,1.0
39.73299800725582,38.95624962221522,306,hazy_wavelet,0.7767483850406052,0.8452826937634015,sklearn_hgb,0.5250431778929189,1.0,38.88771531349242,0.4915616838741526,0.5036199620049077,2416,1.2415437668605094,40.12925908035293,0.6808319741318393,0.27352669835090637,0.25538212060928345,0.5536082474226804,1.0,beta_bin=0.8<=beta<1.1,beta_bin,0.07803273748491679,1.0
38.92760440998841,38.223947516130536,306,hazy_wavelet,0.7036568938578753,0.7962807650851857,sklearn_hgb,0.4950584007187781,1.0,38.131323644903226,0.4904579738692114,0.5037814230573449,2376,1.164636132613289,39.295959777516515,0.68371634949858,0.20642444491386414,0.2029564380645752,0.5886673662119623,1.0,beta_bin=1.1<=beta<1.4,beta_bin,0.08104648214493601,1.0
