scale_dir,lf_gate_scale,lf_original_gate,lf_effective_gate,mean_delta_psnr,mean_delta_ssim,analysis_mean_delta_psnr,analysis_mean_delta_ssim,mean_delta_mae_improvement,mean_delta_e_improvement,mean_luma_abs_bias_improvement,mean_saturation_abs_bias_improvement,mean_dark_channel_abs_bias_improvement,mean_edge_error_improvement,current_better_objective,current_worse_objective,mixed_or_neutral
scale_0,0.0,0.03389017656445503,0.0,-0.2693898141202398,-0.0006830543279647827,-0.2680723762224659,-0.0006714006265004291,-0.0002442987635731697,-0.04297489523887634,0.0001071237027645111,-0.0009199023246765137,-0.0010008247569203376,0.00017901044338941574,5,8,7
scale_0p25,0.25,0.03389017656445503,0.008472544141113758,-0.26826684928690553,-0.0006477504968643189,-0.2671399189904955,-0.0006364792585372813,-0.00022725055459886788,-0.04147816300392151,1.0276585817337036e-05,-0.0009520838037133216,-0.0011278342455625534,0.0001724713481962681,5,9,6
scale_0p5,0.5,0.03389017656445503,0.016945088282227516,-0.2695049330148681,-0.0006195515394210816,-0.2684625891608768,-0.0006093829870223721,-0.00021716216579079629,-0.04055922627449036,-8.604452013969422e-05,-0.0009829228743910789,-0.0012434020638465882,0.0001661593094468117,6,9,5
scale_0p75,0.75,0.03389017656445503,0.02541763335466385,-0.2731514129432016,-0.0005992084741592407,-0.27202664281834077,-0.0005915711323420004,-0.00021352642215788364,-0.040231966972351076,-0.00018279626965522766,-0.0010139813646674156,-0.0013512279838323593,0.00015994184650480747,6,9,5
scale_1p0,1.0,0.03389017656445503,0.03389017656445503,-0.27928497629704463,-0.00058613121509552,-0.27820103690849773,-0.0005808164676030403,-0.00021757138893008232,-0.04072639942169189,-0.0002812482416629791,-0.0010466622188687325,-0.0014633588492870332,0.00014992835931479931,5,9,6
