feature,feature_class,corr_with_residual_delta_lfv1_psnr,abs_corr
rescalib_from_lfv1_residual_error_ratio,gt_aware_diagnostic,-0.9760310258822645,0.9760310258822645
rescalib_from_lfv1_residual_cosine,gt_aware_diagnostic,0.858046094629602,0.858046094629602
rescalib_from_lfv1_luma_residual_cosine,gt_aware_diagnostic,0.8538381353628729,0.8538381353628729
residual_color_regression_vs_lfv1,gt_aware_diagnostic,-0.8422492900178661,0.8422492900178661
residual_luma_abs_bias_regression_vs_lfv1,gt_aware_diagnostic,-0.7215536112365325,0.7215536112365325
residual_dark_channel_abs_bias_regression_vs_lfv1,gt_aware_diagnostic,-0.664155146787469,0.664155146787469
rescalib_from_baseline_residual_error_ratio,gt_aware_diagnostic,-0.6312295195179675,0.6312295195179675
rescalib_from_lfv1_lf_mse_delta,gt_aware_diagnostic,-0.5860150036410221,0.5860150036410221
rescalib_from_baseline_residual_cosine,gt_aware_diagnostic,0.577605781946579,0.577605781946579
rescalib_from_baseline_luma_residual_cosine,gt_aware_diagnostic,0.575296227145324,0.575296227145324
rescalib_from_lfv1_residual_norm_ratio,gt_aware_diagnostic,-0.4071914368470715,0.4071914368470715
residual_edge_error_regression_vs_lfv1,gt_aware_diagnostic,-0.37238746019562846,0.37238746019562846
rescalib_from_baseline_lf_mse_delta,gt_aware_diagnostic,-0.37048955773378345,0.37048955773378345
lfv1_from_baseline_residual_cosine,gt_aware_diagnostic,-0.33914972194058574,0.33914972194058574
lfv1_from_baseline_luma_residual_cosine,gt_aware_diagnostic,-0.33185540569880734,0.33185540569880734
lfv1_from_baseline_residual_error_ratio,gt_aware_diagnostic,0.2958646220128684,0.2958646220128684
rescalib_from_baseline_residual_norm_ratio,gt_aware_diagnostic,-0.26201441940415404,0.26201441940415404
residual_lfv1_luma_std_delta_abs,proxy_or_output_feature,-0.20159682708786686,0.20159682708786686
residual_lfv1_luma_mean_delta_abs,proxy_or_output_feature,-0.18947861258634424,0.18947861258634424
residual_mae,gt_aware_diagnostic,-0.18942157918430488,0.18942157918430488
residual_lfv1_luma_std_delta,proxy_or_output_feature,0.18729105884924452,0.18729105884924452
residual_rmse,gt_aware_diagnostic,-0.17973147175507068,0.17973147175507068
residual_luma_abs_bias,gt_aware_diagnostic,-0.17599944040035512,0.17599944040035512
residual_delta_e_mean,gt_aware_diagnostic,-0.17081198133165237,0.17081198133165237
residual_lfv1_dark_channel_mean_delta_abs,proxy_or_output_feature,-0.1523282415515657,0.1523282415515657
residual_delta_e_p95,gt_aware_diagnostic,-0.14443606162006722,0.14443606162006722
residual_dark_channel_abs_bias,gt_aware_diagnostic,-0.13144023545500147,0.13144023545500147
lfv1_delta_e_p95,gt_aware_diagnostic,0.12176891607764945,0.12176891607764945
residual_lfv1_luma_mean_delta,proxy_or_output_feature,0.11669896013598698,0.11669896013598698
lfv1_from_baseline_lf_mse_delta,gt_aware_diagnostic,0.11095282619326138,0.11095282619326138
lfv1_rmse,gt_aware_diagnostic,0.10706256810023303,0.10706256810023303
residual_luma_std,proxy_or_output_feature,0.10578539308545606,0.10578539308545606
residual_lfv1_saturation_mean_delta,proxy_or_output_feature,0.10371279500989121,0.10371279500989121
lfv1_dark_channel_abs_bias,gt_aware_diagnostic,0.10248615907883812,0.10248615907883812
residual_lfv1_highfreq_abs_mean_delta,proxy_or_output_feature,0.09917594675272459,0.09917594675272459
lfv1_luma_abs_bias,gt_aware_diagnostic,0.0987274094042041,0.0987274094042041
residual_lfv1_edge_mean_delta,proxy_or_output_feature,0.09428016545344624,0.09428016545344624
residual_lfv1_lap_var_delta,proxy_or_output_feature,0.08843365838318495,0.08843365838318495
residual_saturation_abs_bias,gt_aware_diagnostic,-0.08798032628847946,0.08798032628847946
lfv1_luma_std,proxy_or_output_feature,0.08795268786319574,0.08795268786319574
lfv1_luma_bias,gt_aware_diagnostic,-0.08493384856971294,0.08493384856971294
lfv1_from_baseline_residual_norm_ratio,gt_aware_diagnostic,-0.08482823749888745,0.08482823749888745
lfv1_mae,gt_aware_diagnostic,0.08454708381476386,0.08454708381476386
residual_luma_std_delta,gt_aware_diagnostic,0.0822696242984165,0.0822696242984165
baseline_luma_std,proxy_or_output_feature,0.0814961863514829,0.0814961863514829
residual_highfreq_abs_error,gt_aware_diagnostic,-0.08107823669302702,0.08107823669302702
lfv1_delta_e_mean,gt_aware_diagnostic,0.07996954959247288,0.07996954959247288
lfv1_saturation_abs_bias,gt_aware_diagnostic,0.07964321839113948,0.07964321839113948
residual_saturation_bias,gt_aware_diagnostic,0.07845707889798467,0.07845707889798467
baseline_luma_bias,gt_aware_diagnostic,-0.07803868475827146,0.07803868475827146
image_id,proxy_or_output_feature,0.07314308139658351,0.07314308139658351
residual_edge_error,gt_aware_diagnostic,-0.06112179284547939,0.06112179284547939
lfv1_dark_channel_mean,proxy_or_output_feature,-0.06056347812089162,0.06056347812089162
airlight,proxy_or_output_feature,0.059930507056092985,0.059930507056092985
residual_lfv1_dark_channel_mean_delta,proxy_or_output_feature,0.05929129744135621,0.05929129744135621
baseline_dark_channel_mean,proxy_or_output_feature,-0.058244467765761684,0.058244467765761684
residual_dark_channel_mean,proxy_or_output_feature,-0.05679645723000203,0.05679645723000203
residual_highfreq_abs_mean,proxy_or_output_feature,0.054444117685100046,0.054444117685100046
baseline_saturation_bias,gt_aware_diagnostic,0.050049360244895084,0.050049360244895084
lfv1_highfreq_abs_mean,proxy_or_output_feature,0.04978473630564289,0.04978473630564289
baseline_delta_e_p95,gt_aware_diagnostic,0.04743287595835367,0.04743287595835367
lfv1_luma_mean,proxy_or_output_feature,-0.04654732291959026,0.04654732291959026
baseline_highfreq_abs_mean,proxy_or_output_feature,0.04622835474174422,0.04622835474174422
residual_luma_bias,gt_aware_diagnostic,-0.04567354394213905,0.04567354394213905
baseline_luma_mean,proxy_or_output_feature,-0.04553991090102797,0.04553991090102797
residual_lfv1_lap_var_delta_abs,proxy_or_output_feature,-0.04418536739968359,0.04418536739968359
residual_edge_mean,proxy_or_output_feature,0.043763085416889606,0.043763085416889606
lfv1_saturation_bias,gt_aware_diagnostic,0.04123142557601686,0.04123142557601686
lfv1_edge_mean,proxy_or_output_feature,0.0394618263895143,0.0394618263895143
residual_luma_mean,proxy_or_output_feature,-0.038188108458534896,0.038188108458534896
residual_lfv1_edge_mean_delta_abs,proxy_or_output_feature,-0.0359731997328672,0.0359731997328672
baseline_edge_mean,proxy_or_output_feature,0.035319274111237385,0.035319274111237385
lfv1_edge_error,gt_aware_diagnostic,0.03457348006545641,0.03457348006545641
baseline_rmse,gt_aware_diagnostic,0.03231325449950588,0.03231325449950588
residual_saturation_mean,proxy_or_output_feature,0.030874785993842694,0.030874785993842694
baseline_dark_channel_abs_bias,gt_aware_diagnostic,0.030126244820047336,0.030126244820047336
residual_lfv1_highfreq_abs_mean_delta_abs,proxy_or_output_feature,-0.02986908522338933,0.02986908522338933
baseline_saturation_mean,proxy_or_output_feature,0.02717115280654851,0.02717115280654851
baseline_highfreq_abs_error,gt_aware_diagnostic,-0.026738332354989108,0.026738332354989108
lfv1_saturation_mean,proxy_or_output_feature,0.025735492036551087,0.025735492036551087
baseline_lap_var_ratio_gt,gt_aware_diagnostic,-0.023918997625348562,0.023918997625348562
residual_lfv1_saturation_mean_delta_abs,proxy_or_output_feature,-0.022365956999521402,0.022365956999521402
residual_lap_var_ratio_gt,gt_aware_diagnostic,0.020829463606832663,0.020829463606832663
beta,proxy_or_output_feature,-0.020684371338407812,0.020684371338407812
baseline_luma_abs_bias,gt_aware_diagnostic,0.01843476896976753,0.01843476896976753
residual_lap_var,proxy_or_output_feature,0.018134955925827066,0.018134955925827066
lfv1_lap_var,proxy_or_output_feature,0.012970303852971063,0.012970303852971063
baseline_luma_std_delta,gt_aware_diagnostic,-0.012451951822548275,0.012451951822548275
lfv1_highfreq_abs_error,gt_aware_diagnostic,0.011413912628776866,0.011413912628776866
baseline_mae,gt_aware_diagnostic,0.010670911725416532,0.010670911725416532
baseline_lap_var,proxy_or_output_feature,0.009916315302882664,0.009916315302882664
lfv1_luma_std_delta,gt_aware_diagnostic,0.009508839636415205,0.009508839636415205
baseline_delta_e_mean,gt_aware_diagnostic,0.00930489964688453,0.00930489964688453
lfv1_lap_var_ratio_gt,gt_aware_diagnostic,-0.0020159316466692393,0.0020159316466692393
baseline_edge_error,gt_aware_diagnostic,-0.001299035774051223,0.001299035774051223
baseline_saturation_abs_bias,gt_aware_diagnostic,0.0003074081875242919,0.0003074081875242919
