group_name,group_value,num_images,lfv1_mean_psnr,residual_mean_psnr,baseline_mean_psnr,two_way_oracle_mean_psnr,three_way_oracle_mean_psnr,two_way_oracle_gain_vs_lfv1,three_way_oracle_gain_vs_lfv1,residual_winner_count,lfv1_winner_count,baseline_winner_count
baseline_strength_bin,baseline_middle_50,500,32.51264551069217,32.40405625625209,32.32675637255344,33.10495798710096,33.386346976635174,0.592312476408783,0.8737014659430149,247,253,151
baseline_strength_bin,baseline_strongest_25,250,38.55699396679132,38.49193900962173,38.60899785213378,38.98397767322716,39.300268670763266,0.4269837064358358,0.7432747039719552,121,129,97
baseline_strength_bin,baseline_weakest_25,250,26.13081293158153,26.274161010198743,25.63875117901223,26.81968479476104,26.942095330883614,0.6888718631794976,0.8112823993020758,141,109,47
pattern,both_improve_baseline,82,32.69664489820067,32.66359729896654,31.29007275387147,32.75698537980877,32.75698537980877,0.06034048160810271,0.06034048160810271,34,48,0
pattern,both_regress_baseline,66,33.767203172172664,33.76524353221139,34.863051509945386,33.84115359550658,34.863051509945386,0.07395042333391776,1.0958483377727266,33,33,66
pattern,lost_lfv1_gain,218,33.153572337516486,31.49463938840883,31.59773553347779,33.153572337516486,33.153572337516486,0.0,0.0,0,218,0
pattern,mitigates_lfv1_regression,110,31.26709923034867,32.50246142843314,32.95744054433994,32.50246142843314,32.99974152806908,1.2353621980844867,1.7326422977204345,110,0,80
pattern,mixed_or_small,59,33.71420261864846,33.74933454214635,33.72534870408511,33.831850790012304,33.88616716413956,0.11764817136383995,0.1719645454910974,32,27,22
pattern,residual_beats_both,300,31.724010892427874,33.13221222334976,31.301508971810726,33.13221222334976,33.13221222334976,1.4082013309218724,1.4082013309218724,300,0,0
pattern,residual_worst,165,32.395838071381064,30.99791231907655,33.1193636807853,32.395838071381064,33.153529821656,0.0,0.7576917502749476,0,165,127
winner_by_psnr,baseline,295,32.611693127322205,32.32526523646321,33.81047029131115,32.961758839847484,33.81047029131115,0.35006571252524865,1.1987771639889448,126,169,295
winner_by_psnr,lfv1,322,33.04510523803218,31.734310627883097,31.751409939435423,33.04510523803218,33.04510523803218,0.0,0.0,0,322,0
winner_by_psnr,residual,383,31.768410236900493,33.00039651735292,31.40280080320685,33.00039651735292,33.00039651735292,1.2319862804524193,1.2319862804524193,383,0,0
airlight_bin,0.65<=A<0.75,194,32.72398095315907,32.858841735010756,32.504103266735704,33.411630983222864,33.62708686053675,0.6876500300637814,0.903105907377659,106,88,51
airlight_bin,0.75<=A<0.85,210,32.55321279027622,32.506851874944886,32.47633909288158,33.04992934208512,33.35194287222008,0.49671655180889046,0.798730081943833,97,113,68
airlight_bin,0.85<=A<0.95,175,31.489418798685993,31.520560080719,31.355858607127022,32.042253434524135,32.27616520130751,0.5528346358381376,0.7867464026215352,90,85,55
airlight_bin,A<0.65,295,33.595404552131114,33.36853644612588,33.24366982308865,34.142233294419,34.43584133153614,0.5468287422879147,0.8404367794050676,145,150,89
airlight_bin,A>=0.95,126,30.33614965412463,30.418116484267433,30.201034498039512,30.965871944992678,31.105551837991925,0.6297222908680571,0.7694021838673063,71,55,32
beta_bin,0.8<=beta<1.1,188,32.79166596173209,32.78604082977243,32.659751408761835,33.389705647200444,33.68678470449359,0.5980396854683312,0.8951187427614923,96,92,53
beta_bin,1.1<=beta<1.4,199,32.26798471026848,32.24465621222887,32.17733164002689,32.870224343496545,33.11075491805276,0.6022396332280474,0.8427702077842636,103,96,61
beta_bin,1.4<=beta<1.7,199,31.368530132496893,31.486320593666917,31.235306798898417,31.95103979169666,32.19271456028981,0.5825096591997887,0.8241844277929078,105,94,61
beta_bin,beta<0.8,196,35.387845211657755,35.30822065418469,35.112541489459794,35.961654448058354,36.212799136044104,0.5738092364005947,0.8249539243863548,93,103,59
beta_bin,beta>=1.7,218,30.567693412561596,30.398632222433463,30.20233485291623,31.092725294270416,31.3190362726133,0.5250318817088195,0.7513428600517056,112,106,61
