group_name,group_value,num_images,better_psnr_count,worse_psnr_count,better_030db_count,worse_030db_count,mean_baseline_psnr,mean_current_psnr,mean_delta_psnr,median_delta_psnr,p10_delta_psnr,p90_delta_psnr,min_delta_psnr,max_delta_psnr,mean_delta_ssim
all,all,1000,474,526,380,448,32.39355313308116,32.2105193952809,-0.1830337378002708,-0.1144628225563693,-2.232658484239484,1.7664009424362208,-9.65771359528556,8.891401106762949,-6.745535135269165e-05
baseline_strength_bin,baseline_middle_50,500,227,273,180,237,32.49594740712466,32.21150861910946,-0.28443878801520106,-0.1849277658556261,-2.4844329660218425,1.7372921500378635,-6.268064495569192,6.456057512838576,-0.00041343986988067626
baseline_strength_bin,baseline_strongest_25,250,95,155,74,126,38.866539827956586,38.437482489035354,-0.42905733892122816,-0.3176959604699263,-1.9965409517251955,1.1794035669761804,-7.694374648155879,3.92746837772809,-3.325033187866211e-05
baseline_strength_bin,baseline_weakest_25,250,152,98,126,85,25.71577789011877,25.981577853869318,0.26579996375054704,0.3109004372266426,-1.860350955056821,2.2765750663261017,-9.65771359528556,8.891401106762949,0.0005903086662292481
airlight_bin,0.65<=A<0.75,194,87,107,70,92,32.85884173501074,32.507726963368064,-0.3511147716426773,-0.21660066885369744,-2.3279625207628025,1.6812453232706959,-7.694374648155879,8.891401106762949,-8.056888875273085e-05
airlight_bin,0.75<=A<0.85,210,91,119,72,97,32.506851874944864,32.35585146199712,-0.15100041294774685,-0.18010787623235025,-2.1940520354458717,1.5487764621820987,-4.042225741346293,6.834859581662407,-0.0002982003348214286
airlight_bin,0.85<=A<0.95,175,92,83,72,66,31.520560080719005,31.41511695989448,-0.10544312082451668,0.09745681400828232,-1.7985531532147803,1.559696778215317,-7.265791822369554,4.436917307793955,0.00010457277297973633
airlight_bin,A<0.65,295,138,157,117,139,33.36853644612589,33.17084910336194,-0.1976873427639606,-0.16095243617355237,-2.4525135899477988,2.1894149534593823,-9.65771359528556,7.120304506419188,-4.242133286039708e-05
airlight_bin,A>=0.95,126,66,60,49,54,30.418116484267454,30.36702860233963,-0.05108788192782348,0.03844492600955007,-1.7215199755880555,1.6395736717078684,-5.2068429902842155,7.686066794844422,3.9770962700011235e-05
beta_bin,0.8<=beta<1.1,188,93,95,73,81,32.78604082977242,32.70377885692983,-0.08226197284258716,-0.023619911524953352,-2.11013494230572,1.9263079726709154,-6.268064495569192,6.834859581662407,0.00025290536119582807
beta_bin,1.1<=beta<1.4,199,94,105,75,92,32.244656212228854,32.05395750951193,-0.19069870271692677,-0.1805660144938912,-2.334616541944457,1.7151908169260395,-6.193090562341794,8.891401106762949,-0.00035544885462851977
beta_bin,1.4<=beta<1.7,199,86,113,72,99,31.486320593666946,31.159272648557934,-0.32704794510900864,-0.28821863368371226,-2.2770668023711096,1.396647145459603,-4.662893610349226,4.449048471114438,-0.0004684415893938074
beta_bin,beta<0.8,196,93,103,78,80,35.30822065418469,35.20922612861275,-0.09899452557193497,-0.06704943019578025,-2.102615838722045,1.7884114174195123,-7.694374648155879,7.686066794844422,9.58311922696172e-05
beta_bin,beta>=1.7,218,108,110,82,96,30.39863222243345,30.191595630798574,-0.2070365916348808,-0.028263188579034093,-2.4242451833244485,1.863580813142885,-9.65771359528556,5.20695017050047,0.00013839323586280192
airlight_beta_bin,0.65<=A<0.75 | 0.8<=beta<1.1,31,12,19,10,16,34.22652470678081,33.48317426720019,-0.7433504395806153,-0.31782650464848317,-3.177388531574479,1.6430010149467407,-6.268064495569192,5.606995884641584,-0.0009686696913934523
