feature,op,threshold,train_mean_psnr,train_gain_vs_lfv1_psnr,train_residual_precision,train_residual_recall,split_family,split,feature_set,valid_mean_psnr,valid_gain_vs_lfv1_psnr,valid_oracle_recovery,valid_residual_precision,valid_residual_recall
lfv1_baseline_mix1_channel_mean_std_abs_delta,>=,0.015509523451328278,29.809909179435074,0.40460490169607116,0.8571428571428571,0.4444444444444444,random_stratified,0,activation_only_proxy,29.940382580513546,0.07325355222358028,0.11682504045430023,0.42857142857142855,0.25
residual_lf_calib_direction_active_frac_001,<=,0.9650683403015137,30.11370614780322,0.3765973756980784,0.7142857142857143,0.7407407407407407,random_stratified,1,activation_only_proxy,29.14700066331957,0.05408212188392477,0.08384006357774931,0.5,0.5833333333333334
residual_baseline_mix2_mean_delta,<=,0.0025855782441794872,29.566590676898674,0.48186187456121826,0.6511627906976745,0.9655172413793104,airlight_leave_one,A<0.65,activation_only_proxy,30.43408723399059,-0.32017938858993844,-0.5711026641911794,0.5555555555555556,1.0
residual_lfv1_down2_channel_mean_std_ratio,<=,0.9690566550595426,30.59074337586535,0.33774642046027015,0.75,0.75,degradation_combo_group5,0,activation_only_proxy,28.712114944146908,-0.12259150625660195,-0.1647217077399788,0.42857142857142855,0.47368421052631576
lfv1_baseline_down1_spatial_std_mean_abs_delta,>=,0.00016305036842823029,29.350017924920166,0.5153114745166547,0.75,0.7894736842105263,degradation_combo_group5,1,activation_only_proxy,30.450865778659693,0.19786882325461033,0.324718173316994,0.7142857142857143,0.75
lfv1_baseline_mix1_channel_mean_std_abs_delta,>=,0.015509523451328278,29.809909179435074,0.40460490169607116,0.8571428571428571,0.4444444444444444,random_stratified,0,activation_plus_strict_output_proxy,29.940382580513546,0.07325355222358028,0.11682504045430023,0.42857142857142855,0.25
residual_lfv1_lap_var_delta,>=,0.0008145738393068314,30.19364360948983,0.45653483738468564,0.7142857142857143,0.7407407407407407,random_stratified,1,activation_plus_strict_output_proxy,29.255008691319954,0.16209014988431214,0.2512780193941872,0.5,0.4166666666666667
residual_baseline_mix2_mean_delta,<=,0.0025855782441794872,29.566590676898674,0.48186187456121826,0.6511627906976745,0.9655172413793104,airlight_leave_one,A<0.65,activation_plus_strict_output_proxy,30.43408723399059,-0.32017938858993844,-0.5711026641911794,0.5555555555555556,1.0
residual_lfv1_down2_channel_mean_std_ratio,<=,0.9690566550595426,30.59074337586535,0.33774642046027015,0.75,0.75,degradation_combo_group5,0,activation_plus_strict_output_proxy,28.712114944146908,-0.12259150625660195,-0.1647217077399788,0.42857142857142855,0.47368421052631576
lfv1_baseline_down1_spatial_std_mean_abs_delta,>=,0.00016305036842823029,29.350017924920166,0.5153114745166547,0.75,0.7894736842105263,degradation_combo_group5,1,activation_plus_strict_output_proxy,30.450865778659693,0.19786882325461033,0.324718173316994,0.7142857142857143,0.75
residual_lfv1_lap_var_higher_flag,>=,1.0,29.805975687728708,0.4006714099897013,0.6666666666666666,0.7407407407407407,random_stratified,0,rich_output_reference,30.22815669840232,0.3610276701123549,0.575768285437779,0.6666666666666666,0.6666666666666666
residual_lfv1_highfreq_abs_mean_higher_flag,>=,1.0,30.208398373058284,0.47128960095313704,0.696969696969697,0.8518518518518519,random_stratified,1,rich_output_reference,29.30809830278719,0.2151797613515473,0.33357945738665656,0.5,0.5
residual_lfv1_luma_std_abs_delta_x_baseline_lap_var,<=,0.0007746679853526395,29.538299975627897,0.45357117329044355,0.6511627906976745,0.9655172413793104,airlight_leave_one,A<0.65,rich_output_reference,30.728776318683575,-0.025490303896950162,-0.0454669506700673,0.5384615384615384,0.7
residual_lfv1_highfreq_abs_mean_ratio,>=,1.0026286773778217,30.546382855254507,0.29338589984942604,0.65,0.65,degradation_combo_group5,0,rich_output_reference,29.311138782353556,0.47643233195004575,0.6401646389521025,0.6363636363636364,0.7368421052631579
residual_lfv1_lap_var_higher_flag,>=,1.0,29.372994940629802,0.5382884902262931,0.6956521739130435,0.8421052631578947,degradation_combo_group5,1,rich_output_reference,30.492265041231782,0.2392680858267017,0.3926575924632939,0.631578947368421,0.6
beta,<=,1.6549999999999998,29.615614050539225,0.2103097728002157,0.5714285714285714,0.8888888888888888,random_stratified,0,metadata_diagnostic,29.829943899138204,-0.03718512915176738,-0.05930298375421611,0.5789473684210527,0.9166666666666666
beta,<=,1.7125,29.83897176330248,0.10186299119733475,0.5714285714285714,0.8888888888888888,random_stratified,1,metadata_diagnostic,29.291582170162314,0.19866362872666907,0.3079755505669443,0.5714285714285714,1.0
beta,<=,1.6425,29.3987097108688,0.3139809085313506,0.5813953488372093,0.8620689655172413,airlight_leave_one,A<0.65,metadata_diagnostic,30.489466326666275,-0.2648002959142467,-0.4723232033805916,0.5882352941176471,1.0
airlight,>=,0.63,30.44957650266067,0.19657954725559082,0.6,0.9,degradation_combo_group5,0,metadata_diagnostic,28.723877281626784,-0.11082916877672541,-0.1489170865564873,0.4,0.631578947368421
beta,<=,1.5025,29.068791638975462,0.2340851885719565,0.5666666666666667,0.8947368421052632,degradation_combo_group5,1,metadata_diagnostic,30.320382762294333,0.0673858068892538,0.11058536539843888,0.625,0.75
rescalib_from_lfv1_residual_error_ratio,<=,1.0115150807303608,30.102380302050978,0.6970760243119717,0.9642857142857143,1.0,random_stratified,0,gt_diagnostic_leakage_check,30.48955761211523,0.6224285838252555,0.9926514452618076,0.8571428571428571,1.0
rescalib_from_lfv1_residual_error_ratio,<=,1.0115150807303608,30.4264591139575,0.6893503418523539,0.9642857142857143,1.0,random_stratified,1,gt_diagnostic_leakage_check,29.733373717666677,0.6404551762310301,0.9928568041238153,0.8571428571428571,1.0
rescalib_from_lfv1_lf_mse_delta,<=,-2.055820368696004e-05,29.804651065092916,0.7199222627554653,0.9655172413793104,0.9655172413793104,airlight_leave_one,A<0.65,gt_diagnostic_leakage_check,31.31490030311744,0.5606336805369145,1.0,1.0,1.0
rescalib_from_lfv1_lf_mse_delta,<=,2.4640292394906282e-05,30.86235251205096,0.6093555566458804,1.0,1.0,degradation_combo_group5,0,gt_diagnostic_leakage_check,29.567415458663522,0.7327090082600121,0.9845142033284684,0.9047619047619048,1.0
rescalib_from_lfv1_lf_mse_delta,<=,-9.242721716873348e-06,29.578144299244872,0.7434378488413612,0.95,1.0,degradation_combo_group5,1,gt_diagnostic_leakage_check,30.861794911854446,0.6087979564493665,0.9990849345830486,1.0,0.95
