feature,weight,abs_weight,split_family,split,feature_set,bias,prob_threshold
lfv1_baseline_down1_spatial_std_mean_abs_delta,0.07264932849492912,0.07264932849492912,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
lfv1_baseline_mix1_channel_mean_std_abs_delta,0.07231072439489049,0.07231072439489049,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
lfv1_baseline_level3_block8_active_frac_001_delta,0.06572002279472547,0.06572002279472547,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
lfv1_baseline_level3_block8_active_frac_001_ratio,0.06563427995570532,0.06563427995570532,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
lfv1_baseline_level3_block8_active_frac_001_signed_norm_delta,0.06561628912725496,0.06561628912725496,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
lfv1_baseline_mix2_mean_abs_delta,-0.06522579626426668,0.06522579626426668,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
residual_baseline_mix2_min_abs_delta,0.06175437923058029,0.06175437923058029,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
residual_lfv1_level3_block4_channel_mean_std_abs_delta,0.06144880461088017,0.06144880461088017,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
residual_lfv1_mix2_min_ratio,0.0610602893929585,0.0610602893929585,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
residual_baseline_down_level2_block4_min_abs_delta,-0.0594528045320054,0.0594528045320054,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
residual_lfv1_mix2_min_signed_norm_delta,-0.05764222894166459,0.05764222894166459,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
residual_lfv1_mix2_min_delta,-0.05725626102642728,0.05725626102642728,random_stratified,0,activation_only_proxy,-0.06777729366238928,0.6300300238965715
lfv1_baseline_level3_block8_active_frac_001_delta,0.0876829698688589,0.0876829698688589,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
lfv1_baseline_level3_block8_active_frac_001_ratio,0.08743097969477913,0.08743097969477913,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
lfv1_baseline_level3_block8_active_frac_001_signed_norm_delta,0.08741581960077732,0.08741581960077732,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
lfv1_baseline_down1_spatial_std_mean_abs_delta,0.08330326446820856,0.08330326446820856,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
residual_baseline_down_level1_block4_active_frac_001_delta,-0.0819951810084506,0.0819951810084506,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
residual_baseline_down_level1_block4_active_frac_001_signed_norm_delta,-0.08152452014777715,0.08152452014777715,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
residual_baseline_down_level1_block4_active_frac_001_ratio,-0.08143523854092082,0.08143523854092082,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
residual_lfv1_lf_injected_delta_spatial_std_mean_abs_delta,0.07549227788446677,0.07549227788446677,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
lfv1_baseline_level3_block8_active_frac_001_abs_delta,-0.07127566820956764,0.07127566820956764,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
residual_baseline_down_level1_block4_active_frac_001_abs_delta,-0.06887249552574778,0.06887249552574778,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
lfv1_baseline_level3_block8_abs_mean_abs_delta,-0.06829840171648931,0.06829840171648931,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
lfv1_baseline_mix1_channel_mean_std_abs_delta,0.06489397069367775,0.06489397069367775,random_stratified,1,activation_only_proxy,-0.07814006867072568,0.5478659439135193
residual_baseline_down_level2_block4_min_abs_delta,-0.07518307639899786,0.07518307639899786,airlight_leave_one,A<0.65,activation_only_proxy,0.004525980363680792,0.4286571899097638
residual_lfv1_level3_block4_channel_mean_std_abs_delta,0.06760715556448199,0.06760715556448199,airlight_leave_one,A<0.65,activation_only_proxy,0.004525980363680792,0.4286571899097638
lfv1_baseline_down1_spatial_std_mean_abs_delta,0.06760052469281061,0.06760052469281061,airlight_leave_one,A<0.65,activation_only_proxy,0.004525980363680792,0.4286571899097638
residual_lfv1_lf_adapter_max_signed_norm_delta,0.06643492136990327,0.06643492136990327,airlight_leave_one,A<0.65,activation_only_proxy,0.004525980363680792,0.4286571899097638
residual_lfv1_lf_adapter_max_ratio,0.06618852108345974,0.06618852108345974,airlight_leave_one,A<0.65,activation_only_proxy,0.004525980363680792,0.4286571899097638
lfv1_baseline_level3_block8_active_frac_001_delta,0.0619448991707585,0.0619448991707585,airlight_leave_one,A<0.65,activation_only_proxy,0.004525980363680792,0.4286571899097638
