split_family,feature_set,model_type,name,splits,mean_psnr_mean,mean_psnr_std,mean_ssim_mean,mean_ssim_std,gain_vs_lfv1_psnr_mean,gain_vs_lfv1_psnr_std,gain_vs_baseline_psnr_mean,gain_vs_baseline_psnr_std,residual_precision_mean,residual_precision_std,residual_recall_mean,residual_recall_std,two_way_accuracy_mean,two_way_accuracy_std,residual_selection_count_mean,residual_selection_count_std,lost_lfv1_gain_selected_count_mean,lost_lfv1_gain_selected_count_std,residual_worst_selected_count_mean,residual_worst_selected_count_std,oracle_recovery_mean,oracle_recovery_std
random_stratified,activation_only_proxy,oracle,two_way_oracle,2,30.116073476163166,0.3780919472242754,0.9799987599253654,0.0015422205130258826,0.6360496913003553,0.009013296202887322,0.5093233144627949,0.2532177684818016,1.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,activation_plus_strict_output_proxy,oracle,two_way_oracle,2,30.116073476163166,0.3780919472242754,0.9799987599253654,0.0015422205130258826,0.6360496913003553,0.009013296202887322,0.5093233144627949,0.2532177684818016,1.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,activation_plus_rich_output_proxy,oracle,two_way_oracle,2,30.116073476163166,0.3780919472242754,0.9799987599253654,0.0015422205130258826,0.6360496913003553,0.009013296202887322,0.5093233144627949,0.2532177684818016,1.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,rich_output_reference,oracle,two_way_oracle,2,30.116073476163166,0.3780919472242754,0.9799987599253654,0.0015422205130258826,0.6360496913003553,0.009013296202887322,0.5093233144627949,0.2532177684818016,1.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,metadata_diagnostic,oracle,two_way_oracle,2,30.116073476163166,0.3780919472242754,0.9799987599253654,0.0015422205130258826,0.6360496913003553,0.009013296202887322,0.5093233144627949,0.2532177684818016,1.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,gt_diagnostic_leakage_check,oracle,two_way_oracle,2,30.116073476163166,0.3780919472242754,0.9799987599253654,0.0015422205130258826,0.6360496913003553,0.009013296202887322,0.5093233144627949,0.2532177684818016,1.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_stratified,gt_diagnostic_leakage_check,logistic,ridge_logistic,2,30.114746448103574,0.3780919472242772,0.979983814060688,0.0015422205130258826,0.6347226632407656,0.009013296202887322,0.507996286403205,0.2532177684818016,0.9230769230769231,0.0,1.0,0.0,0.9583333333333334,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.9979132218572159,2.9571195093502922e-05
random_stratified,gt_diagnostic_leakage_check,stump,decision_stump,2,30.111465664890954,0.3780919472242772,0.9799639259775479,0.001542220513025938,0.6314418800281427,0.009013296202887322,0.5047155031905823,0.2532177684818016,0.8571428571428571,0.0,1.0,0.0,0.9166666666666666,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.9927541246928114,0.00010267943100383814
random_stratified,activation_only_proxy,logistic,ridge_logistic,2,29.929822742615805,0.3723659142075988,0.9797176693876584,0.001608518262704195,0.4497989577529977,0.01473932921956217,0.3230725809154373,0.2474917354651268,0.9045454545454545,0.004545454545454519,0.7916666666666667,0.041666666666666685,0.8541666666666667,0.020833333333333315,10.5,0.5,1.0,0.0,0.0,0.0,0.7069894018640417,0.013154670842074723
random_stratified,activation_plus_strict_output_proxy,logistic,ridge_logistic,2,29.902597451195085,0.39959120562831707,0.9796191627780596,0.001707024872303009,0.4225736663322814,0.012485962201154166,0.2958472894947209,0.2747170268858431,0.9,0.0,0.75,0.0,0.8333333333333334,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.6647837693162908,0.029050961705676226
