filename,baseline_psnr,baseline_ssim,lf_psnr,lf_ssim,delta_psnr,delta_ssim
1000_0.73_1.8.png,29.276544649578057,0.9898760318756104,28.677441249983787,0.9892641305923462,-0.5991033995942701,-0.0006119012832641602
147_0.87_1.14.png,21.662879101728343,0.9508435130119324,21.818264323581133,0.9517002105712891,0.15538522185278936,0.0008566975593566895
195_0.61_1.47.png,26.80599894460704,0.985252857208252,28.985778511123826,0.9876907467842102,2.1797795665167854,0.002437889575958252
241_0.85_0.72.png,28.412608281094066,0.9847348928451538,29.59171318969316,0.9901144504547119,1.1791049085990934,0.0053795576095581055
28_0.81_1.96.png,30.76222439383737,0.9837497472763062,30.638625366047997,0.9840455055236816,-0.12359902778937482,0.0002957582473754883
336_0.94_1.46.png,25.024634397188766,0.972851574420929,25.091368258814807,0.9753697514533997,0.06673386162604089,0.002518177032470703
384_0.97_0.82.png,34.89451136721047,0.9941835999488831,31.727967701678725,0.9926008582115173,-3.1665436655317443,-0.0015827417373657227
431_0.86_1.86.png,23.447172999776058,0.9778646230697632,23.020169364190693,0.9765608906745911,-0.4270036355853648,-0.0013037323951721191
479_0.79_0.62.png,30.913113915356305,0.9872231483459473,30.467888236209284,0.984557569026947,-0.44522567914702194,-0.002665579319000244
526_0.73_0.69.png,41.23033683837414,0.9960864782333374,41.54131749578042,0.9957985281944275,0.3109806574062759,-0.0002879500389099121
573_0.91_1.54.png,30.260982965678235,0.9783927798271179,30.138843568958272,0.9791824221611023,-0.12213939671996243,0.000789642333984375
620_0.56_0.87.png,39.93914894565761,0.9948204159736633,40.70606430319967,0.9938991069793701,0.7669153575420609,-0.0009213089942932129
668_0.69_1.25.png,37.52725023247378,0.9932368397712708,37.55794299614939,0.9931558966636658,0.030692763675610024,-8.094310760498047e-05
715_0.63_1.36.png,40.12455150955639,0.9965767860412598,38.13769756597935,0.995830774307251,-1.9868539435770387,-0.0007460117340087891
763_0.82_1.68.png,35.69475351330803,0.9829040765762329,34.71423789621708,0.9827637076377869,-0.9805156170909513,-0.00014036893844604492
80_0.74_1.76.png,19.3311804384263,0.9422178268432617,20.220323912860593,0.9297019839286804,0.8891434744342916,-0.012515842914581299
858_0.8_1.72.png,34.09393998791421,0.9826200604438782,34.58601088120539,0.9816628694534302,0.4920708932911779,-0.000957190990447998
904_0.82_1.3.png,32.41901765592738,0.9945583939552307,31.722053668386426,0.9939090013504028,-0.6969639875409506,-0.0006493926048278809
952_0.97_1.33.png,33.21063394943801,0.990393877029419,32.19888832719213,0.9893017411231995,-1.0117456222458827,-0.0010921359062194824
9_0.85_1.67.png,35.71463653320213,0.9909101128578186,33.740495544216536,0.990203320980072,-1.9741409889855959,-0.000706791877746582
