group_name,group_value,num_images,lfv1_mean_psnr,residual_mean_psnr,baseline_mean_psnr,two_way_oracle_mean_psnr,three_way_oracle_mean_psnr,two_way_oracle_gain_vs_lfv1,three_way_oracle_gain_vs_lfv1,residual_winner_count,lfv1_winner_count,baseline_winner_count
baseline_strength_bin,baseline_middle_50,10,31.85039987226317,32.057118171315395,32.72403589314502,32.80298370286693,33.317985204374075,0.9525838306037585,1.4675853321109087,6,4,5
baseline_strength_bin,baseline_strongest_25,4,39.48900271067005,39.180368451067686,39.70532188151548,39.55019014547519,39.97693087598979,0.06118743480513622,0.4879281653197314,1,3,1
baseline_strength_bin,baseline_weakest_25,6,24.78340192151332,23.812870754599704,24.114079027136764,24.967990238372483,25.038926267483827,0.18458831685916385,0.25552434597050855,2,4,1
pattern,both_regress_baseline,2,36.39818100017777,36.478348659067024,37.90965251143221,36.52055586978805,37.90965251143221,0.12237486961027244,1.5114715112544346,1,1,2
pattern,lost_lfv1_gain,4,29.87229262592647,28.721348083145674,28.622234152446254,29.87229262592647,29.87229262592647,0.0,0.0,0,4,0
pattern,mitigates_lfv1_regression,1,31.656523514974374,34.28112908398497,34.89451136721047,34.28112908398497,34.89451136721047,2.6246055690105976,3.2379878522360954,1,0,1
pattern,mixed_or_small,1,41.532688224073844,41.46287815719414,41.23033683837414,41.532688224073844,41.532688224073844,0.0,0.0,0,1,0
pattern,residual_beats_both,7,28.965700282931497,30.109809231243208,29.07146045026462,30.109809231243208,30.109809231243208,1.14410894831171,1.14410894831171,7,0,0
pattern,residual_worst,5,31.38515497415233,29.16302370688491,32.16256152604926,31.38515497415233,32.16335868320916,0.0,0.7782037090568259,0,5,4
winner_by_psnr,baseline,7,31.9782034811169,30.94282930196518,33.428481969692484,32.38811138229278,33.428481969692484,0.4099079011758775,1.4502784885755848,2,5,7
winner_by_psnr,lfv1,6,33.092182457675506,32.13356838542736,32.20775394677216,33.092182457675506,33.092182457675506,0.0,0.0,0,6,0
winner_by_psnr,residual,7,28.965700282931497,30.109809231243208,29.07146045026462,30.109809231243208,30.109809231243208,1.14410894831171,1.14410894831171,7,0,0
airlight_bin,0.65<=A<0.75,4,32.010951039571694,31.88131515881733,31.841328039713073,32.311222267245476,32.311222267245476,0.30027122767378067,0.30027122767378067,1,3,0
airlight_bin,0.75<=A<0.85,5,32.404895998383864,32.4720619889028,32.776609893268656,33.033807911950504,33.349949198184156,0.6289119135666439,0.9450531998003001,3,2,2
airlight_bin,0.85<=A<0.95,6,27.23591732600849,26.915493004391646,27.420485713111265,27.8464370192841,28.234760766754054,0.6105196932756046,0.998843440745563,3,3,2
airlight_bin,A<0.65,3,35.953691838082804,35.33178036218405,35.62323313327368,36.035275084489655,36.60426272517578,0.08158324640684829,0.6505708870929752,1,2,1
airlight_bin,A>=0.95,2,31.907778736943172,31.39800517616876,34.05257265832424,33.22008152144847,34.05257265832424,1.3123027845052988,2.144793921381069,1,1,2
beta_bin,0.8<=beta<1.1,2,36.187885633514995,37.33449816038812,37.41683015643404,37.5001884180203,37.806879559633046,1.3123027845052988,1.6189939261180477,1,1,1
beta_bin,1.1<=beta<1.4,5,32.28737020931416,31.822333977443243,32.98886648982478,32.76678375465232,33.31849633716921,0.479413545338155,1.0311261278550397,3,2,2
beta_bin,1.4<=beta<1.7,5,30.519389680240373,30.520962399883206,30.70020127079684,31.09482061644559,31.689931950721917,0.5754309362052148,1.1705422704815398,2,3,2
beta_bin,beta<0.8,3,33.820134080987735,32.24823504980919,33.51868634494151,33.820134080987735,33.98995943763384,0.0,0.1698253566461124,0,3,1
beta_bin,beta>=1.7,5,27.458089627325183,27.407939337637366,27.3822124939064,28.053947621262317,28.13907085619593,0.5958579939371333,0.680981228870747,3,2,1
