filename,image_id,airlight,beta,airlight_bin,beta_bin,airlight_beta_bin,input_psnr,input_ssim,cr_psnr,cr_ssim,lfv1_psnr,lfv1_ssim,lfv1_delta_cr_psnr,lfv1_delta_cr_ssim,rescalib_psnr,rescalib_ssim,rescalib_delta_cr_psnr,rescalib_delta_cr_ssim,crplusv2_psnr,crplusv2_ssim,crplusv2_delta_cr_psnr,crplusv2_delta_cr_ssim,lfcr_v1_w005_psnr,lfcr_v1_w005_ssim,lfcr_v1_w005_delta_cr_psnr,lfcr_v1_w005_delta_cr_ssim,winner_by_psnr,winner_label,oracle5_psnr,oracle5_gain_vs_cr,oracle5_gain_vs_lfv1,cr_strength_bin
1000_0.73_1.8.png,1000,0.73,1.8,0.65<=A<0.75,beta>=1.7,0.65<=A<0.75 | beta>=1.7,21.34797847782968,0.9399944543838501,29.276544649578057,0.9898760318756104,28.7030222516761,0.9892829060554504,-0.5735223979019572,-0.0005931258201599121,29.904107162371222,0.9895455241203308,0.6275625127931654,-0.000330507755279541,29.359880320294735,0.9895191788673401,0.08333567071667858,-0.00035685300827026367,28.24249804090565,0.9886918663978577,-1.034046608672405,-0.0011841654777526855,rescalib,ResidualCalib,29.904107162371222,0.6275625127931654,1.2010849106951227,middle_50
100_0.5_1.76.png,100,0.5,1.76,A<0.65,beta>=1.7,A<0.65 | beta>=1.7,15.609945657187724,0.7223281264305115,30.763515921282988,0.9860671758651733,33.00497869268346,0.9853483438491821,2.241462771400471,-0.0007188320159912109,29.721086545084738,0.9864143133163452,-1.0424293761982497,0.000347137451171875,27.488300381167555,0.9861255288124084,-3.2752155401154326,5.835294723510742e-05,30.57648415912629,0.9862955808639526,-0.18703176215669615,0.00022840499877929688,lfv1,LF-v1,33.00497869268346,2.241462771400471,0.0,middle_50
101_0.83_1.44.png,101,0.83,1.44,0.75<=A<0.85,1.4<=beta<1.7,0.75<=A<0.85 | 1.4<=beta<1.7,10.359807369608907,0.720355749130249,24.82007373244601,0.9667182564735413,26.045102524427165,0.9665688276290894,1.2250287919811562,-0.0001494288444519043,24.87746108570493,0.9673864245414734,0.05738735325892108,0.0006681680679321289,25.291283394951513,0.9672132730484009,0.47120966250550467,0.0004950165748596191,25.578229724978566,0.9686010479927063,0.7581559925325578,0.001882791519165039,lfv1,LF-v1,26.045102524427165,1.2250287919811562,0.0,weakest_25
102_0.67_1.36.png,102,0.67,1.36,0.65<=A<0.75,1.1<=beta<1.4,0.65<=A<0.75 | 1.1<=beta<1.4,11.457589744981323,0.7599693536758423,25.43641408109729,0.9698611497879028,25.386512653192476,0.9676603674888611,-0.049901427904814,-0.002200782299041748,24.86364373094494,0.9699099063873291,-0.57277035015235,4.875659942626953e-05,25.22598198581352,0.9696574807167053,-0.21043209528377105,-0.00020366907119750977,25.183861705696152,0.9696736931800842,-0.2525523754011374,-0.00018745660781860352,cr,CR baseline,25.43641408109729,0.0,0.049901427904814,weakest_25
103_0.94_0.98.png,103,0.94,0.98,0.85<=A<0.95,0.8<=beta<1.1,0.85<=A<0.95 | 0.8<=beta<1.1,12.420238502475016,0.786376416683197,28.30194274778668,0.9779810905456543,28.2317729962819,0.9758071899414062,-0.07016975150477833,-0.002173900604248047,27.207209807809374,0.9776241183280945,-1.0947329399773054,-0.00035697221755981445,27.634688453623532,0.9778748750686646,-0.667254294163147,-0.0001062154769897461,27.040612252937407,0.9762679934501648,-1.2613304948492718,-0.001713097095489502,cr,CR baseline,28.30194274778668,0.0,0.07016975150477833,weakest_25
104_0.91_1.41.png,104,0.91,1.41,0.85<=A<0.95,1.4<=beta<1.7,0.85<=A<0.95 | 1.4<=beta<1.7,10.346996004583302,0.7144492864608765,25.36829672251354,0.9662331938743591,26.786631166393924,0.9664916396141052,1.4183344438803829,0.00025844573974609375,25.264576215095573,0.9665979146957397,-0.10372050741796812,0.00036472082138061523,25.908038443558404,0.9673904776573181,0.5397417210448623,0.0011572837829589844,26.112627759678823,0.9677022695541382,0.7443310371652814,0.0014690756797790527,lfv1,LF-v1,26.786631166393924,1.4183344438803829,0.0,weakest_25
105_0.84_0.8.png,105,0.84,0.8,0.75<=A<0.85,0.8<=beta<1.1,0.75<=A<0.85 | 0.8<=beta<1.1,21.790187248062463,0.9608063101768494,25.77411515456191,0.9798886775970459,24.968379550928535,0.9776399731636047,-0.8057356036333729,-0.002248704433441162,26.024787870925135,0.979087769985199,0.2506727163632263,-0.0008009076118469238,25.62552022490346,0.9782664775848389,-0.14859492965844723,-0.0016222000122070312,25.959153518009266,0.9803422093391418,0.18503836344735802,0.00045353174209594727,rescalib,ResidualCalib,26.024787870925135,0.2506727163632263,1.0564083199965992,weakest_25
106_0.59_1.07.png,106,0.59,1.07,A<0.65,0.8<=beta<1.1,A<0.65 | 0.8<=beta<1.1,24.377562460410246,0.9747257828712463,28.469115431336824,0.9819873571395874,27.983348074639423,0.981447160243988,-0.48576735669740145,-0.0005401968955993652,28.05635926509309,0.978809654712677,-0.4127561662437351,-0.0031777024269104004,28.320265828745175,0.9800468683242798,-0.1488496025916497,-0.0019404888153076172,28.131729861637677,0.9805872440338135,-0.3373855696991477,-0.0014001131057739258,cr,CR baseline,28.469115431336824,0.0,0.48576735669740145,weakest_25
107_0.89_1.5.png,107,0.89,1.5,0.85<=A<0.95,1.4<=beta<1.7,0.85<=A<0.95 | 1.4<=beta<1.7,12.54811371449331,0.8407064080238342,27.87759836047469,0.9823389649391174,23.85805361085584,0.9720098376274109,-4.0195447496188486,-0.010329127311706543,27.54776384209771,0.9805694222450256,-0.3298345183769804,-0.0017695426940917969,26.74885683351578,0.9774661660194397,-1.1287415269589083,-0.004872798919677734,27.3630775518492,0.9818595051765442,-0.5145208086254875,-0.0004794597625732422,cr,CR baseline,27.87759836047469,0.0,4.0195447496188486,weakest_25
108_0.73_1.27.png,108,0.73,1.27,0.65<=A<0.75,1.1<=beta<1.4,0.65<=A<0.75 | 1.1<=beta<1.4,18.199268428950226,0.9230210185050964,27.24645269367477,0.9827321767807007,25.237109903276092,0.977318525314331,-2.0093427903986765,-0.005413651466369629,27.29433627478447,0.9805951714515686,0.04788358110970137,-0.00213700532913208,26.89715111743969,0.9802689552307129,-0.34930157623507796,-0.002463221549987793,27.61934867528982,0.9833579659461975,0.3728959816150521,0.0006257891654968262,lfcr_v1_w005,LFCR-v1 w0.005,27.61934867528982,0.3728959816150521,2.3822387720137286,weakest_25
