model,label,mean_psnr,mean_ssim,mean_delta_vs_cr,median_delta_vs_cr,better_vs_cr_count,worse_vs_cr_count,better_030_vs_cr_count,worse_030_vs_cr_count,winner_count,weak_cr_mean_delta,strong_cr_mean_delta,weak_cr_better_030,strong_cr_worse_030
cr,CR baseline,32.22531544406326,0.9844174734950065,0.0,0.0,0,0,0,0,187,0.0,0.0,0,0
lfv1,LF-v1,32.42827447993928,0.9844541362524033,0.2029590358760756,0.15673637364909077,549,451,453,351,204,0.49206175256931173,-0.052003885342475485,127,100
rescalib,ResidualCalib,32.393553133081184,0.9844995281100273,0.1682376890179455,0.20097797019212038,547,453,469,379,250,0.6354098311865223,-0.11705884251204407,136,110
crplusv2,CRPlus-v2,32.364939394996604,0.9846888391375541,0.1396239509333872,0.15594111810923295,552,448,457,359,176,0.4462102970412398,0.09207545722199029,132,92
lfcr_v1_w005,LFCR-v1 w0.005,32.210519395280905,0.9844320727586746,-0.014796048782325138,0.04348284462846763,513,487,414,410,183,0.2135863225809589,-0.1789401701953449,110,108
