name,feature_set,model_type,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,residual_selection_count,lfv1_selection_count,residual_precision,residual_recall,two_way_accuracy,lost_lfv1_gain_selected_count,residual_worst_selected_count,split,oracle_recovery,prob_threshold
always_lfv1,output_proxy,baseline,300,32.42341415318364,0.9850379580259323,0.0,0.14849304493636575,0,300,,0.0,0.49,0,0,0,0.0,
always_residual,output_proxy,baseline,300,32.38798337562583,0.984958867430687,-0.035430777557812765,0.11306226737855297,300,0,0.51,1.0,0.51,64,53,0,-0.05824763580979427,
two_way_oracle,output_proxy,oracle,300,33.0316925333313,0.9858817841609319,0.6082783801476647,0.7567714250840303,153,147,1.0,1.0,1.0,0,0,0,1.0,
decision_stump,output_proxy,stump,300,32.49562539965103,0.9851018587748209,0.07221124646739395,0.2207042914037597,140,160,0.5785714285714286,0.5294117647058824,0.5633333333333334,29,19,0,0.11871414277433971,
ridge_logistic,output_proxy,logistic,300,32.49137761520013,0.9852851710716883,0.06796346201648748,0.2164565069528532,257,43,0.5369649805447471,0.9019607843137255,0.5533333333333333,56,37,0,0.11173085257442289,0.44753898308314566
always_lfv1,output_proxy,baseline,300,32.54768417896968,0.9839076377948125,0.0,0.1849676030290456,0,300,,0.0,0.49,0,0,1,0.0,
always_residual,output_proxy,baseline,300,32.54663334236749,0.9840051833788553,-0.0010508366021808632,0.18391676642686475,300,0,0.51,1.0,0.51,65,48,1,-0.0016499442478817644,
two_way_oracle,output_proxy,oracle,300,33.18457636701175,0.9848209047317504,0.6368921880420814,0.821859791071127,153,147,1.0,1.0,1.0,0,0,1,1.0,
decision_stump,output_proxy,stump,300,32.60159874570479,0.9838571079572042,0.05391456673511081,0.23888216976415644,143,157,0.5104895104895105,0.477124183006536,0.5,34,19,1,0.08465257974171998,
ridge_logistic,output_proxy,logistic,300,32.58846250475707,0.9839773633082708,0.04077832578738801,0.22574592881643366,228,72,0.5131578947368421,0.7647058823529411,0.51,50,32,1,0.06402704657557154,0.4729850024529983
always_lfv1,metadata_proxy,baseline,300,32.42341415318364,0.9850379580259323,0.0,0.14849304493636575,0,300,,0.0,0.49,0,0,0,0.0,
always_residual,metadata_proxy,baseline,300,32.38798337562583,0.984958867430687,-0.035430777557812765,0.11306226737855297,300,0,0.51,1.0,0.51,64,53,0,-0.05824763580979427,
two_way_oracle,metadata_proxy,oracle,300,33.0316925333313,0.9858817841609319,0.6082783801476647,0.7567714250840303,153,147,1.0,1.0,1.0,0,0,0,1.0,
decision_stump,metadata_proxy,stump,300,32.47273840266805,0.9851037106911341,0.04932424948440962,0.19781729442077536,148,152,0.5135135135135135,0.49673202614379086,0.5033333333333333,31,21,0,0.08108828308583932,
ridge_logistic,metadata_proxy,logistic,300,32.439520477628136,0.9850851583480835,0.01610632444449698,0.16459936938086273,101,199,0.46534653465346537,0.30718954248366015,0.4666666666666667,23,16,0,0.02647854168446203,0.5269066651644446
always_lfv1,metadata_proxy,baseline,300,32.54768417896968,0.9839076377948125,0.0,0.1849676030290456,0,300,,0.0,0.49,0,0,1,0.0,
always_residual,metadata_proxy,baseline,300,32.54663334236749,0.9840051833788553,-0.0010508366021808632,0.18391676642686475,300,0,0.51,1.0,0.51,65,48,1,-0.0016499442478817644,
two_way_oracle,metadata_proxy,oracle,300,33.18457636701175,0.9848209047317504,0.6368921880420814,0.821859791071127,153,147,1.0,1.0,1.0,0,0,1,1.0,
decision_stump,metadata_proxy,stump,300,32.63974566858606,0.9839901985724767,0.09206148961637826,0.2770290926454239,151,149,0.5629139072847682,0.5555555555555556,0.5533333333333333,26,19,1,0.14454799626195994,
ridge_logistic,metadata_proxy,logistic,300,32.635774562427805,0.9839870854218801,0.08809038345812562,0.2730579864871712,159,141,0.559748427672956,0.5816993464052288,0.5533333333333333,29,20,1,0.13831286536726248,0.5006423560459496
always_lfv1,output_plus_metadata_proxy,baseline,300,32.42341415318364,0.9850379580259323,0.0,0.14849304493636575,0,300,,0.0,0.49,0,0,0,0.0,
always_residual,output_plus_metadata_proxy,baseline,300,32.38798337562583,0.984958867430687,-0.035430777557812765,0.11306226737855297,300,0,0.51,1.0,0.51,64,53,0,-0.05824763580979427,
