feature,weight,abs_weight,split,feature_set,bias,prob_threshold
residual_lfv1_luma_mean_delta,0.04239021861182528,0.04239021861182528,0,output_proxy,0.03408499528664556,0.44753898308314566
lfv1_baseline_luma_mean_delta,-0.0417871580874379,0.0417871580874379,0,output_proxy,0.03408499528664556,0.44753898308314566
lfv1_baseline_dark_channel_mean_delta,-0.03843648684284003,0.03843648684284003,0,output_proxy,0.03408499528664556,0.44753898308314566
residual_lfv1_lap_var_delta,0.03606723560065119,0.03606723560065119,0,output_proxy,0.03408499528664556,0.44753898308314566
residual_lfv1_saturation_mean_delta_abs,0.034998786728368536,0.034998786728368536,0,output_proxy,0.03408499528664556,0.44753898308314566
baseline_saturation_mean,0.031720616447117864,0.031720616447117864,0,output_proxy,0.03408499528664556,0.44753898308314566
residual_saturation_mean,0.031486395726371415,0.031486395726371415,0,output_proxy,0.03408499528664556,0.44753898308314566
lfv1_baseline_lap_var_delta_abs,-0.030517989986685888,0.030517989986685888,0,output_proxy,0.03408499528664556,0.44753898308314566
lfv1_saturation_mean,0.030203635188048382,0.030203635188048382,0,output_proxy,0.03408499528664556,0.44753898308314566
lfv1_baseline_dark_channel_mean_delta_abs,-0.028898168089748818,0.028898168089748818,0,output_proxy,0.03408499528664556,0.44753898308314566
residual_lfv1_saturation_mean_delta,0.026594773668093742,0.026594773668093742,0,output_proxy,0.03408499528664556,0.44753898308314566
lfv1_baseline_saturation_mean_delta,-0.02623166707774172,0.02623166707774172,0,output_proxy,0.03408499528664556,0.44753898308314566
residual_lfv1_lap_var_delta,0.05585260110411998,0.05585260110411998,1,output_proxy,0.03374190120325985,0.4729850024529983
residual_lfv1_highfreq_abs_mean_delta,0.047265976814455254,0.047265976814455254,1,output_proxy,0.03374190120325985,0.4729850024529983
residual_lfv1_saturation_mean_delta_abs,0.04702738394579661,0.04702738394579661,1,output_proxy,0.03374190120325985,0.4729850024529983
residual_lfv1_luma_mean_delta,0.04265690077274534,0.04265690077274534,1,output_proxy,0.03374190120325985,0.4729850024529983
residual_lfv1_edge_mean_delta,0.04148152995185933,0.04148152995185933,1,output_proxy,0.03374190120325985,0.4729850024529983
residual_lfv1_luma_std_delta,0.037829578142166954,0.037829578142166954,1,output_proxy,0.03374190120325985,0.4729850024529983
residual_baseline_edge_mean_delta,0.03708937106586624,0.03708937106586624,1,output_proxy,0.03374190120325985,0.4729850024529983
residual_baseline_highfreq_abs_mean_delta,0.03539769241954213,0.03539769241954213,1,output_proxy,0.03374190120325985,0.4729850024529983
lfv1_baseline_lap_var_delta_abs,-0.034216141194760824,0.034216141194760824,1,output_proxy,0.03374190120325985,0.4729850024529983
lfv1_baseline_dark_channel_mean_delta_abs,-0.03075262750214752,0.03075262750214752,1,output_proxy,0.03374190120325985,0.4729850024529983
residual_baseline_luma_std_delta,0.028465553404237016,0.028465553404237016,1,output_proxy,0.03374190120325985,0.4729850024529983
baseline_saturation_mean,0.027782698165951088,0.027782698165951088,1,output_proxy,0.03374190120325985,0.4729850024529983
width,0.04740315379277408,0.04740315379277408,0,metadata_proxy,0.03430397328842512,0.5269066651644446
height,0.04740315379277398,0.04740315379277398,0,metadata_proxy,0.03430397328842512,0.5269066651644446
airlight,0.026191445544743286,0.026191445544743286,0,metadata_proxy,0.03430397328842512,0.5269066651644446
beta,-0.01083685110157625,0.01083685110157625,0,metadata_proxy,0.03430397328842512,0.5269066651644446
