loss,l1,res_lf,dir,preserve,bound,color,residual_cosine,pred_lf_norm,target_lf_norm,residual_norm_ratio,gate_lf_mean,gate_hf_mean,c_lf_norm,step
0.02683512680232525,0.011129355058073997,0.009751404635608196,0.7310076951980591,0.0,1.2550563951663207e-05,0.005517709068953991,0.2689923048019409,0.005806821398437023,5.659955024719238,0.0010259483242407441,0.01798621006309986,0.006692850962281227,0.0038462162483483553,1
0.027658207342028618,0.010970110073685646,0.009544186294078827,0.781110405921936,0.0,0.001111954334191978,0.005017499439418316,0.21888962388038635,0.5858445167541504,5.659955024719238,0.10350692272186279,0.04312412440776825,0.014055144041776657,0.44117408990859985,200
0.028215155005455017,0.010965168476104736,0.009530085138976574,0.8093143105506897,0.0,0.000997240305878222,0.00503606628626585,0.1906857043504715,0.5553826093673706,5.659955024719238,0.0981249138712883,0.04137381911277771,0.012948197312653065,0.44640493392944336,400
0.028166815638542175,0.010967808775603771,0.0095401955768466,0.8067210912704468,0.0,0.000885391142219305,0.005085602402687073,0.1932789385318756,0.5163364410400391,5.659955024719238,0.0912262424826622,0.0412474200129509,0.012251203879714012,0.4380722641944885,600
0.027097731828689575,0.010998631827533245,0.009605195373296738,0.7514088153839111,0.0,0.0005126408650539815,0.005263940896838903,0.24859121441841125,0.3199012577533722,5.659955024719238,0.05652010440826416,0.017638741061091423,0.004213462583720684,0.27453017234802246,800
0.02636510692536831,0.01097550243139267,0.009574336931109428,0.7161381244659424,0.0,0.0004250885685905814,0.005257914774119854,0.28386190533638,0.3147997260093689,5.659955024719238,0.055618766695261,0.012374039739370346,0.0016146127600222826,0.2815742492675781,1000
0.025188064202666283,0.010877905413508415,0.009460772387683392,0.6627491116523743,0.0,0.0007853867718949914,0.005062315613031387,0.33725088834762573,0.5337009429931641,5.659955024719238,0.09429420530796051,0.022992396727204323,0.0018518546130508184,0.511489987373352,1200
0.025804748758673668,0.010969966650009155,0.009561039507389069,0.6884669065475464,0.0,0.0004354165866971016,0.00524925347417593,0.311533123254776,0.35678157210350037,5.659955024719238,0.06303611397743225,0.011613046750426292,0.00105499685741961,0.3493216931819916,1400
0.02533244527876377,0.01096824835985899,0.009560776874423027,0.6649442911148071,0.0,0.0004045365785714239,0.005259389989078045,0.33505573868751526,0.3400307893753052,5.659955024719238,0.06007658690214157,0.010934477671980858,0.001032440923154354,0.3542112708091736,1600
0.024152634665369987,0.0109183918684721,0.009504541754722595,0.6087386012077332,0.0,0.0005094295484013855,0.00519608473405242,0.39126139879226685,0.3983032703399658,5.659955024719238,0.07037216424942017,0.015002300962805748,0.002839502412825823,0.42383161187171936,1800
0.02387009561061859,0.011002885177731514,0.009610716253519058,0.5898229479789734,0.0,0.00024873734218999743,0.005359699483960867,0.4101770520210266,0.20608070492744446,5.659955024719238,0.03641030937433243,0.0071565983816981316,0.0028133192099630833,0.22557474672794342,2000
