feature_set,head,permuted_precision,real_precision,permuted_gain,real_gain,permuted_strong_nochange_fi,real_strong_nochange_fi,precision_delta_real_minus_permuted,gain_delta_real_minus_permuted
C1_basic,decision_tree,0.5363681349576443,0.6552631578947369,0.2434884201264593,0.09517791415524389,0.4231166150670795,0.05499265096788317,0.11889502293709253,-0.14831050597121542
C1_basic,hgb,0.5462479679956004,0.746851825758406,0.3779676550920319,0.6248171943177603,0.5502652948473382,0.2202051474497295,0.20060385776280565,0.2468495392257284
C1_basic,logistic,0.5585747305736668,0.7577566934664558,0.34043049789280855,0.6120719284151886,0.4852706632892391,0.25204052913031244,0.199181962892789,0.2716414305223801
C2_both,decision_tree,0.5363681349576443,0.6552631578947369,0.2434884201264593,0.09517791415524389,0.4231166150670795,0.05499265096788317,0.11889502293709253,-0.14831050597121542
C2_both,hgb,0.5500694352999423,0.7497280897177964,0.3734307523406585,0.6165333604234409,0.5573902075450063,0.21010413734871938,0.19965865441785402,0.2431026080827824
C2_both,logistic,0.5591798944767468,0.7530044526411556,0.34450454474698533,0.6084552650661487,0.4886376666562426,0.25204052913031244,0.1938245581644088,0.26395072031916333
C2_depthanything,decision_tree,0.5363681349576443,0.6552631578947369,0.2434884201264593,0.09517791415524389,0.4231166150670795,0.05499265096788317,0.11889502293709253,-0.14831050597121542
C2_depthanything,hgb,0.5474030206725783,0.7447647990402201,0.3739399193861398,0.6169928606632801,0.5477843449979674,0.2202051474497295,0.1973617783676418,0.24305294127714028
C2_depthanything,logistic,0.5611272247054234,0.7566929853855573,0.34561316605087916,0.610100790858866,0.4852706632892391,0.25204052913031244,0.19556576068013387,0.2644876248079869
C2_midas,decision_tree,0.5363681349576443,0.6552631578947369,0.2434884201264593,0.09517791415524389,0.4231166150670795,0.05499265096788317,0.11889502293709253,-0.14831050597121542
C2_midas,hgb,0.5511601043397303,0.7506426455802832,0.37976333612429225,0.6182437316534682,0.5442192826093755,0.21010413734871938,0.19948254124055287,0.238480395529176
C2_midas,logistic,0.5607221785139557,0.7578365223134079,0.34455347289967736,0.609472241369556,0.47942271007286485,0.25204052913031244,0.19711434379945225,0.26491876846987866
C3_both,decision_tree,0.5330959079222989,0.6552631578947369,0.25855401665438466,0.09517791415524389,0.4554523563811489,0.05499265096788317,0.122167249972438,-0.16337610249914075
C3_both,hgb,0.5421670611998248,0.7476583199133285,0.37267125847997445,0.6251895710098505,0.5822570389133855,0.2000031272477093,0.2054912587135037,0.25251831252987605
C3_both,logistic,0.5582337409765246,0.754165413123887,0.33657922161668063,0.606549081505987,0.4877516131386101,0.2621415392313225,0.1959316721473624,0.26996985988930633
