estimator,best_feature_set,head,strong_official_FI_relative_reduction,all_nochange_FI_relative_reduction,precision_delta,simulated_gain_delta,same_direction_effective
depthanything,C2_depthanything,decision_tree,0.0,0.0,0.0,0.0,0
midas,C2_midas,decision_tree,0.0,0.0,0.0,0.0,0
