control,target_margin,feature_group,estimator_group,feature_set,head,split_family,split_group,splits,intervention_rate_mean,intervention_rate_std,intervention_precision_mean,intervention_precision_std,intervention_recall_mean,intervention_recall_std,nochange_false_intervention_rate_mean,nochange_false_intervention_rate_std,strong_nochange_false_intervention_rate_mean,strong_nochange_false_intervention_rate_std,residual_low_false_intervention_rate_mean,residual_low_false_intervention_rate_std,official_preserve_rate_mean,official_preserve_rate_std,low_residual_preserve_rate_mean,low_residual_preserve_rate_std,simulated_mean_psnr_gain_mean,simulated_mean_psnr_gain_std,bootstrap_gain_p05_mean,bootstrap_gain_p05_std,oracle_recovery_mean,oracle_recovery_std,confidence_corr_mean,confidence_corr_std,labeled_n_mean,labeled_n_std,ignored_n_mean,ignored_n_std,strong_official_FI_relative_reduction,all_nochange_FI_relative_reduction,precision_delta,simulated_gain_delta,bootstrap_gain_p05_delta,passes_relative_depth_line,passes_strong_absolute_line
real,0.2,C0,C0_deployable,C0_deployable,decision_tree,random,random,3,0.07333333333333333,0.0613043409737208,0.6552631578947369,0.1824856588807394,0.09920587618165304,0.09434901045468194,0.039722151486857364,0.022314461575680525,0.05499265096788317,0.03554847852912318,0.05855161787365177,0.04147863402068817,0.9573560319461959,0.037839439070985366,0.9414483821263482,0.041478634020688174,0.09517791415524389,0.1130992095105361,0.053927424004630374,0.0786311782119023,0.1244757731019396,0.14691270503847373,0.2775320911819492,0.10941200295390606,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.0,0.0,0.0,0.0,0.0,0,0
real,0.2,C0,C0_deployable,C0_deployable,hgb,random,random,3,0.6,0.02286190426597635,0.744890754063416,0.04876223700685341,0.8340102067775178,0.004045794779003535,0.34936479642361995,0.07299173227446665,0.2000031272477093,0.03963747303634758,0.6098613251155625,0.018943254331353698,0.632009247583018,0.03359026145502956,0.3901386748844376,0.018943254331353698,0.6193761952933895,0.07289513134508176,0.49471226473607616,0.061033705644851916,0.879195651814249,0.012440865479888204,0.4622370040006903,0.06514549244848829,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.09174181637435201,0.011717624459740733,-0.0019610716949900464,-0.005440999024370785,-0.0043518655358933955,0,0
real,0.2,C0,C0_deployable,C0_deployable,logistic,random,random,3,0.6146666666666666,0.023626726862225823,0.7558685307939794,0.060229494963307886,0.847298814878947,0.00383235034083491,0.33599015363721246,0.09183929017777055,0.25204052913031244,0.08287778460190977,0.614406779661017,0.03717310912081332,0.5332282471626734,0.017147822097241704,0.3855932203389831,0.037173109120813314,0.6115218294048881,0.06987128342763035,0.4863918822358358,0.06239424731860334,0.8684683500277545,0.012235698266673896,0.43492014480147895,0.01828337867353899,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.0,-0.009538626335790218,-0.001888162672476379,-0.0005500990103005643,-0.0009646100582693662,0,0
real,0.2,C1,C1_basic,C1_basic,decision_tree,random,random,3,0.07333333333333333,0.0613043409737208,0.6552631578947369,0.1824856588807394,0.09920587618165304,0.09434901045468194,0.039722151486857364,0.022314461575680525,0.05499265096788317,0.03554847852912318,0.05855161787365177,0.04147863402068817,0.9573560319461959,0.037839439070985366,0.9414483821263482,0.041478634020688174,0.09517791415524389,0.1130992095105361,0.053927424004630374,0.0786311782119023,0.1244757731019396,0.14691270503847373,0.27760350723127836,0.10931101142314874,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.0,0.0,0.0,0.0,0.0,0,0
real,0.2,C1,C1_basic,C1_basic,hgb,random,random,3,0.6173333333333333,0.02815828277592386,0.746851825758406,0.0416719725180497,0.8542832983743187,0.01854896869311692,0.35350705938941235,0.05988977164933517,0.2202051474497295,0.06404183758114645,0.6156052045882555,0.02312967396164839,0.6262084909625892,0.046803120084537866,0.38439479541174454,0.023129673961648386,0.6248171943177603,0.08678771373429546,0.49906413027196955,0.07157764686123605,0.8847707848212206,0.03391846072744828,0.4682956530758096,0.06261340904471877,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.0,0.0,0.0,0.0,0.0,0,0
real,0.2,C1,C1_basic,C1_basic,logistic,random,random,3,0.6133333333333333,0.0247296493213219,0.7577566934664558,0.06056480079026894,0.847298814878947,0.00383235034083491,0.3328155504626093,0.09302089027214717,0.25204052913031244,0.08287778460190977,0.614406779661017,0.03717310912081332,0.5332282471626734,0.017147822097241704,0.3855932203389831,0.037173109120813314,0.6120719284151886,0.07008824052007057,0.48735649229410516,0.06274656090185134,0.8692098765520168,0.011807590021910204,0.43425882983969627,0.017868568336732643,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.0,0.0,0.0,0.0,0.0,0,0
real,0.2,C2,both,C2_both,decision_tree,random,random,3,0.07333333333333333,0.0613043409737208,0.6552631578947369,0.1824856588807394,0.09920587618165304,0.09434901045468194,0.039722151486857364,0.022314461575680525,0.05499265096788317,0.03554847852912318,0.05855161787365177,0.04147863402068817,0.9573560319461959,0.037839439070985366,0.9414483821263482,0.041478634020688174,0.09517791415524389,0.1130992095105361,0.053927424004630374,0.0786311782119023,0.1244757731019396,0.14691270503847373,0.27760350723127836,0.10931101142314874,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.0,0.0,0.0,0.0,0.0,0,0
real,0.2,C2,both,C2_both,hgb,random,random,3,0.608,0.026127890589687258,0.7497280897177964,0.05293561588865647,0.846937374218999,0.006634634443864824,0.3464759641230229,0.08088186106459246,0.21010413734871938,0.05130479806623494,0.6268104776579353,0.019217002982793652,0.6278268179907524,0.024108590684283625,0.3731895223420647,0.019217002982793652,0.6165333604234409,0.07990190730306061,0.49154282881248584,0.06789810249155971,0.8739800694772691,0.025457146889454035,0.46440377863221743,0.05992812998551452,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.04587090818717607,0.01988954698255182,0.002876263959390335,-0.008283833894319415,-0.007521301459483709,0,0
real,0.2,C2,both,C2_both,logistic,random,random,3,0.6133333333333333,0.0247296493213219,0.7530044526411556,0.06309484646041896,0.8417175715927857,0.002934060918227151,0.33925812749342166,0.09628843456905206,0.25204052913031244,0.08287778460190977,0.614406779661017,0.03717310912081332,0.5396385035729298,0.01402767735187458,0.3855932203389831,0.037173109120813314,0.6084552650661487,0.07164378678850583,0.4841386714499925,0.06306998946060989,0.8638024954236131,0.015626266412579054,0.43454840226964847,0.018761605686141693,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.0,-0.019357800504986197,-0.004752240825300236,-0.0036166633490399835,-0.003217820844112651,0,0
real,0.2,C2,both,C2_both_shuffled_depth,decision_tree,random,random,3,0.07333333333333333,0.0613043409737208,0.6552631578947369,0.1824856588807394,0.09920587618165304,0.09434901045468194,0.039722151486857364,0.022314461575680525,0.05499265096788317,0.03554847852912318,0.05855161787365177,0.04147863402068817,0.9573560319461959,0.037839439070985366,0.9414483821263482,0.041478634020688174,0.09517791415524389,0.1130992095105361,0.053927424004630374,0.0786311782119023,0.1244757731019396,0.14691270503847373,0.27760350723127836,0.10931101142314877,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.0,0.0,0.0,0.0,0.0,0,0
real,0.2,C2,both,C2_both_shuffled_depth,hgb,random,random,3,0.6093333333333333,0.024513035081133668,0.7480015208713434,0.03612158465457333,0.8540386201262149,0.02106959488139799,0.34995331465919705,0.04523691483998135,0.21010413734871938,0.05130479806623494,0.6049049820236262,0.015905699984857413,0.6278268179907524,0.024108590684283625,0.39509501797637386,0.015905699984857413,0.6266134839527767,0.08064241974171955,0.5013249024538565,0.06743632231216538,0.888344877134814,0.023303899959887978,0.46113078624568477,0.06093997496722887,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.04587090818717607,0.010052825356170917,0.0011496951129373878,0.0017962896350164348,0.002260772181886972,0,0
real,0.2,C2,both,C2_both_shuffled_depth,logistic,random,random,3,0.6186666666666666,0.021746008573733475,0.7456832888139758,0.0528674607992595,0.8445665744417886,0.0011913699107341915,0.35244037008742884,0.07939839077375596,0.2989961534853176,0.0977279569580751,0.6305683958226331,0.037481888905657054,0.5114333753678015,0.0338255521484219,0.36943160417736687,0.037481888905657054,0.6078245867102104,0.06811548338551125,0.4828995200337844,0.061650695319111645,0.8635082395299684,0.014133576790800876,0.4329351330926643,0.01912733892189909,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,-0.18630187976921644,-0.05896605371215768,-0.012073404652479969,-0.0042473417049782025,-0.004456972260320768,0,0
real,0.2,C2,depthanything,C2_depthanything,decision_tree,random,random,3,0.07333333333333333,0.0613043409737208,0.6552631578947369,0.1824856588807394,0.09920587618165304,0.09434901045468194,0.039722151486857364,0.022314461575680525,0.05499265096788317,0.03554847852912318,0.05855161787365177,0.04147863402068817,0.9573560319461959,0.037839439070985366,0.9414483821263482,0.041478634020688174,0.09517791415524389,0.1130992095105361,0.053927424004630374,0.0786311782119023,0.1244757731019396,0.14691270503847373,0.28037189241843496,0.10539616558761424,226.33333333333334,5.734883511361751,23.666666666666668,5.734883511361751,0.0,0.0,0.0,0.0,0.0,0,0
