target_margin,feature_set,head,split_group,real_strong_nochange_fi,shuffled_strong_nochange_fi,real_nochange_fi,shuffled_nochange_fi,real_precision,shuffled_precision,real_gain,shuffled_gain,strong_fi_gap_real_minus_shuffled,precision_gap_real_minus_shuffled,gain_gap_real_minus_shuffled
0.2,C2_both,decision_tree,random,0.05499265096788317,0.05499265096788317,0.039722151486857364,0.039722151486857364,0.6552631578947369,0.6552631578947369,0.09517791415524389,0.09517791415524389,0.0,0.0,0.0
0.2,C2_both,hgb,random,0.21010413734871938,0.21010413734871938,0.3464759641230229,0.34995331465919705,0.7497280897177964,0.7480015208713434,0.6165333604234409,0.6266134839527767,0.0,0.0017265688464529472,-0.01008012352933585
0.2,C2_both,logistic,random,0.25204052913031244,0.2989961534853176,0.33925812749342166,0.35244037008742884,0.7530044526411556,0.7456832888139758,0.6084552650661487,0.6078245867102104,-0.046955624355005166,0.007321163827179733,0.000630678355938219
0.2,C2_depthanything,decision_tree,random,0.05499265096788317,0.05499265096788317,0.039722151486857364,0.039722151486857364,0.6552631578947369,0.6552631578947369,0.09517791415524389,0.09517791415524389,0.0,0.0,0.0
0.2,C2_depthanything,hgb,random,0.2202051474497295,0.2202051474497295,0.356576974224033,0.35350705938941235,0.7447647990402201,0.7451683240749043,0.6169928606632801,0.6203463050755191,0.0,-0.00040352503468421563,-0.0033534444122390594
0.2,C2_depthanything,logistic,random,0.25204052913031244,0.28145229383619474,0.3327221797810033,0.3557083439436381,0.7566929853855573,0.7436832003189345,0.610100790858866,0.6079596491961816,-0.029411764705882304,0.013009785066622759,0.0021411416626844204
0.2,C2_midas,decision_tree,random,0.05499265096788317,0.05499265096788317,0.039722151486857364,0.039722151486857364,0.6552631578947369,0.6552631578947369,0.09517791415524389,0.09517791415524389,0.0,0.0,0.0
0.2,C2_midas,hgb,random,0.21010413734871938,0.21010413734871938,0.3434060492884023,0.34995331465919705,0.7506426455802832,0.7491382074300249,0.6182437316534682,0.629130554646191,0.0,0.0015044381502582471,-0.010886822992722811
0.2,C2_midas,logistic,random,0.25204052913031244,0.2989961534853176,0.32954757660640016,0.351950881362646,0.7578365223134079,0.7476815050344463,0.609472241369556,0.6094205848781846,-0.046955624355005166,0.01015501727896162,5.165649137139905e-05
0.2,C3_both,decision_tree,random,0.05499265096788317,0.05499265096788317,0.039722151486857364,0.039722151486857364,0.6552631578947369,0.6552631578947369,0.09517791415524389,0.09517791415524389,0.0,0.0,0.0
0.2,C3_both,hgb,random,0.2000031272477093,0.18990211714669922,0.3526327702798291,0.326279602750191,0.7476583199133285,0.7587269756387404,0.6251895710098505,0.6155313450954356,0.010101010101010083,-0.011068655725411825,0.009658225914414897
0.2,C3_both,logistic,random,0.2621415392313225,0.2894893204490728,0.3393571570042158,0.35936677701383585,0.754165413123887,0.7417319822555161,0.606549081505987,0.607174572648882,-0.027347781217750278,0.012433430868370898,-0.0006254911428950072
0.2,C3_depthanything,decision_tree,random,0.05499265096788317,0.05499265096788317,0.039722151486857364,0.039722151486857364,0.6552631578947369,0.6552631578947369,0.09517791415524389,0.09517791415524389,0.0,0.0,0.0
0.2,C3_depthanything,hgb,random,0.21990805891734685,0.21010413734871938,0.3724499900970489,0.32714257420139775,0.739036910269787,0.7614313207670906,0.6266953489648063,0.6220658735440274,0.009803921568627472,-0.02239441049730362,0.00462947542077885
0.2,C3_depthanything,logistic,random,0.2621415392313225,0.3090971635863277,0.3559941148176442,0.3693630987748635,0.7458547657538497,0.7368697587936962,0.6064256904243959,0.6085612630796486,-0.04695562435500522,0.008985006960153474,-0.002135572655252771
0.2,C3_midas,decision_tree,random,0.05499265096788317,0.05499265096788317,0.039722151486857364,0.039722151486857364,0.6552631578947369,0.6552631578947369,0.09517791415524389,0.09517791415524389,0.0,0.0,0.0
0.2,C3_midas,hgb,random,0.21040122588110202,0.19019920567908186,0.3305095775684011,0.3367710720651897,0.7549826965405805,0.7518602565779621,0.6108875558731689,0.6124060985900548,0.020202020202020166,0.0031224399626184063,-0.0015185427168858956
0.2,C3_midas,logistic,random,0.25204052913031244,0.2793883103480627,0.3294542059247942,0.34886964886964883,0.7569596909201447,0.7499113173918679,0.6090985708783335,0.6043766858066628,-0.027347781217750278,0.007048373528276808,0.004721885071670706
