control,target_margin,feature_group,estimator_group,feature_set,head,split_family,split_group,splits,intervention_rate_mean,intervention_rate_std,intervention_precision_mean,intervention_precision_std,intervention_recall_mean,intervention_recall_std,nochange_false_intervention_rate_mean,nochange_false_intervention_rate_std,strong_nochange_false_intervention_rate_mean,strong_nochange_false_intervention_rate_std,residual_low_false_intervention_rate_mean,residual_low_false_intervention_rate_std,official_preserve_rate_mean,official_preserve_rate_std,low_residual_preserve_rate_mean,low_residual_preserve_rate_std,simulated_mean_psnr_gain_mean,simulated_mean_psnr_gain_std,bootstrap_gain_p05_mean,bootstrap_gain_p05_std,oracle_recovery_mean,oracle_recovery_std,confidence_corr_mean,confidence_corr_std,labeled_n_mean,labeled_n_std,ignored_n_mean,ignored_n_std,strong_official_FI_relative_reduction,all_nochange_FI_relative_reduction,precision_delta,simulated_gain_delta,bootstrap_gain_p05_delta,passes_relative_depth_line,passes_strong_absolute_line
real,0.2,C0,C0_deployable,C0_deployable,decision_tree,cr_strength_heldout,test_strong_cr,1,0.008,0.0,1.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,1.0,0.0,0.9938271604938271,0.0,0.018155703946650958,0.0,0.0,0.0,0.0577437364286344,0.0,0.35323946767642733,0.0,208.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
real,0.2,C0,C0_deployable,C0_deployable,decision_tree,official_strength_heldout,test_strong_official,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14713067684956654,0.0,210.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
real,0.2,C0,C0_deployable,C0_deployable,decision_tree,residual_low_energy_heldout,test_residual_low,1,0.132,0.0,0.75,0.0,0.1951219512195122,0.0,0.0851063829787234,0.0,0.014705882352941176,0.0,0.132,0.0,0.993421052631579,0.0,0.868,0.0,0.10199377657947939,0.0,0.0664852551690655,0.0,0.23742524698461015,0.0,0.22512316696220439,0.0,217.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
real,0.2,C0,C0_deployable,C0_deployable,hgb,cr_strength_heldout,test_strong_cr,1,0.24,0.0,0.75,0.0,0.3829787234042553,0.0,0.10526315789473684,0.0,0.09900990099009901,0.0,0.16666666666666666,0.0,0.8047619047619048,0.0,0.8333333333333334,0.0,0.15069526958373483,0.0,0.0933884941526532,0.0,0.4792823210520751,0.0,0.4663149464979401,0.0,208.0,0.0,42.0,0.0,-0.6666666666666669,-0.5,-0.021428571428571463,0.017343331678963653,0.016395690330979235,0,1
real,0.2,C0,C0_deployable,C0_deployable,hgb,official_strength_heldout,test_strong_official,1,0.136,0.0,0.6551724137931034,0.0,0.2235294117647059,0.0,0.08,0.0,0.08,0.0,0.13815789473684212,0.0,0.864,0.0,0.8618421052631579,0.0,0.025857658763634845,0.0,0.00990906016162978,0.0,0.12697464277852683,0.0,0.21226250579398642,0.0,210.0,0.0,40.0,0.0,0.23076923076923073,0.23076923076923073,0.016283524904214586,-0.005609920933210329,-0.004191252594753874,0,0
real,0.2,C0,C0_deployable,C0_deployable,hgb,residual_low_energy_heldout,test_residual_low,1,0.464,0.0,0.7431192660550459,0.0,0.6585365853658537,0.0,0.2978723404255319,0.0,0.17647058823529413,0.0,0.464,0.0,0.75,0.0,0.536,0.0,0.27509892138676567,0.0,0.21313811622081888,0.0,0.640386419112103,0.0,0.41748823259581835,0.0,217.0,0.0,33.0,0.0,-0.20000000000000004,-0.037037037037036896,-0.006880733944954143,-0.00398669547756586,-0.005037332282124274,0,0
real,0.2,C0,C0_deployable,C0_deployable,logistic,cr_strength_heldout,test_strong_cr,1,0.42,0.0,0.6091954022988506,0.0,0.5638297872340425,0.0,0.2982456140350877,0.0,0.3069306930693069,0.0,0.41975308641975306,0.0,0.6190476190476191,0.0,0.5802469135802469,0.0,0.1895359455278558,0.0,0.1314929095664225,0.0,0.6028140640799203,0.0,0.35631398064703207,0.0,208.0,0.0,42.0,0.0,0.0,0.0,-0.0044409613375130386,-0.0018710112280155011,-0.0010564523678557869,0,0
real,0.2,C0,C0_deployable,C0_deployable,logistic,official_strength_heldout,test_strong_official,1,0.336,0.0,0.5735294117647058,0.0,0.4588235294117647,0.0,0.232,0.0,0.232,0.0,0.34210526315789475,0.0,0.6639999999999999,0.0,0.6578947368421053,0.0,0.06250834680970954,0.0,0.030996852539310144,0.0,0.30694871022125847,0.0,0.15972762898575502,0.0,210.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
real,0.2,C0,C0_deployable,C0_deployable,logistic,residual_low_energy_heldout,test_residual_low,1,0.548,0.0,0.675,0.0,0.6585365853658537,0.0,0.4148936170212766,0.0,0.39705882352941174,0.0,0.548,0.0,0.5197368421052632,0.0,0.45199999999999996,0.0,0.2678678595087853,0.0,0.20638342513980443,0.0,0.6235536601936936,0.0,0.23026543804835914,0.0,217.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
real,0.2,C1,C1_basic,C1_basic,decision_tree,cr_strength_heldout,test_strong_cr,1,0.008,0.0,1.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,1.0,0.0,0.9938271604938271,0.0,0.018155703946650958,0.0,0.0,0.0,0.0577437364286344,0.0,0.35323946767642744,0.0,208.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
