group_name,group_value,num_images,mean_delta_psnr,median_delta_psnr,better_030db_count,worse_030db_count,mean_lf_residual_cosine,median_lf_residual_cosine,mean_lf_luma_residual_cosine,mean_lf_residual_norm_ratio,median_lf_residual_norm_ratio,p90_lf_residual_norm_ratio,mean_lf_luma_norm_ratio,mean_lf_residual_error_ratio,mean_lf_mse_delta,mean_lf_luma_mse_delta,lf_mse_improved_count,lf_mse_regressed_count,lf_luma_mse_improved_count,lf_luma_mse_regressed_count,wrong_direction_count,possible_overshoot_count,possible_under_correction_count
all,all,1000,-0.014796048782325101,0.04348284462846763,414,410,0.25841822655341823,0.30514973402023315,0.2598202132427541,0.5760249443189919,0.5475876874473158,0.8862278399292666,0.5802443424588137,1.0231915700139356,1.2571579711220693e-05,1.1963353745159112e-05,508,492,507,493,218,1,106
baseline_strength_bin,baseline_middle_50,500,-0.04691517375745721,0.013077061327054551,218,210,0.2579482124726055,0.3101804852485657,0.25939909193565835,0.609588867792907,0.5606944578623857,0.8631217545889008,0.6140567534924909,1.031240159967637,7.068535932921805e-05,7.071207118860912e-05,248,252,249,251,110,0,42
baseline_strength_bin,baseline_strongest_25,250,-0.1789401701953449,-0.016777412141394166,86,108,0.32483143263682723,0.3298783302307129,0.3248184915678576,0.7534180586216747,0.7188827714962993,1.0430760534124237,0.759843862300831,1.041627875778317,1.2338628090219572e-05,1.2231517692271154e-05,120,130,119,131,26,1,3
baseline_strength_bin,baseline_weakest_25,250,0.2135863225809588,0.1460622308495445,110,92,0.19294504863163456,0.22662464529275894,0.19566417753184215,0.3315039830684788,0.315544692971398,0.5173625860861424,0.3330200005494425,0.9886580843421506,-0.0001034230279037729,-0.00010580224508885294,140,110,139,111,82,0,61
airlight_bin,0.65<=A<0.75,194,0.0036236966323628084,0.06099146672634248,78,82,0.2558379893253567,0.30629509687423706,0.2549589943457587,0.5627812373741897,0.5485374076952716,0.8889374869346881,0.5683175101463588,1.0178948323945787,1.685904228053783e-05,1.7932012185352954e-05,99,95,98,96,47,0,20
airlight_bin,0.75<=A<0.85,210,-0.1204876308844455,-0.14577013983431897,77,88,0.23996874843031124,0.26730960607528687,0.2392348594475715,0.5777063677233754,0.5718904548182895,0.8869740004459685,0.5809081729678733,1.0319762444178933,4.257256174848105e-06,1.332526586511882e-06,94,116,96,114,43,0,16
airlight_bin,0.85<=A<0.95,175,0.05925835276744471,0.04069320294927081,72,72,0.25955126476607154,0.2872999310493469,0.2590552713163197,0.5472649624361109,0.5251952391588257,0.8326337422240057,0.5499057893423884,1.00881964980334,-1.88468474828239e-05,-1.7833163001341744e-05,88,87,89,86,36,0,15
airlight_bin,A<0.65,295,-0.07282071972674038,0.040716552661422156,125,125,0.25972523930821945,0.3260812759399414,0.2661995937454838,0.6229148822558378,0.5823886252943142,0.9846732669569186,0.6299491517945308,1.0433419765839433,6.538432699325297e-05,6.26608154438515e-05,152,143,150,145,69,1,36
airlight_bin,A>=0.95,126,0.1659941043001242,0.2794929673557647,62,43,0.28850636923766976,0.34180836379528046,0.287740438257248,0.5237760980531639,0.4865216072341206,0.7459485833645288,0.5232660020068433,0.9894892015379508,-6.018473366219994e-05,-5.6820827243398757e-05,75,51,74,52,23,0,19
beta_bin,0.8<=beta<1.1,188,0.044027448167989786,0.06903118031036293,81,73,0.26038167806666723,0.28454242646694183,0.25929944749371686,0.538786457391402,0.5193376858599108,0.826910939497334,0.5427540007404463,1.012738336699467,-2.439552629747344e-05,-2.384208342614039e-05,98,90,95,93,38,0,24
beta_bin,1.1<=beta<1.4,199,-0.12337413051497248,0.11855982863217207,85,82,0.22707037219131862,0.3096177279949188,0.22965039659672343,0.5607053187344018,0.5545022663301715,0.8538667574782658,0.5634958806671062,1.0349351471347714,5.5153035554665154e-05,4.714494572917875e-05,104,95,103,96,53,0,22
beta_bin,1.4<=beta<1.7,199,-0.07603415034047606,-0.13143747749132118,68,85,0.235824824245319,0.25647956132888794,0.23893536067095084,0.5652058288397469,0.5342134608935346,0.8681509070688417,0.5715514883228603,1.0255043127300747,2.4350645480122903e-05,2.3462829018747622e-05,92,107,94,105,44,0,13
beta_bin,beta<0.8,196,0.09668463915295437,0.05387407233712693,85,78,0.3063088508669705,0.3544473201036453,0.30993401614844573,0.6202660415053245,0.6096281691629704,0.9653333240318145,0.6225184490622773,1.0085392750053404,-2.678696470253754e-05,-2.4698766157264482e-05,101,95,101,95,38,0,28
beta_bin,beta>=1.7,218,-0.010739222117669672,0.11112364675768838,95,92,0.2629073037434297,0.306694358587265,0.2618178176723523,0.5922230634271057,0.537542096395589,0.9273558862976796,0.5977915040110099,1.0325486802765351,3.0215372527157032e-05,3.3191176244311904e-05,113,105,114,104,45,1,19
