accuracy,balanced_accuracy,feature_count,feature_set,gain_vs_lfv1,intervene_precision,intervene_recall,lfv1_gain_preserve_recall,lfv1_mean_psnr,lfv1_regression_intervene_recall,n,negative_n,oracle_gain_vs_lfv1,oracle_mean_psnr,oracle_recovery,positive_n,preserve_precision,preserve_recall,selected_mean_psnr,split,split_family,task
0.5311203319502052,0.5320058381984943,68,hazy_basic,0.44692178578833364,0.4836065573770452,0.5412844036697199,0.5227272727272727,32.34265903411068,0.5412844036697247,241,109,1.1631871774047369,33.50584621151542,0.38422172670877086,132,0.5798319327731044,0.5227272727272688,32.789580819899015,random_1,random,extreme_preserve_vs_intervene
0.597510373443981,0.586452762923346,68,hazy_basic,0.468703270001555,0.4571428571428528,0.5454545454545393,0.6274509803921569,32.45819667000798,0.5454545454545454,241,88,1.0464045678193585,33.50460123782734,0.44791783638507543,153,0.7058823529411713,0.6274509803921527,32.926899940009534,random_2,random,extreme_preserve_vs_intervene
0.5228215767634833,0.5183438155136225,68,hazy_basic,0.42054611331266045,0.4594594594594553,0.4811320754716936,0.5555555555555556,32.53165430634751,0.4811320754716981,241,106,1.110834996918591,33.6424893032661,0.37858558154798766,135,0.5769230769230725,0.5555555555555515,32.95220041966017,random_3,random,extreme_preserve_vs_intervene
0.5311203319502052,0.5118642814902381,68,hazy_basic,0.3707479335974142,0.38235294117646684,0.4382022471910063,0.5855263157894737,32.567908568164455,0.43820224719101125,241,89,1.0198352726965965,33.58774384086105,0.36353707654838985,152,0.6402877697841681,0.5855263157894699,32.93865650176187,random_4,random,extreme_preserve_vs_intervene
0.5269709543568443,0.5213790713790671,68,hazy_basic,0.37219686612889546,0.4854368932038788,0.4504504504504464,0.5923076923076923,32.60318679881245,0.45045045045045046,241,111,1.0726906442264479,33.6758774430389,0.3469750278254284,130,0.5579710144927496,0.5923076923076878,32.97538366494135,random_5,random,extreme_preserve_vs_intervene
0.5448717948717914,0.5330882352941109,68,hazy_basic,0.3287786393204257,0.4761904761904686,0.44117647058822884,0.625,33.0844638286563,0.4411764705882353,156,68,1.170458913218333,34.25492274187463,0.2808972067341724,88,0.5913978494623593,0.6249999999999929,33.41324246797672,airlight_bin=0.65<=A<0.75,airlight_bin,extreme_preserve_vs_intervene
0.5706214689265504,0.5689566777749231,68,hazy_basic,0.5076967998430675,0.5421686746987887,0.5421686746987887,0.5957446808510638,32.37023836469898,0.5421686746987951,177,83,1.0141159646406734,33.38435432933965,0.5006299255159211,94,0.5957446808510575,0.5957446808510575,32.877935164542045,airlight_bin=0.75<=A<0.85,airlight_bin,extreme_preserve_vs_intervene
0.4999999999999964,0.5063131313131239,68,hazy_basic,0.6340099770191543,0.4831460674157249,0.6515151515151417,0.3611111111111111,31.577017812477358,0.6515151515151515,138,66,1.0764382620427781,32.653456074520136,0.5889887041133153,72,0.5306122448979483,0.3611111111111061,32.21102778949651,airlight_bin=0.85<=A<0.95,airlight_bin,extreme_preserve_vs_intervene
0.5381355932203367,0.5627510420613816,68,hazy_basic,0.6755265207913155,0.4357142857142826,0.670329670329663,0.45517241379310347,33.35482671987921,0.6703296703296703,236,91,1.1988424450433541,34.55366916492257,0.5634823187848698,145,0.6874999999999929,0.4551724137931003,34.03035324067053,airlight_bin=A<0.65,airlight_bin,extreme_preserve_vs_intervene
0.5360824742267987,0.5501722652885326,68,hazy_basic,0.5762976268568885,0.4833333333333253,0.6744186046511471,0.42592592592592593,30.701007829792356,0.6744186046511628,97,43,1.0753589098242387,31.776366739616595,0.535911890989535,54,0.6216216216216048,0.42592592592591805,31.277305456649245,airlight_bin=A>=0.95,airlight_bin,extreme_preserve_vs_intervene
