group_name,group_value,num_images,better_psnr_count,worse_psnr_count,better_030db_count,worse_030db_count,mean_baseline_psnr,mean_current_psnr,mean_delta_psnr,median_delta_psnr,p10_delta_psnr,p90_delta_psnr,min_delta_psnr,max_delta_psnr,mean_delta_ssim
all,all,1000,415,585,332,493,32.4282744799393,32.15181876377115,-0.27645571616814324,-0.28006099674059115,-2.1287957908415676,1.6305653747213746,-7.3920370639107595,6.401484744792683,-8.735209703445435e-05
baseline_strength_bin,baseline_middle_50,500,196,304,152,265,32.546658260952455,32.15481658926097,-0.39184167169148315,-0.3904941550040224,-2.3737762369785207,1.6955463042797427,-7.3920370639107595,5.506731888747609,-0.00046919310092926025
baseline_strength_bin,baseline_strongest_25,250,89,161,70,129,38.79910082001728,38.391332315331766,-0.4077685046855128,-0.33215245551528483,-1.7099830775887412,0.9924359377833261,-5.682683879430417,3.2636864632510836,2.6249408721923828e-05
baseline_strength_bin,baseline_weakest_25,250,130,120,110,99,25.820680577835017,25.90630956123092,0.08562898339590612,0.07107187100965362,-1.8171882746013994,2.088339039292644,-5.497187314039458,6.401484744792683,0.0005627284049987793
airlight_bin,0.65<=A<0.75,194,89,105,67,92,32.72398095315908,32.56382043413111,-0.16016051902797157,-0.19355519639758967,-1.8846516142916279,1.856893117016926,-4.157291914138568,4.040286987901315,1.001849616925741e-05
airlight_bin,0.75<=A<0.85,210,83,127,66,110,32.55321279027625,32.23640347008208,-0.3168093201941708,-0.35959221638378835,-1.8894075055814115,1.4835895060610758,-7.3920370639107595,5.24837945309654,-6.825498172215053e-05
airlight_bin,0.85<=A<0.95,175,74,101,60,81,31.48941879868601,31.33478204522497,-0.1546367534610383,-0.19585068528007454,-1.8673129042318044,1.5297746662663942,-3.6319224046945635,5.506731888747609,-0.0001167855943952288
airlight_bin,A<0.65,295,117,178,100,150,33.595404552131086,33.21711070790356,-0.3782938442275336,-0.3417858101251916,-2.3625884893164013,1.7066260648457867,-5.960796977291984,6.401484744792683,-0.00020586555286989373
airlight_bin,A>=0.95,126,52,74,39,60,30.336149654124622,30.017129794337823,-0.3190198597867997,-0.17989322806690744,-2.050249354111088,1.3272408693393505,-6.81917821085101,2.733021316641448,4.925141258845254e-05
beta_bin,0.8<=beta<1.1,188,78,110,64,90,32.79166596173211,32.53810233917409,-0.25356362255801346,-0.2541487226576731,-2.2162280821386093,1.528074502596723,-7.3920370639107595,6.401484744792683,-0.0001892675744726303
